name,card_id,rare,stock
青眼の白龍,20AP-JP000,Holographic-Parallel,0
熱き決闘者たち,20AP-JP001,Secret,0
滅びの呪文－デス・アルテマ,20AP-JP002,Ultra,0
ディアバウンド・カーネル,20AP-JP003,Ultra,0
ハーピィの羽根吹雪,20AP-JP004,Ultra,0
Ｅ・ＨＥＲＯ オネスティ・ネオス,20AP-JP005,Secret,0
スカイスクレイパー・シュート,20AP-JP006,Ultra,0
暗黒の召喚神,20AP-JP007,Super,0
失楽園,20AP-JP008,Super,0
白のヴェール,20AP-JP009,Super,0
パワー・ウォール,20AP-JP010,Secret,0
封印されしエクゾディア,20AP-JP011,nomal,0
デビル・フランケン,20AP-JP012,nomal,0
聖なる魔術師,20AP-JP013,nomal,0
メタモルポット,20AP-JP014,nomal,0
ハーピィの羽根帚,20AP-JP015,Super,0
人造人間－サイコ・ショッカー,20AP-JP016,nomal,0
洗脳－ブレインコントロール,20AP-JP017,Super,0
死者蘇生,20AP-JP018,nomal,0
王宮のお触れ,20AP-JP019,nomal,0
聖なるバリア －ミラーフォース－,20AP-JP020,nomal,0
王宮の勅命,20AP-JP021,Ultra,0
王家の眠る谷－ネクロバレー,20AP-JP022,nomal,0
魔導戦士 ブレイカー,20AP-JP023,nomal,0
異次元の女戦士,20AP-JP024,nomal,0
スキルドレイン,20AP-JP025,nomal,0
月読命,20AP-JP026,nomal,0
カオス・ソルジャー －開闢の使者－,20AP-JP027,Super,0
混沌帝龍 －終焉の使者－,20AP-JP028,nomal,0
混沌の黒魔術師,20AP-JP029,Super,0
モンスターゲート,20AP-JP030,nomal,0
死霊騎士デスカリバー・ナイト,20AP-JP031,nomal,0
サイバー・ドラゴン,20AP-JP032,nomal,0
黄泉ガエル,20AP-JP033,nomal,0
ダンディライオン,20AP-JP034,nomal,0
次元の裂け目,20AP-JP035,nomal,0
Ｎ・グラン・モール,20AP-JP036,nomal,0
未来融合－フューチャー・フュージョン,20AP-JP037,Ultra,0
Ｅ・ＨＥＲＯ エアーマン,20AP-JP038,nomal,0
高等儀式術,20AP-JP039,nomal,0
ファントム・オブ・カオス,20AP-JP040,Super,0
馬頭鬼,20AP-JP041,nomal,0
キメラテック・フォートレス・ドラゴン,20AP-JP042,nomal,0
フォッシル・ダイナ パキケファロ,20AP-JP043,nomal,0
ダーク・アームド・ドラゴン,20AP-JP044,Super,0
Ｅ・ＨＥＲＯ プリズマー,20AP-JP045,nomal,0
邪帝ガイウス,20AP-JP046,nomal,0
レッドアイズ・ダークネスメタルドラゴン,20AP-JP047,nomal,0
オネスト,20AP-JP048,nomal,0
裁きの龍,20AP-JP049,nomal,0
剣闘獣ガイザレス,20AP-JP050,nomal,0
