name,card_id,rare,stock
Ｎｏ.１７ リバイス・ドラゴン,AC01-JP000,Prismatic Secret,0
クリバー,AC01-JP001,nomal,0
クリビー,AC01-JP002,nomal,0
クリブー,AC01-JP003,nomal,0
クリベー,AC01-JP004,nomal,0
クリバビロン,AC01-JP005,Super,0
クリバビロン,AC01-JP005,Collectors,0
ティンクル・ファイブスター,AC01-JP006,nomal,0
ヨーウィー,AC01-JP007,nomal,0
ペンギン・ソード,AC01-JP008,nomal,0
Ｄ－フォース,AC01-JP009,Super,0
Ｄ－フォース,AC01-JP009,Collectors,0
ドクターＤ,AC01-JP010,nomal,0
ドラゴンロイド,AC01-JP011,nomal,0
輪廻独断,AC01-JP012,Ultra,0
輪廻独断,AC01-JP012,Collectors,0
氷結界,AC01-JP013,nomal,0
氷騎士,AC01-JP014,nomal,0
サモン・ストーム,AC01-JP015,nomal,0
翼の恩返し,AC01-JP016,nomal,0
聖騎士の盾持ち,AC01-JP017,nomal,0
花騎士団の駿馬,AC01-JP018,nomal,0
聖騎士の槍持ち,AC01-JP019,nomal,0
ケンタウルミナ,AC01-JP020,Super,0
ケンタウルミナ,AC01-JP020,Collectors,0
エコール・ド・ゾーン,AC01-JP021,Ultra,0
エコール・ド・ゾーン,AC01-JP021,Collectors,0
魂縛門,AC01-JP022,nomal,0
ピリ・レイスの地図,AC01-JP023,Super,0
ピリ・レイスの地図,AC01-JP023,Collectors,0
アイス・ミラー,AC01-JP024,nomal,0
ＺＷ－天風精霊翼,AC01-JP025,nomal,0
ＺＳ－双頭龍賢者,AC01-JP026,nomal,0
獣装合体 ライオ・ホープレイ,AC01-JP027,Ultra,0
獣装合体 ライオ・ホープレイ,AC01-JP027,Collectors,0
ゼアル・カタパルト,AC01-JP028,nomal,0
サイレンス・シーネットル,AC01-JP029,nomal,0
Ｎｏ.４ 猛毒刺胞ステルス・クラーゲン,AC01-JP030,Super,0
Ｎｏ.４ 猛毒刺胞ステルス・クラーゲン,AC01-JP030,Collectors,0
ステルス・クラーゲン・エフィラ,AC01-JP031,nomal,0
ヌメロン・ストーム,AC01-JP032,nomal,0
人形の家,AC01-JP033,nomal,0
スターヴ・ヴェネミー・ドラゴン,AC01-JP034,Ultra,0
スターヴ・ヴェネミー・ドラゴン,AC01-JP034,Collectors,0
ＳＲスクラッチ,AC01-JP035,Super,0
ＳＲスクラッチ,AC01-JP035,Collectors,0
ＬＬ－バード・ストライク,AC01-JP036,nomal,0
トイ・パレード,AC01-JP037,nomal,0
光波複葉機,AC01-JP038,nomal,0
光波干渉,AC01-JP039,nomal,0
二重露光,AC01-JP040,nomal,0
キ－Ａｉ－,AC01-JP041,nomal,0
Ａｉ－ＳＨＯＷ,AC01-JP042,nomal,0
扇風機塊プロペライオン,AC01-JP043,nomal,0
機塊コンバート,AC01-JP044,nomal,0
大皇帝ペンギン,AC01-JP045,nomal,0
おもちゃ箱,AC01-JP046,nomal,0
聖騎士の追想 イゾルデ,AC01-JP047,nomal,0
リングリボー,AC01-JP048,nomal,0
Ｎｏ.３４ 電算機獣テラ・バイト,AC01-JP049,Ultra,0
