name,card_id,rare,stock
マジクリボー,BACH-JP001,Rare,0
ディメンション・コンジュラー,BACH-JP002,nomal,0
合体竜ティマイオス,BACH-JP003,Rare,0
ブルーアイズ・ジェット・ドラゴン,BACH-JP004,Ultra,0
ブルーアイズ・ジェット・ドラゴン,BACH-JP004,Ultimate,0
ブルーアイズ・ジェット・ドラゴン,BACH-JP004,Secret,0
ロード・オブ・ドラゴン－ドラゴンの独裁者－,BACH-JP005,Rare,0
氷水帝コスモクロア,BACH-JP006,Ultra,0
氷水帝コスモクロア,BACH-JP006,Ultimate,0
氷水帝コスモクロア,BACH-JP006,Secret,0
氷水のエジル,BACH-JP007,Super,0
氷水のエジル,BACH-JP007,Secret,0
氷水艇キングフィッシャー,BACH-JP008,nomal,0
ダイノルフィア・テリジア,BACH-JP009,Super,0
ダイノルフィア・テリジア,BACH-JP009,Secret,0
ダイノルフィア・ディプロス,BACH-JP010,nomal,0
極星獣グリンブルスティ,BACH-JP011,nomal,0
極星工イーヴァルディ,BACH-JP012,nomal,0
ＤＤグリフォン,BACH-JP013,Rare,0
ゴーストリック・セイレーン,BACH-JP014,nomal,0
ヴァンパイアの幽鬼,BACH-JP015,nomal,0
Ｓ－Ｆｏｒｃｅ ラプスウェル,BACH-JP016,nomal,0
Ｓ－Ｆｏｒｃｅ レトロアクティヴ,BACH-JP017,Rare,0
夢魔鏡の逆徒－ネイロイ,BACH-JP018,Rare,0
変異体ミュートリア,BACH-JP019,Rare,0
磁石の戦士ε,BACH-JP020,nomal,0
破壊の代行者 ヴィーナス,BACH-JP021,nomal,0
地葬星カイザ,BACH-JP022,nomal,0
絶神鳥シムルグ,BACH-JP023,nomal,0
熟練の栗魔導士,BACH-JP024,nomal,0
カオス・ネフティス,BACH-JP025,Ultra,0
カオス・ネフティス,BACH-JP025,Ultimate,0
カオス・ネフティス,BACH-JP025,Secret,0
模拘撮星人 エピゴネン,BACH-JP026,nomal,0
游覧艇サブマリード,BACH-JP027,nomal,0
悪魔嬢アリス,BACH-JP028,nomal,0
枯鰈葉リプレース,BACH-JP029,nomal,0
マッド・ハッカー,BACH-JP030,nomal,0
マタタビ仙狸,BACH-JP031,nomal,0
ピースリア,BACH-JP032,N-Rare,0
機怪獣ダレトン,BACH-JP033,N-Rare,0
イリュージョン・オブ・カオス,BACH-JP034,Super,0
イリュージョン・オブ・カオス,BACH-JP034,Secret,0
凶導の白聖骸,BACH-JP035,Super,0
凶導の白聖骸,BACH-JP035,Secret,0
超魔導戦士－マスター・オブ・カオス,BACH-JP036,Ultra,0
超魔導戦士－マスター・オブ・カオス,BACH-JP036,Ultimate,0
超魔導戦士－マスター・オブ・カオス,BACH-JP036,Secret,0
ブルーアイズ・タイラント・ドラゴン,BACH-JP037,Super,0
ブルーアイズ・タイラント・ドラゴン,BACH-JP037,Secret,0
ダイノルフィア・ケントレギナ,BACH-JP038,Ultra,0
ダイノルフィア・ケントレギナ,BACH-JP038,Ultimate,0
ダイノルフィア・ケントレギナ,BACH-JP038,Secret,0
ダイノルフィア・ステルスベギア,BACH-JP039,Rare,0
ガーディアン・キマイラ,BACH-JP040,Ultra,0
ガーディアン・キマイラ,BACH-JP040,Ultimate,0
ガーディアン・キマイラ,BACH-JP040,Secret,0
ガーディアン・キマイラ,BACH-JP040,Holographic,0
相剣大邪－七星龍淵,BACH-JP041,Super,0
相剣大邪－七星龍淵,BACH-JP041,Secret,0
いろはもみじ,BACH-JP042,nomal,0
闇次元の戦士,BACH-JP043,Rare,0
ＤＤＤ赦俿王デス・マキナ,BACH-JP044,Ultra,0
ＤＤＤ赦俿王デス・マキナ,BACH-JP044,Ultimate,0
ＤＤＤ赦俿王デス・マキナ,BACH-JP044,Secret,0
真血公ヴァンパイア,BACH-JP045,Ultra,0
真血公ヴァンパイア,BACH-JP045,Ultimate,0
真血公ヴァンパイア,BACH-JP045,Secret,0
神隠し鬼火丸,BACH-JP046,nomal,0
ゴーストリック・フェスティバル,BACH-JP047,Super,0
ゴーストリック・フェスティバル,BACH-JP047,Secret,0
ヴァンパイア・ファシネイター,BACH-JP048,Rare,0
暗影の闇霊使いダルク,BACH-JP049,Super,0
暗影の闇霊使いダルク,BACH-JP049,Secret,0
青き眼の幻出,BACH-JP050,nomal,0
究極融合,BACH-JP051,Rare,0
氷水底イニオン・クレイドル,BACH-JP052,Rare,0
烙印の使徒,BACH-JP053,nomal,0
凶導の葬列,BACH-JP054,nomal,0
極星宝フリドスキャルヴ,BACH-JP055,Rare,0
特許権の契約書類,BACH-JP056,nomal,0
ゴーストリック・ショット,BACH-JP057,nomal,0
溟界の大蛟,BACH-JP058,Rare,0
ベアルクティ・ラディエーション,BACH-JP059,Rare,0
ふわんだりぃずと旅じたく,BACH-JP060,Super,0
ふわんだりぃずと旅じたく,BACH-JP060,Secret,0
Ｘ・Ｙ・Ｚコンバイン,BACH-JP061,nomal,0
新世壊,BACH-JP062,Rare,0
発禁令,BACH-JP063,nomal,0
トップ・シェア,BACH-JP064,nomal,0
運命のウラドラ,BACH-JP065,N-Rare,0
氷水浸蝕,BACH-JP066,nomal,0
憶念の相剣,BACH-JP067,nomal,0
ダイノルフィア・ドメイン,BACH-JP068,Super,0
ダイノルフィア・ドメイン,BACH-JP068,Secret,0
ダイノルフィア・アラート,BACH-JP069,nomal,0
ダイノルフィア・ブルート,BACH-JP070,nomal,0
ダイノルフィア・シェル,BACH-JP071,nomal,0
ダイノルフィア・ソニック,BACH-JP072,Rare,0
ダイノルフィア・リヴァージョン,BACH-JP073,nomal,0
極星宝スヴァリン,BACH-JP074,nomal,0
ＤＤＤヘッドハント,BACH-JP075,nomal,0
ゴーストリック・オア・トリート,BACH-JP076,nomal,0
死者所生,BACH-JP077,Rare,0
トライブ・ドライブ,BACH-JP078,nomal,0
死償不知,BACH-JP079,nomal,0
走魔灯,BACH-JP080,N-Rare,0
究極竜騎士,BACH-JPS01,Prismatic Secret,0
