name,card_id,rare,stock
ペンギン・ナイト,BE1-JP001,nomal,0
デーモンの斧,BE1-JP002,Rare,0
黒いペンダント,BE1-JP003,Rare,0
光の角,BE1-JP004,nomal,0
悪魔のくちづけ,BE1-JP005,nomal,0
六芒星の呪縛,BE1-JP006,Rare,0
エレクトリック・スネーク,BE1-JP007,nomal,0
アメーバ,BE1-JP008,nomal,0
マハー・ヴァイロ,BE1-JP009,nomal,0
イビー,BE1-JP010,nomal,0
グリグル,BE1-JP011,nomal,0
悪魔の偵察者,BE1-JP012,nomal,0
王座の侵略者,BE1-JP013,nomal,0
スロットマシーンＡＭ－７,BE1-JP014,nomal,0
サクリファイス,BE1-JP015,Super,0
弓を引くマーメイド,BE1-JP016,nomal,0
墓守の使い魔,BE1-JP017,nomal,0
成金ゴブリン,BE1-JP018,nomal,0
通行税,BE1-JP019,nomal,0
最終戦争,BE1-JP020,nomal,0
強奪,BE1-JP021,Ultra,0
聖域の歌声,BE1-JP022,nomal,0
押収,BE1-JP023,nomal,0
いたずら好きな双子悪魔,BE1-JP024,Super,0
天使の手鏡,BE1-JP025,nomal,0
移り気な仕立屋,BE1-JP026,nomal,0
突進,BE1-JP027,nomal,0
頼もしき守護者,BE1-JP028,nomal,0
強引な番兵,BE1-JP029,Rare,0
魔力の枷,BE1-JP030,nomal,0
サイクロン,BE1-JP031,Super,0
ハリケーン,BE1-JP032,Rare,0
苦渋の選択,BE1-JP033,nomal,0
一角獣のホーン,BE1-JP034,nomal,0
迷宮壁－ラビリンス・ウォール－,BE1-JP035,nomal,0
成仏,BE1-JP036,nomal,0
巨大化,BE1-JP037,Super,0
トゥーン・ドラゴン・エッガー,BE1-JP038,nomal,0
トゥーン・マーメイド,BE1-JP039,nomal,0
トゥーン・デーモン,BE1-JP040,Rare,0
ダイヤモンド・ドラゴン,BE1-JP041,nomal,0
トゥーン・ワールド,BE1-JP042,nomal,0
サイバーポッド,BE1-JP043,Rare,0
光の追放者,BE1-JP044,nomal,0
巨大ネズミ,BE1-JP045,Rare,0
センジュ・ゴッド,BE1-JP046,nomal,0
ＵＦＯタートル,BE1-JP047,nomal,0
秒殺の暗殺者,BE1-JP048,nomal,0
カラテマン,BE1-JP049,nomal,0
ジャイアントウィルス,BE1-JP050,nomal,0
素早いモモンガ,BE1-JP051,Rare,0
シャインエンジェル,BE1-JP052,nomal,0
グリズリーマザー,BE1-JP053,nomal,0
ドラゴンフライ,BE1-JP054,nomal,0
セレモニーベル,BE1-JP055,nomal,0
ソニックバード,BE1-JP056,nomal,0
キラー・トマト,BE1-JP057,Rare,0
コトダマ,BE1-JP058,nomal,0
ガイアパワー,BE1-JP059,nomal,0
ウォーターワールド,BE1-JP060,nomal,0
バーニングブラッド,BE1-JP061,nomal,0
デザートストーム,BE1-JP062,nomal,0
シャインスパーク,BE1-JP063,nomal,0
ダークゾーン,BE1-JP064,nomal,0
平和の使者,BE1-JP065,nomal,0
ブルーアイズ・トゥーン・ドラゴン,BE1-JP066,Super,0
