name,card_id,rare,stock
昇霊術師 ジョウゲン,BE02-JP001,Rare,0
霊滅術師 カイクウ,BE02-JP002,Rare,0
魂を喰らう者 バズー,BE02-JP003,Rare,0
ダーク・ネクロフィア,BE02-JP004,Ultra,0
神聖なる魂,BE02-JP005,nomal,0
水の精霊 アクエリア,BE02-JP006,nomal,0
岩の精霊 タイタン,BE02-JP007,nomal,0
俊足のギラザウルス,BE02-JP008,nomal,0
トルネード・バード,BE02-JP009,nomal,0
ダーク・ヒーロー ゾンバイア,BE02-JP010,nomal,0
魔力吸収球体,BE02-JP011,nomal,0
異星の最終戦士,BE02-JP012,Super,0
沈黙の邪悪霊,BE02-JP013,nomal,0
王宮の号令,BE02-JP014,nomal,0
死霊の巣,BE02-JP015,nomal,0
墓荒らしの報い,BE02-JP016,nomal,0
カウンターパンチ,BE02-JP017,nomal,0
無差別破壊,BE02-JP018,nomal,0
ウィジャ盤,BE02-JP019,Rare,0
死のメッセージ「Ｅ」,BE02-JP020,nomal,0
死のメッセージ「Ａ」,BE02-JP021,nomal,0
死のメッセージ「Ｔ」,BE02-JP022,nomal,0
死のメッセージ「Ｈ」,BE02-JP023,nomal,0
暗黒の扉,BE02-JP024,nomal,0
ポルターガイスト,BE02-JP025,Rare,0
融合解除,BE02-JP026,nomal,0
フュージョン・ゲート,BE02-JP027,nomal,0
疫病ウィルス ブラックダスト,BE02-JP028,nomal,0
奇跡の発掘,BE02-JP029,nomal,0
怨霊の湿地帯,BE02-JP030,nomal,0
ブレイドナイト,BE02-JP031,Ultra,0
ベビードラゴン,BE02-JP032,nomal,0
時の魔術師,BE02-JP033,Rare,0
クリッター,BE02-JP034,Super,0
グレート・モス,BE02-JP035,nomal,0
クリボー,BE02-JP036,Rare,0
千年竜,BE02-JP037,nomal,0
カタパルト・タートル,BE02-JP038,nomal,0
マーダーサーカス,BE02-JP039,nomal,0
ドリーム・ピエロ,BE02-JP040,nomal,0
剣の女王,BE02-JP041,nomal,0
火炎地獄,BE02-JP042,Rare,0
サンダー・ドラゴン,BE02-JP043,nomal,0
スーパースター,BE02-JP044,nomal,0
キャノン・ソルジャー,BE02-JP045,Rare,0
ムカムカ,BE02-JP046,nomal,0
悪魔の調理師,BE02-JP047,nomal,0
スター・ボーイ,BE02-JP048,nomal,0
ミリス・レディエント,BE02-JP049,nomal,0
黒き森のウィッチ,BE02-JP050,nomal,0
リトル・キメラ,BE02-JP051,nomal,0
ブレードフライ,BE02-JP052,nomal,0
双頭の雷龍,BE02-JP053,nomal,0
見習い魔女,BE02-JP054,nomal,0
幻獣王ガゼル,BE02-JP055,nomal,0
リボルバー・ドラゴン,BE02-JP056,Ultra,0
神の宣告,BE02-JP057,Ultra,0
マジック・ジャマー,BE02-JP058,Super,0
盗賊の七つ道具,BE02-JP059,Super,0
昇天の角笛,BE02-JP060,Rare,0
右手に盾を左手に剣を,BE02-JP061,nomal,0
『攻撃』封じ,BE02-JP062,nomal,0
薄幸の美少女,BE02-JP063,nomal,0
追い剥ぎゴブリン,BE02-JP064,Rare,0
聖なるバリア －ミラーフォース－,BE02-JP065,Ultra,0
磁力の指輪,BE02-JP066,nomal,0
痛み分け,BE02-JP067,nomal,0
大嵐,BE02-JP068,Ultra,0
エレキッズ,BE02-JP069,nomal,0
メカ・ハンター,BE02-JP070,nomal,0
ヂェミナイ・エルフ,BE02-JP071,nomal,0
天使の施し,BE02-JP072,Rare,0
心眼の女神,BE02-JP073,nomal,0
機械王,BE02-JP074,nomal,0
デビル・フランケン,BE02-JP075,Rare,0
ニードルワーム,BE02-JP076,nomal,0
ドッペルゲンガー,BE02-JP077,nomal,0
メタモルポット,BE02-JP078,Super,0
ペンギン・ソルジャー,BE02-JP079,Super,0
王宮のお触れ,BE02-JP080,Super,0
魔力の棘,BE02-JP081,nomal,0
革命,BE02-JP082,nomal,0
融合賢者,BE02-JP083,nomal,0
絶対防御将軍,BE02-JP084,Rare,0
疾風の暗黒騎士ガイア,BE02-JP085,Ultra,0
翻弄するエルフの剣士,BE02-JP086,Rare,0
太陽の戦士,BE02-JP087,nomal,0
コマンド・ナイト,BE02-JP088,Rare,0
カイザー・シーホース,BE02-JP089,nomal,0
ヴァンパイア・ロード,BE02-JP090,Ultra,0
トゥーン・ゴブリン突撃部隊,BE02-JP091,nomal,0
トゥーン・キャノン・ソルジャー,BE02-JP092,nomal,0
トゥーン・ヂェミナイ・エルフ,BE02-JP093,nomal,0
トゥーン・仮面魔道士,BE02-JP094,nomal,0
トゥーンのもくじ,BE02-JP095,nomal,0
トゥーン・ディフェンス,BE02-JP096,nomal,0
インセクト女王,BE02-JP097,Rare,0
冥界の魔王 ハ・デス,BE02-JP098,Ultra,0
魔人 ダーク・バルター,BE02-JP099,Rare,0
レッサー・デーモン,BE02-JP100,nomal,0
憑依するブラッド・ソウル,BE02-JP101,nomal,0
ツインヘッド・ケルベロス,BE02-JP102,nomal,0
レッド・サイクロプス,BE02-JP103,nomal,0
冥王の咆哮,BE02-JP104,nomal,0
死の演算盤,BE02-JP105,nomal,0
冥界流傀儡術,BE02-JP106,nomal,0
魂粉砕,BE02-JP107,nomal,0
無敗将軍 フリード,BE02-JP108,Ultra,0
切り込み隊長,BE02-JP109,Super,0
ドラゴン・ウォリアー,BE02-JP110,Rare,0
戦士ダイ・グレファー,BE02-JP111,nomal,0
聖なる守り手,BE02-JP112,nomal,0
辺境の大賢者,BE02-JP113,nomal,0
ならず者傭兵部隊,BE02-JP114,Rare,0
連合軍,BE02-JP115,nomal,0
増援,BE02-JP116,Super,0
光の護封陣,BE02-JP117,nomal,0
戦士の生還,BE02-JP118,nomal,0
非常食,BE02-JP119,nomal,0
タイラント・ドラゴン,BE02-JP120,Ultra,0
スピア・ドラゴン,BE02-JP121,Rare,0
スピリット・ドラゴン,BE02-JP122,nomal,0
デス・デーモン・ドラゴン,BE02-JP123,Rare,0
グランド・ドラゴン,BE02-JP124,nomal,0
軍隊竜,BE02-JP125,nomal,0
巨竜の羽ばたき,BE02-JP126,nomal,0
火竜の火炎弾,BE02-JP127,nomal,0
スタンピング・クラッシュ,BE02-JP128,nomal,0
超再生能力,BE02-JP129,nomal,0
竜の逆鱗,BE02-JP130,nomal,0
バーストブレス,BE02-JP131,nomal,0
エメラルド・ドラゴン,BE02-JP132,nomal,0
ファイバーポッド,BE02-JP133,nomal,0
ナーガ,BE02-JP134,nomal,0
ノーブル・ド・ノワール,BE02-JP135,nomal,0
オプション,BE02-JP136,nomal,0
お注射天使リリー,BE02-JP137,Ultra,0
リーフ・フェアリー,BE02-JP138,nomal,0
天空騎士パーシアス,BE02-JP139,Super,0
ドル・ドラ,BE02-JP140,nomal,0
磨破羅魏,BE02-JP141,nomal,0
因幡之白兎,BE02-JP142,nomal,0
八汰烏,BE02-JP143,nomal,0
雷帝神,BE02-JP144,nomal,0
八俣大蛇,BE02-JP145,Super,0
偉大天狗,BE02-JP146,nomal,0
竜宮之姫,BE02-JP147,nomal,0
火之迦具土,BE02-JP148,Ultra,0
阿修羅,BE02-JP149,Rare,0
不死之炎鳥,BE02-JP150,nomal,0
エレメントの泉,BE02-JP151,nomal,0
明鏡止水の心,BE02-JP152,nomal,0
伝説の都 アトランティス,BE02-JP153,Rare,0
融合武器ムラサメブレード,BE02-JP154,nomal,0
盗人の煙玉,BE02-JP155,nomal,0
強制転移,BE02-JP156,Super,0
セカンド・チャンス,BE02-JP157,nomal,0
天変地異,BE02-JP158,nomal,0
マジック・ガードナー,BE02-JP159,nomal,0
鎖付き爆弾,BE02-JP160,Rare,0
バブル・クラッシュ,BE02-JP161,nomal,0
