name,card_id,rare,stock
赤き剣のライムンドス,,nomal,0
命ある花瓶,,nomal,0
命を食する者,,nomal,0
岩の戦士,,nomal,0
音女,,nomal,0
グレート・ホワイト,,nomal,0
クワガタ・アルファ,,nomal,0
ゴルゴイル,,nomal,0
サファイヤ・リサーク,,nomal,0
斬首の美女,,nomal,0
ジャジメント・ザ・ハンド,,nomal,0
タイガー・アックス,,nomal,0
タクヒ,,nomal,0
髑髏の寺院,,nomal,0
ドリアード,,nomal,0
バーサーカー,,nomal,0
復讐のカッパ,,nomal,0
本の精霊 ホーク・ビショップ,,nomal,0
魔界の機械兵,,nomal,0
ミューズの天使,,nomal,0
モン・ラーバス,,nomal,0
ヤシの木,,nomal,0
ヨルムンガルド,,nomal,0
シーホース,,nomal,0
ヘラクレス・ビートル,,nomal,0
ラムーン,,nomal,0
レオ・ウィザード,,nomal,0
闇の芸術家,,nomal,0
パトロール・ロボ,,nomal,0
森の住人 ウダン,,nomal,0
勇気の砂時計,,Rare,0
クワガー・ヘラクレス,,nomal,0
朱雀,,nomal,0
戦場の死装束,,nomal,0
デス・バード,,nomal,0
古代の遠眼鏡,,nomal,0
あまのじゃくの呪い,,Rare,0
援軍,,Rare,0
城壁,,Rare,0
血の代償,,Rare,0
