name,card_id,rare,stock
絶対防御将軍,BC-00,Secret,0
エレキッズ,BC-01,nomal,0
吸血ノミ,BC-02,nomal,0
エルフの光,BC-03,nomal,0
はがねの甲羅,BC-04,nomal,0
天使の生き血,BC-05,nomal,0
闇をかき消す光,BC-06,Rare,0
ビーン・ソルジャー,BC-07,nomal,0
イースター島のモアイ,BC-08,nomal,0
デッド・シャーク,BC-09,nomal,0
魚ギョ戦士,BC-10,nomal,0
ワイバーン,BC-11,nomal,0
オシロ・ヒーロー,BC-12,nomal,0
フレンドシップ,BC-13,nomal,0
ブルー・ポーション,BC-14,nomal,0
雷鳴,BC-15,nomal,0
灼熱の槍,BC-16,nomal,0
突風の扇,BC-17,nomal,0
邪悪なるワーム・ビースト,BC-18,nomal,0
ヘラクレス・ビートル,BC-19,nomal,0
タイガー・アックス,BC-20,nomal,0
アックス・レイダー,BC-21,Ultra,0
アックス・レイダー,BC-21,Parallel,0
本の精霊 ホーク・ビショップ,BC-22,nomal,0
セイント・バード,BC-23,nomal,0
ジャジメント・ザ・ハンド,BC-24,nomal,0
斬首の美女,BC-25,nomal,0
森の住人 ウダン,BC-26,nomal,0
魔界の機械兵,BC-27,nomal,0
音女,BC-28,nomal,0
メカ・ハンター,BC-29,Super,0
シーザリオン,BC-30,nomal,0
コカローチ・ナイト,BC-31,nomal,0
クワガタ・アルファ,BC-32,nomal,0
タートル・バード,BC-33,nomal,0
ヂェミナイ・エルフ,BC-34,Ultra,0
ヂェミナイ・エルフ,BC-34,Ultimate,0
ヂェミナイ・エルフ,BC-34,Parallel,0
クワガー・ヘラクレス,BC-35,nomal,0
パトロール・ロボ,BC-36,nomal,0
タクヒ,BC-37,nomal,0
勇気の砂時計,BC-38,nomal,0
戦場の死装束,BC-39,nomal,0
泉の妖精,BC-40,nomal,0
月明かりの乙女,BC-41,nomal,0
紅葉の女王,BC-42,nomal,0
ホワイト・ホール,BC-43,nomal,0
天使の施し,BC-44,Super,0
墓場からの呼び声,BC-45,nomal,0
二頭を持つキング・レックス,BC-46,Ultra,0
二頭を持つキング・レックス,BC-46,Parallel,0
ガルーザス,BC-47,nomal,0
海竜神,BC-48,nomal,0
屍を貪る竜,BC-49,nomal,0
ドラゴン・ゾンビ,BC-50,nomal,0
心眼の女神,BC-51,Rare,0
ランプの魔人,BC-52,nomal,0
沼地の魔獣王,BC-53,Rare,0
破壊神 ヴァサーゴ,BC-54,Rare,0
パロット・ドラゴン,BC-55,nomal,0
牛鬼,BC-56,nomal,0
モンスター・アイ,BC-57,nomal,0
機械王,BC-58,Rare,0
デビル・フランケン,BC-59,Super,0
天空竜,BC-60,nomal,0
カイザー・ドラゴン,BC-61,nomal,0
水の魔導師,BC-62,nomal,0
ウイング・イーグル,BC-63,nomal,0
紅陽鳥,BC-64,nomal,0
ソウル・ハンター,BC-65,nomal,0
ニードル・ボール,BC-66,nomal,0
竜殺者,BC-67,Rare,0
ブラキオレイドス,BC-68,nomal,0
ニードルワーム,BC-69,Rare,0
ドッペルゲンガー,BC-70,Rare,0
メタモルポット,BC-71,Super,0
ペンギン・ソルジャー,BC-72,Super,0
水陸両用バグロス,BC-73,nomal,0
イリュージョン・シープ,BC-74,Rare,0
王宮のお触れ,BC-75,Super,0
魔女狩り,BC-76,nomal,0
悪魔払い,BC-77,Rare,0
魔力の棘,BC-78,Rare,0
革命,BC-79,nomal,0
融合賢者,BC-80,nomal,0
