name,card_id,rare,stock
剣竜,B3-01,nomal,0
デーモンの召喚,B3-02,Ultra,0
ミノタウルス,B3-03,nomal,0
二頭を持つキング・レックス,B3-04,nomal,0
メデューサの亡霊,B3-05,nomal,0
ガルーザス,B3-06,nomal,0
海竜神,B3-07,nomal,0
屍を貪る竜,B3-08,nomal,0
ドラゴン・ゾンビ,B3-09,nomal,0
闇の仮面,B3-10,Rare,0
心眼の女神,B3-11,nomal,0
白い泥棒,B3-12,Rare,0
ランプの魔人,B3-13,nomal,0
謎の傀儡師,B3-14,nomal,0
トラップ・マスター,B3-15,nomal,0
沼地の魔獣王,B3-16,nomal,0
破壊神 ヴァサーゴ,B3-17,nomal,0
パロット・ドラゴン,B3-18,nomal,0
牛鬼,B3-19,nomal,0
モンスター・アイ,B3-20,nomal,0
機械王,B3-21,nomal,0
デビル・フランケン,B3-22,nomal,0
天空竜,B3-23,nomal,0
カイザー・ドラゴン,B3-24,nomal,0
水の魔導師,B3-25,nomal,0
海を守る戦士,B3-26,nomal,0
ウイング・イーグル,B3-27,nomal,0
紅陽鳥,B3-28,nomal,0
ソウル・ハンター,B3-29,nomal,0
ニードル・ボール,B3-30,nomal,0
竜殺者,B3-31,nomal,0
ブラキオレイドス,B3-32,nomal,0
砂の魔女,B3-33,nomal,0
スケルゴン,B3-34,nomal,0
ベヒゴン,B3-35,nomal,0
ニードルワーム,B3-36,nomal,0
金色の魔象,B3-37,nomal,0
ドッペルゲンガー,B3-38,nomal,0
メタモルポット,B3-39,nomal,0
ペンギン・ソルジャー,B3-40,Rare,0
水陸両用バグロス,B3-41,nomal,0
イリュージョン・シープ,B3-42,nomal,0
偽物のわな,B3-43,Rare,0
自業自得,B3-44,nomal,0
王宮のお触れ,B3-45,Rare,0
魔女狩り,B3-46,nomal,0
悪魔払い,B3-47,nomal,0
魔力の棘,B3-48,nomal,0
革命,B3-49,nomal,0
融合賢者,B3-50,nomal,0
