name,card_id,rare,stock
Ｎｏ.３９ 希望皇ホープ,CP20-JP000,Prismatic Secret,0
暗黒の魔再生,CP20-JP001,Rare,0
パワードクロウラー,CP20-JP002,nomal,0
敵襲警報－イエローアラート－,CP20-JP003,nomal,0
ペンギン魚雷,CP20-JP004,N-Rare,0
風化戦士,CP20-JP005,Rare,0
古生代化石騎士 スカルキング,CP20-JP006,Ultra,0
古生代化石騎士 スカルキング,CP20-JP006,Collectors,0
中生代化石騎士 スカルナイト,CP20-JP007,Rare,0
新生代化石騎士 スカルポーン,CP20-JP008,nomal,0
古生代化石竜 スカルギオス,CP20-JP009,Super,0
古生代化石竜 スカルギオス,CP20-JP009,Collectors,0
新生代化石竜 スカルガー,CP20-JP010,nomal,0
化石融合－フォッシル・フュージョン,CP20-JP011,Ultra,0
化石融合－フォッシル・フュージョン,CP20-JP011,Collectors,0
タイム・ストリーム,CP20-JP012,Rare,0
標本の閲覧,CP20-JP013,nomal,0
奇跡の穿孔,CP20-JP014,Rare,0
サイキック・ウェーブ,CP20-JP015,nomal,0
アーマード・ホワイトベア,CP20-JP016,nomal,0
アフター・グロー,CP20-JP017,nomal,0
ハイレート・ドロー,CP20-JP018,nomal,0
Ｓｉｎ パラダイム・ドラゴン,CP20-JP019,Ultra,0
Ｓｉｎ パラダイム・ドラゴン,CP20-JP019,Collectors,0
ヌメロン・ウォール,CP20-JP020,Rare,0
ＣＮｏ.１ ゲート・オブ・カオス・ヌメロン－シニューニャ,CP20-JP021,Ultra,0
ＣＮｏ.１ ゲート・オブ・カオス・ヌメロン－シニューニャ,CP20-JP021,Collectors,0
Ｎｏ.１ ゲート・オブ・ヌメロン－エーカム,CP20-JP022,nomal,0
Ｎｏ.２ ゲート・オブ・ヌメロン－ドゥヴェー,CP20-JP023,nomal,0
Ｎｏ.３ ゲート・オブ・ヌメロン－トゥリーニ,CP20-JP024,nomal,0
Ｎｏ.４ ゲート・オブ・ヌメロン－チャトゥヴァーリ,CP20-JP025,nomal,0
ヌメロン・ネットワーク,CP20-JP026,Super,0
ヌメロン・ネットワーク,CP20-JP026,Collectors,0
ヌメロン・ダイレクト,CP20-JP027,Rare,0
Ｎｏ.３ 地獄蝉王ローカスト・キング,CP20-JP028,Super,0
Ｎｏ.３ 地獄蝉王ローカスト・キング,CP20-JP028,Collectors,0
花札衛－桜－,CP20-JP029,nomal,0
超勝負！,CP20-JP030,nomal,0
極氷獣ブリザード・ウルフ,CP20-JP031,nomal,0
極氷獣ポーラ・ペンギン,CP20-JP032,nomal,0
極氷獣アイスバーグ・ナーワル,CP20-JP033,nomal,0
キリビ・レディ,CP20-JP034,Rare,0
電幻機塊コンセントロール,CP20-JP035,Rare,0
遮断機塊ブレイカーバンクル,CP20-JP036,nomal,0
複写機塊コピーボックル,CP20-JP037,nomal,0
充電機塊セルトパス,CP20-JP038,Super,0
充電機塊セルトパス,CP20-JP038,Collectors,0
計量機塊カッパスケール,CP20-JP039,nomal,0
掃除機塊バキューネシア,CP20-JP040,nomal,0
洗濯機塊ランドリードラゴン,CP20-JP041,Rare,0
乾燥機塊ドライドレイク,CP20-JP042,nomal,0
機塊リユース,CP20-JP043,nomal,0
機塊テスト,CP20-JP044,nomal,0
家電機塊世界エレクトリリカル・ワールド,CP20-JP045,Super,0
家電機塊世界エレクトリリカル・ワールド,CP20-JP045,Collectors,0
