name,card_id,rare,stock
Ｆ・Ｇ・Ｄ,CP19-JP000,20th Secret,0
イピリア,CP19-JP001,Rare,0
命の水,CP19-JP002,Rare,0
星の金貨,CP19-JP003,nomal,0
おかしの家,CP19-JP004,nomal,0
Ｖ・ＨＥＲＯ ミニマム・レイ,CP19-JP005,nomal,0
Ｖ・ＨＥＲＯ マルティプリ・ガイ,CP19-JP006,nomal,0
Ｖ・ＨＥＲＯ インクリース,CP19-JP007,Super,0
Ｖ・ＨＥＲＯ インクリース,CP19-JP007,Collectors,0
Ｖ・ＨＥＲＯ ポイズナー,CP19-JP008,nomal,0
Ｖ・ＨＥＲＯ グラビート,CP19-JP009,Rare,0
Ｖ・ＨＥＲＯ ファリス,CP19-JP010,Ultra,0
Ｖ・ＨＥＲＯ ファリス,CP19-JP010,Collectors,0
幻影解放,CP19-JP011,Rare,0
幻影融合,CP19-JP012,nomal,0
出幻,CP19-JP013,nomal,0
Ｅ・ＨＥＲＯ フェザーマン,CP19-JP014,nomal,0
Ｅ・ＨＥＲＯ バーストレディ,CP19-JP015,N-Rare,0
Ｅ・ＨＥＲＯ スパークマン,CP19-JP016,nomal,0
占い魔女 ヒカリちゃん,CP19-JP017,Super,0
占い魔女 ヒカリちゃん,CP19-JP017,Collectors,0
占い魔女 エンちゃん,CP19-JP018,nomal,0
占い魔女 フウちゃん,CP19-JP019,nomal,0
占い魔女 スィーちゃん,CP19-JP020,nomal,0
占い魔女 アンちゃん,CP19-JP021,nomal,0
占い魔女 チーちゃん,CP19-JP022,nomal,0
受け入れがたい結果,CP19-JP023,nomal,0
開運ミラクルストーン,CP19-JP024,nomal,0
幸運の前借り,CP19-JP025,Rare,0
ＴＧ ギア・ゾンビ,CP19-JP026,Super,0
ＴＧ ギア・ゾンビ,CP19-JP026,Collectors,0
ＴＧ ドリル・フィッシュ,CP19-JP027,Rare,0
ＴＧ メタル・スケルトン,CP19-JP028,nomal,0
バトル・スタン・ソニック,CP19-JP029,Rare,0
Ｎｏ.２６ 次元孔路オクトバイパス,CP19-JP030,N-Rare,0
Ｎｏ.６０ 刻不知のデュガレス,CP19-JP031,Ultra,0
Ｎｏ.６０ 刻不知のデュガレス,CP19-JP031,Collectors,0
Ｎｏ.７６ 諧調光師グラディエール,CP19-JP032,Super,0
Ｎｏ.７６ 諧調光師グラディエール,CP19-JP032,Collectors,0
Ｎｏ.９７ 龍影神ドラッグラビオン,CP19-JP033,Ultra,0
Ｎｏ.９７ 龍影神ドラッグラビオン,CP19-JP033,Collectors,0
Ｂ・Ｆ－必中のピン,CP19-JP034,nomal,0
Ｂ・Ｆ－追撃のダート,CP19-JP035,nomal,0
Ｂ・Ｆ－毒針のニードル,CP19-JP036,Rare,0
Ｂ・Ｆ－連撃のツインボウ,CP19-JP037,nomal,0
Ｂ・Ｆ－早撃ちのアルバレスト,CP19-JP038,nomal,0
Ｂ・Ｆ－霊弓のアズサ,CP19-JP039,Rare,0
Ｂ・Ｆ－突撃のヴォウジェ,CP19-JP040,nomal,0
Ｂ・Ｆ－降魔弓のハマ,CP19-JP041,Ultra,0
Ｂ・Ｆ－降魔弓のハマ,CP19-JP041,Collectors,0
Ｂ・Ｆ－決戦のビッグ・バリスタ,CP19-JP042,Super,0
Ｂ・Ｆ－決戦のビッグ・バリスタ,CP19-JP042,Collectors,0
一斉蜂起,CP19-JP043,nomal,0
蘇生の蜂玉,CP19-JP044,Rare,0
Ｂ・Ｆ・Ｎ,CP19-JP045,nomal,0
