name,card_id,rare,stock
ドドドボット,CBLZ-JP001,nomal,0
ゴゴゴゴースト,CBLZ-JP002,Rare,0
タスケルトン,CBLZ-JP003,nomal,0
アマリリース,CBLZ-JP004,nomal,0
ＺＷ－雷神猛虎剣,CBLZ-JP005,Rare,0
ＺＷ－風神雲龍剣,CBLZ-JP006,Rare,0
ＺＷ－玄武絶対聖盾,CBLZ-JP007,nomal,0
ガガガクラーク,CBLZ-JP008,Super,0
スピア・シャーク,CBLZ-JP009,nomal,0
ツーヘッド・シャーク,CBLZ-JP010,nomal,0
エクシーズ・リモーラ,CBLZ-JP011,nomal,0
エンシェント・シャーク ハイパー・メガロドン,CBLZ-JP012,Rare,0
紋章獣バシリスク,CBLZ-JP013,nomal,0
紋章獣エアレー,CBLZ-JP014,nomal,0
紋章獣ツインヘッド・イーグル,CBLZ-JP015,Rare,0
紋章獣ユニコーン,CBLZ-JP016,nomal,0
紋章獣レオ,CBLZ-JP017,Rare,0
ガーベージ・オーガ,CBLZ-JP018,nomal,0
ガーベージ・ロード,CBLZ-JP019,Rare,0
オービタル ７,CBLZ-JP020,Ultra,0
オービタル ７,CBLZ-JP020,Ultimate,0
英炎星－ホークエイ,CBLZ-JP021,nomal,0
捷炎星－セイヴン,CBLZ-JP022,nomal,0
勇炎星－エンショウ,CBLZ-JP023,Rare,0
暗炎星－ユウシ,CBLZ-JP024,nomal,0
微炎星－リュウシシン,CBLZ-JP025,Rare,0
雄炎星－スネイリン,CBLZ-JP026,nomal,0
威炎星－ヒエンシャク,CBLZ-JP027,Super,0
陽炎獣 サーベラス,CBLZ-JP028,nomal,0
陽炎獣 グリプス,CBLZ-JP029,nomal,0
陽炎獣 スピンクス,CBLZ-JP030,nomal,0
陽炎獣 ペリュトン,CBLZ-JP031,Rare,0
水精鱗－アビスディーネ,CBLZ-JP032,Rare,0
水精鱗－アビスノーズ,CBLZ-JP033,nomal,0
水精鱗－リードアビス,CBLZ-JP034,Super,0
魔導化士 マット,CBLZ-JP035,nomal,0
魔導冥士 ラモール,CBLZ-JP036,Rare,0
紅炎の騎士,CBLZ-JP037,Rare,0
稲荷火,CBLZ-JP038,nomal,0
バルキリー・ナイト,CBLZ-JP039,nomal,0
炎霊神パイロレクス,CBLZ-JP040,Super,0
炎神機－紫龍,CBLZ-JP041,nomal,0
レオンタウロス,CBLZ-JP042,nomal,0
アステル・ドローン,CBLZ-JP043,N-Rare,0
レッド・ダストン,CBLZ-JP044,N-Rare,0
Ｎｏ.９２ 偽骸神龍 Ｈｅａｒｔ－ｅａｒｔＨ Ｄｒａｇｏｎ,CBLZ-JP045,Ultra,0
Ｎｏ.９２ 偽骸神龍 Ｈｅａｒｔ－ｅａｒｔＨ Ｄｒａｇｏｎ,CBLZ-JP045,Ultimate,0
Ｎｏ.９２ 偽骸神龍 Ｈｅａｒｔ－ｅａｒｔＨ Ｄｒａｇｏｎ,CBLZ-JP045,Holographic,0
Ｎｏ.５３ 偽骸神 Ｈｅａｒｔ－ｅａｒｔＨ,CBLZ-JP046,Ultra,0
Ｎｏ.５３ 偽骸神 Ｈｅａｒｔ－ｅａｒｔＨ,CBLZ-JP046,Ultimate,0
ＺＷ－獣王獅子武装,CBLZ-JP047,Ultra,0
ＺＷ－獣王獅子武装,CBLZ-JP047,Ultimate,0
魁炎星王－ソウコ,CBLZ-JP048,Ultra,0
魁炎星王－ソウコ,CBLZ-JP048,Ultimate,0
陽炎獣 バジリコック,CBLZ-JP049,Rare,0
水精鱗－アビストリーテ,CBLZ-JP050,Rare,0
恐牙狼 ダイヤウルフ,CBLZ-JP051,Super,0
電光千鳥,CBLZ-JP052,Super,0
シャイニート・マジシャン,CBLZ-JP053,Super,0
ゼロゼロック,CBLZ-JP054,nomal,0
ガガガドロー,CBLZ-JP055,Rare,0
エクシーズ・ダブル・バック,CBLZ-JP056,nomal,0
蘇生紋章,CBLZ-JP057,Rare,0
炎舞－「天枢」,CBLZ-JP058,nomal,0
炎舞－「天キ」,CBLZ-JP059,（「キ」＝玉偏に幾） Rare,0
陽炎柱,CBLZ-JP060,nomal,0
アビスケイル－ケートス,CBLZ-JP061,nomal,0
セフェルの魔導書,CBLZ-JP062,nomal,0
烏合の行進,CBLZ-JP063,nomal,0
進撃の帝王,CBLZ-JP064,nomal,0
速攻魔力増幅器,CBLZ-JP065,Super,0
戦火の残滓,CBLZ-JP066,nomal,0
見世物ゴブリン,CBLZ-JP067,N-Rare,0
ディメンション・ゲート,CBLZ-JP068,nomal,0
エクシーズ・ディメンション・スプラッシュ,CBLZ-JP069,nomal,0
紋章変換,CBLZ-JP070,nomal,0
炎舞－「天セン」,CBLZ-JP071,（「セン」＝玉偏に旋）,0
炎舞－「天権」,CBLZ-JP072,nomal,0
極炎舞－「星斗」,CBLZ-JP073,nomal,0
陽炎光輪,CBLZ-JP074,nomal,0
アビスコーン,CBLZ-JP075,nomal,0
鎖付き尖盾,CBLZ-JP076,nomal,0
エクシーズ・トライバル,CBLZ-JP077,nomal,0
ブレイクスルー・スキル,CBLZ-JP078,Super,0
ジュラック・インパクト,CBLZ-JP079,nomal,0
出目出し,CBLZ-JP080,N-Rare,0
