name,card_id,rare,stock
ターレット・ウォリアー,CRMS-JP001,Super,0
デブリ・ドラゴン,CRMS-JP002,Rare,0
ハイパー・シンクロン,CRMS-JP003,nomal,0
レッド・デーモンズ・ドラゴン／バスター,CRMS-JP004,Ultra,0
レッド・デーモンズ・ドラゴン／バスター,CRMS-JP004,Ultimate,0
レッド・デーモンズ・ドラゴン／バスター,CRMS-JP004,Holographic,0
トラップ・イーター,CRMS-JP005,nomal,0
ツイン・ブレイカー,CRMS-JP006,nomal,0
ダーク・リペアラー,CRMS-JP007,nomal,0
ＢＦ－疾風のゲイル,CRMS-JP008,nomal,0
ＢＦ－黒槍のブラスト,CRMS-JP009,nomal,0
ＢＦ－暁のシロッコ,CRMS-JP010,Super,0
夜薔薇の騎士,CRMS-JP011,Super,0
サモン・リアクター・ＡＩ,CRMS-JP012,nomal,0
トラップ・リアクター・ＲＲ,CRMS-JP013,nomal,0
マジック・リアクター・ＡＩＤ,CRMS-JP014,nomal,0
ブラック・ボンバー,CRMS-JP015,Rare,0
ジャイアント・ボマー・エアレイド,CRMS-JP016,Rare,0
Ｄ・ボードン,CRMS-JP017,nomal,0
Ｄ・パッチン,CRMS-JP018,nomal,0
デスカイザー・ドラゴン／バスター,CRMS-JP019,Ultra,0
デスカイザー・ドラゴン／バスター,CRMS-JP019,Ultimate,0
ハイパーサイコガンナー／バスター,CRMS-JP020,Ultra,0
ハイパーサイコガンナー／バスター,CRMS-JP020,Ultimate,0
アーカナイト・マジシャン／バスター,CRMS-JP021,Ultra,0
アーカナイト・マジシャン／バスター,CRMS-JP021,Ultimate,0
アーケイン・ファイロ,CRMS-JP022,nomal,0
バスター・マーセナリ,CRMS-JP023,nomal,0
バスター・ビースト,CRMS-JP024,Rare,0
黒翼の魔術師,CRMS-JP025,nomal,0
ライフ・コーディネイター,CRMS-JP026,Rare,0
剣闘獣サムニテ,CRMS-JP027,nomal,0
魔知ガエル,CRMS-JP028,Rare,0
裏ガエル,CRMS-JP029,nomal,0
巨大戦艦 ビッグ・コアＭｋ－ＩＩ,CRMS-JP030,Super,0
トマボー,CRMS-JP031,nomal,0
スキヤナー,CRMS-JP032,Rare,0
次元要塞兵器,CRMS-JP033,N-Rare,0
砂漠の守護者,CRMS-JP034,nomal,0
クロスソード・ハンター,CRMS-JP035,nomal,0
ハチビー,CRMS-JP036,nomal,0
トリプル・ヴァイパー,CRMS-JP037,N-Rare,0
エーリアン・リベンジャー,CRMS-JP038,Rare,0
エーリアンモナイト,CRMS-JP039,Rare,0
ダーク・ダイブ・ボンバー,CRMS-JP040,Super,0
ＢＦ－アーマード・ウィング,CRMS-JP041,Ultra,0
ＢＦ－アーマード・ウィング,CRMS-JP041,Ultimate,0
ハイパーサイコガンナー,CRMS-JP042,Super,0
アーカナイト・マジシャン,CRMS-JP043,Super,0
宇宙砦ゴルガー,CRMS-JP044,Super,0
プリベント・スター,CRMS-JP045,nomal,0
反目の従者,CRMS-JP046,nomal,0
スター・ブラスト,CRMS-JP047,Rare,0
フェザー・ウィンド・アタック,CRMS-JP048,Rare,0
Ｄ・レトロエンジン,CRMS-JP049,nomal,0
Ｄ・フィールド,CRMS-JP050,nomal,0
バスター・バースト,CRMS-JP051,nomal,0
バスター・テレポート,CRMS-JP052,Rare,0
Ｒｅ－ＢＵＳＴＥＲ,CRMS-JP053,nomal,0
サイコ・ソード,CRMS-JP054,nomal,0
念動収集機,CRMS-JP055,nomal,0
剣闘獣の底力,CRMS-JP056,N-Rare,0
種子弾丸,CRMS-JP057,nomal,0
超栄養太陽,CRMS-JP058,Rare,0
六武ノ書,CRMS-JP059,nomal,0
大樹海,CRMS-JP060,nomal,0
魔法族の結界,CRMS-JP061,nomal,0
トライアングル・エリア,CRMS-JP062,nomal,0
バスター・モード,CRMS-JP063,Rare,0
スピリット・フォース,CRMS-JP064,Rare,0
ロスト・スター・ディセント,CRMS-JP065,nomal,0
白銀のバリア－シルバーフォース－,CRMS-JP066,Super,0
ハーフｏｒストップ,CRMS-JP067,nomal,0
ナイトメア・デーモンズ,CRMS-JP068,nomal,0
ブラック・アロー,CRMS-JP069,nomal,0
アイヴィ・シャックル,CRMS-JP070,nomal,0
フェイク・エクスプロージョン・ペンタ,CRMS-JP071,nomal,0
Ｄ・バリア,CRMS-JP072,nomal,0
ブレンＤ,CRMS-JP073,nomal,0
バスター・スラッシュ,CRMS-JP074,nomal,0
バスター・カウンター,CRMS-JP075,nomal,0
サイコ・チューン,CRMS-JP076,Rare,0
超能力治療,CRMS-JP077,N-Rare,0
トロイの剣闘獣,CRMS-JP078,nomal,0
棘の壁,CRMS-JP079,Rare,0
惑星汚染ウイルス,CRMS-JP080,Rare,0
