name,card_id,rare,stock
ヒール・ウェーバー,CSOC-JP001,nomal,0
ターボ・シンクロン,CSOC-JP002,nomal,0
マッド・デーモン,CSOC-JP003,Rare,0
アイヴィ・ウォール,CSOC-JP004,nomal,0
コピー・プラント,CSOC-JP005,nomal,0
Ｄ・モバホン,CSOC-JP006,nomal,0
Ｄ・マグネンＵ,CSOC-JP007,nomal,0
Ｄ・チャッカン,CSOC-JP008,nomal,0
Ｄ・ラジカッセン,CSOC-JP009,Rare,0
Ｄ・キャメラン,CSOC-JP010,Rare,0
Ｄ・ラジオン,CSOC-JP011,nomal,0
Ｄ・クロックン,CSOC-JP012,nomal,0
ガジェット・トレーラー,CSOC-JP013,nomal,0
ガジェット・ドライバー,CSOC-JP014,Rare,0
サーチ・ストライカー,CSOC-JP015,Rare,0
チェイス・スカッド,CSOC-JP016,nomal,0
Ｃ・リペアラー,CSOC-JP017,nomal,0
Ｃ・スネーク,CSOC-JP018,Rare,0
Ｃ・シューター,CSOC-JP019,nomal,0
Ｃ・コイル,CSOC-JP020,nomal,0
パワー・インジェクター,CSOC-JP021,nomal,0
ストーム・サモナー,CSOC-JP022,Super,0
サイコジャンパー,CSOC-JP023,nomal,0
ウィード,CSOC-JP024,nomal,0
ギガント・セファロタス,CSOC-JP025,nomal,0
ツクシー,CSOC-JP026,nomal,0
ボタニティ・ガール,CSOC-JP027,Rare,0
カースド・フィグ,CSOC-JP028,N-Rare,0
椿姫ティタニアル,CSOC-JP029,Super,0
マンモス・ゾンビ,CSOC-JP030,Rare,0
ゾンビキャリア,CSOC-JP031,Rare,0
ゴブリン陽動部隊,CSOC-JP032,nomal,0
共闘するランドスターの剣士,CSOC-JP033,nomal,0
ハネワタ,CSOC-JP034,Super,0
伝説の白石,CSOC-JP035,N-Rare,0
タイガードラゴン,CSOC-JP036,Super,0
ジェイドナイト,CSOC-JP037,Rare,0
ターボ・ウォリアー,CSOC-JP038,Ultra,0
ターボ・ウォリアー,CSOC-JP038,Ultimate,0
ブラック・ローズ・ドラゴン,CSOC-JP039,Ultra,0
ブラック・ローズ・ドラゴン,CSOC-JP039,Ultimate,0
ブラック・ローズ・ドラゴン,CSOC-JP039,Holographic,0
Ｃ・ドラゴン,CSOC-JP040,Rare,0
サイコ・ヘルストランサー,CSOC-JP041,Rare,0
ヘル・ブランブル,CSOC-JP042,Super,0
デスカイザー・ドラゴン,CSOC-JP043,Ultra,0
デスカイザー・ドラゴン,CSOC-JP043,Ultimate,0
蘇りし魔王 ハ・デス,CSOC-JP044,Ultra,0
蘇りし魔王 ハ・デス,CSOC-JP044,Ultimate,0
カード・フリッパー,CSOC-JP045,nomal,0
偽りの種,CSOC-JP046,nomal,0
薔薇の刻印,CSOC-JP047,Super,0
ブラック・ガーデン,CSOC-JP048,Super,0
百機夜工,CSOC-JP049,nomal,0
Ｄ・スピードユニット,CSOC-JP050,Rare,0
Ｄ・コード,CSOC-JP051,nomal,0
Ｄ・パワーユニット,CSOC-JP052,nomal,0
ポイズン・チェーン,CSOC-JP053,nomal,0
パラライズ・チェーン,CSOC-JP054,nomal,0
アポート,CSOC-JP055,nomal,0
最古式念導,CSOC-JP056,Rare,0
増草剤,CSOC-JP057,nomal,0
フレグランス・ストーム,CSOC-JP058,nomal,0
世界樹,CSOC-JP059,nomal,0
不死式冥界砲,CSOC-JP060,Rare,0
魔法族の里,CSOC-JP061,Rare,0
Ωメガネ,CSOC-JP062,N-Rare,0
バトルマニア,CSOC-JP063,Rare,0
コンフュージョン・チャフ,CSOC-JP064,nomal,0
緊急同調,CSOC-JP065,Ultra,0
緊急同調,CSOC-JP065,Ultimate,0
シンクロ・ストライク,CSOC-JP066,nomal,0
プライドの咆哮,CSOC-JP067,Rare,0
リバイバル・ギフト,CSOC-JP068,nomal,0
破壊神の系譜,CSOC-JP069,Super,0
ドッペル・ゲイナー,CSOC-JP070,nomal,0
ディフォーム,CSOC-JP071,nomal,0
Ｄ・ゲイザー,CSOC-JP072,nomal,0
サイコ・トリガー,CSOC-JP073,Super,0
ポリノシス,CSOC-JP074,nomal,0
竹頭木屑,CSOC-JP075,nomal,0
植物連鎖,CSOC-JP076,nomal,0
王墓の罠,CSOC-JP077,nomal,0
ＤＮＡ定期健診,CSOC-JP078,nomal,0
御前試合,CSOC-JP079,nomal,0
大落とし穴,CSOC-JP080,N-Rare,0
