name,card_id,rare,stock
サイバー・ダーク・ホーン,CDIP-JP001,Super,0
サイバー・ダーク・ホーン,CDIP-JP001,Ultimate,0
サイバー・ダーク・エッジ,CDIP-JP002,Super,0
サイバー・ダーク・エッジ,CDIP-JP002,Ultimate,0
サイバー・ダーク・キール,CDIP-JP003,Super,0
サイバー・ダーク・キール,CDIP-JP003,Ultimate,0
サイバー・オーガ,CDIP-JP004,nomal,0
サイバー・エスパー,CDIP-JP005,Super,0
サイバー・エスパー,CDIP-JP005,Ultimate,0
魅惑の女王 ＬＶ３,CDIP-JP006,nomal,0
魅惑の女王 ＬＶ５,CDIP-JP007,Rare,0
魅惑の女王 ＬＶ７,CDIP-JP008,Ultra,0
魅惑の女王 ＬＶ７,CDIP-JP008,Ultimate,0
漆黒の魔王 ＬＶ４,CDIP-JP009,nomal,0
漆黒の魔王 ＬＶ６,CDIP-JP010,Rare,0
漆黒の魔王 ＬＶ８,CDIP-JP011,Ultra,0
漆黒の魔王 ＬＶ８,CDIP-JP011,Ultimate,0
迷走悪魔,CDIP-JP012,nomal,0
暴鬼,CDIP-JP013,nomal,0
フレイム・オーガ,CDIP-JP014,nomal,0
スナイプストーカー,CDIP-JP015,nomal,0
連爆魔人,CDIP-JP016,nomal,0
虚無魔人,CDIP-JP017,Rare,0
深淵の結界像,CDIP-JP018,nomal,0
豪雨の結界像,CDIP-JP019,nomal,0
業火の結界像,CDIP-JP020,nomal,0
烈風の結界像,CDIP-JP021,nomal,0
干ばつの結界像,CDIP-JP022,nomal,0
閃光の結界像,CDIP-JP023,nomal,0
虚無の統括者,CDIP-JP024,Rare,0
地母神アイリス,CDIP-JP025,Rare,0
ライトニングパニッシャー,CDIP-JP026,Rare,0
女王親衛隊,CDIP-JP027,nomal,0
コンボファイター,CDIP-JP028,nomal,0
コンボマスター,CDIP-JP029,Rare,0
獣人アレス,CDIP-JP030,nomal,0
突撃ライノス,CDIP-JP031,Rare,0
ストーム・シューター,CDIP-JP032,Super,0
ストーム・シューター,CDIP-JP032,Ultimate,0
エーリアン・ベーダー,CDIP-JP033,nomal,0
エーリアン・マーズ,CDIP-JP034,nomal,0
鎧黒竜－サイバー・ダーク・ドラゴン,CDIP-JP035,Ultra,0
鎧黒竜－サイバー・ダーク・ドラゴン,CDIP-JP035,Ultimate,0
サイバー・オーガ・２,CDIP-JP036,Ultra,0
サイバー・オーガ・２,CDIP-JP036,Ultimate,0
侵食細胞「Ａ」,CDIP-JP037,nomal,0
封魔一閃,CDIP-JP038,Rare,0
限定解除,CDIP-JP039,nomal,0
簡易融合,CDIP-JP040,nomal,0
カウンタークリーナー,CDIP-JP041,nomal,0
リニアキャノン,CDIP-JP042,nomal,0
連鎖爆撃,CDIP-JP043,nomal,0
奇跡の蘇生,CDIP-JP044,Rare,0
一陣の風,CDIP-JP045,nomal,0
レベルダウン！？,CDIP-JP046,nomal,0
縮退回路,CDIP-JP047,Rare,0
ポジションチェンジ,CDIP-JP048,nomal,0
爆導索,CDIP-JP049,Rare,0
ストレートフラッシュ,CDIP-JP050,nomal,0
ジャスティブレイク,CDIP-JP051,nomal,0
リバースディメンション,CDIP-JP052,Rare,0
チェーン・ヒーリング,CDIP-JP053,nomal,0
チェーン・ブラスト,CDIP-JP054,nomal,0
バイロード・サクリファイス,CDIP-JP055,nomal,0
トロイボム,CDIP-JP056,Super,0
トロイボム,CDIP-JP056,Ultimate,0
積み上げる幸福,CDIP-JP057,nomal,0
サイバー・シャドー・ガードナー,CDIP-JP058,Super,0
サイバー・シャドー・ガードナー,CDIP-JP058,Ultimate,0
虚無を呼ぶ呪文,CDIP-JP059,nomal,0
昇天の黒角笛,CDIP-JP060,Rare,0
