name,card_id,rare,stock
ＳＩＭＭタブラス,CYHO-JP001,Rare,0
クラスター・コンジェスター,CYHO-JP002,nomal,0
剛鬼ムーンサルト,CYHO-JP003,nomal,0
剛鬼ツープラトン,CYHO-JP004,nomal,0
剛鬼ヘルトレーナー,CYHO-JP005,nomal,0
魔境のパラディオン,CYHO-JP006,nomal,0
神樹のパラディオン,CYHO-JP007,nomal,0
百獣のパラディオン,CYHO-JP008,nomal,0
星辰のパラディオン,CYHO-JP009,nomal,0
天穹のパラディオン,CYHO-JP010,Rare,0
星遺物－『星冠』,CYHO-JP011,Rare,0
魔神儀－キャンドール,CYHO-JP012,Rare,0
魔神儀－タリスマンドラ,CYHO-JP013,Rare,0
サイバー・ドラゴン・フィーア,CYHO-JP014,nomal,0
サイバー・ドラゴン・ヘルツ,CYHO-JP015,Super,0
サイバー・ドラゴン・ヘルツ,CYHO-JP015,Secret,0
ドラグニティ－セナート,CYHO-JP016,Rare,0
ドラグニティ－クーゼ,CYHO-JP017,nomal,0
メタファイズ・デコイドラゴン,CYHO-JP018,nomal,0
闇霊神オブルミラージュ,CYHO-JP019,Super,0
闇霊神オブルミラージュ,CYHO-JP019,Secret,0
コスモブレイン,CYHO-JP020,nomal,0
魔晶龍ジルドラス,CYHO-JP021,Ultra,0
魔晶龍ジルドラス,CYHO-JP021,Ultimate,0
魔晶龍ジルドラス,CYHO-JP021,Secret,0
魔神童,CYHO-JP022,nomal,0
サイコ・エース,CYHO-JP023,nomal,0
ハイ・キューピット,CYHO-JP024,N-Rare,0
寝ガエル,CYHO-JP025,N-Rare,0
サイバース・マジシャン,CYHO-JP026,Ultra,0
サイバース・マジシャン,CYHO-JP026,Ultimate,0
サイバース・マジシャン,CYHO-JP026,Secret,0
サイバース・マジシャン,CYHO-JP026,Holographic,0
破滅の天使ルイン,CYHO-JP027,nomal,0
終焉の悪魔デミス,CYHO-JP028,nomal,0
破滅の美神ルイン,CYHO-JP029,Super,0
破滅の美神ルイン,CYHO-JP029,Secret,0
終焉の覇王デミス,CYHO-JP030,Super,0
終焉の覇王デミス,CYHO-JP030,Secret,0
嵐竜の聖騎士,CYHO-JP031,Rare,0
ドラグニティナイト－ハールーン,CYHO-JP032,Rare,0
ドラグニティナイト－アスカロン,CYHO-JP033,Ultra,0
ドラグニティナイト－アスカロン,CYHO-JP033,Ultimate,0
ドラグニティナイト－アスカロン,CYHO-JP033,Secret,0
ヴァレルソード・ドラゴン,CYHO-JP034,Ultra,0
ヴァレルソード・ドラゴン,CYHO-JP034,Ultimate,0
ヴァレルソード・ドラゴン,CYHO-JP034,Secret,0
サイバース・ウィッチ,CYHO-JP035,Super,0
サイバース・ウィッチ,CYHO-JP035,Secret,0
リンク・ディヴォーティー,CYHO-JP036,nomal,0
レストレーション・ポイントガード,CYHO-JP037,nomal,0
剛鬼ジャドウ・オーガ,CYHO-JP038,nomal,0
剛鬼ザ・ジャイアント・オーガ,CYHO-JP039,Rare,0
ショートヴァレル・ドラゴン,CYHO-JP040,nomal,0
マガジンドラムゴン,CYHO-JP041,Super,0
マガジンドラムゴン,CYHO-JP041,Secret,0
マギアス・パラディオン,CYHO-JP042,Super,0
マギアス・パラディオン,CYHO-JP042,Secret,0
レグレクス・パラディオン,CYHO-JP043,nomal,0
アークロード・パラディオン,CYHO-JP044,Ultra,0
アークロード・パラディオン,CYHO-JP044,Ultimate,0
アークロード・パラディオン,CYHO-JP044,Secret,0
明星の機械騎士,CYHO-JP045,Rare,0
サイバー・ドラゴン・ズィーガー,CYHO-JP046,Ultra,0
サイバー・ドラゴン・ズィーガー,CYHO-JP046,Ultimate,0
サイバー・ドラゴン・ズィーガー,CYHO-JP046,Secret,0
閃刀姫－ハヤテ,CYHO-JP047,Rare,0
リプロドクス,CYHO-JP048,Rare,0
見習い魔嬢,CYHO-JP049,Rare,0
ハイパースター,CYHO-JP050,Rare,0
サイバネット・リチューアル,CYHO-JP051,Rare,0
ゼロ・エクストラリンク,CYHO-JP052,nomal,0
ヴァレル・リロード,CYHO-JP053,nomal,0
リユナイト・パラディオン,CYHO-JP054,nomal,0
オーバード・パラディオン,CYHO-JP055,nomal,0
エンドレス・オブ・ザ・ワールド,CYHO-JP056,nomal,0
ブレイク・オブ・ザ・ワールド,CYHO-JP057,nomal,0
リバース・オブ・ザ・ワールド,CYHO-JP058,nomal,0
サイバー・レヴシステム,CYHO-JP059,Rare,0
星遺物の醒存,CYHO-JP060,nomal,0
星遺物の機憶,CYHO-JP061,nomal,0
魔導研究所,CYHO-JP062,nomal,0
獣・魔・導,CYHO-JP063,nomal,0
星呼びの天儀台,CYHO-JP064,Super,0
星呼びの天儀台,CYHO-JP064,Secret,0
孤毒の剣,CYHO-JP065,nomal,0
クロス・ブリード,CYHO-JP066,Super,0
クロス・ブリード,CYHO-JP066,Secret,0
予見通帳,CYHO-JP067,N-Rare,0
シールド・ハンドラ,CYHO-JP068,nomal,0
ミラーフォース・ランチャー,CYHO-JP069,Super,0
ミラーフォース・ランチャー,CYHO-JP069,Secret,0
リンク・デス・ターレット,CYHO-JP070,nomal,0
クルセイド・パラディオン,CYHO-JP071,nomal,0
リターン・オブ・ザ・ワールド,CYHO-JP072,Rare,0
サイバネティック・オーバーフロー,CYHO-JP073,nomal,0
ドラグニティ・ドライブ,CYHO-JP074,nomal,0
星遺物の交心,CYHO-JP075,nomal,0
メタファイズ・アセンション,CYHO-JP076,nomal,0
弩弓部隊,CYHO-JP077,nomal,0
深すぎた墓穴,CYHO-JP078,Rare,0
単一化,CYHO-JP079,nomal,0
ディーラーズ・チョイス,CYHO-JP080,N-Rare,0
