name,card_id,rare,stock
ファイアウォール・ディフェンサー,CYAC-JP001,Rare,0
ファイアウォール・ファントム,CYAC-JP002,nomal,0
超重武者バイ－Ｑ,CYAC-JP003,nomal,0
超重武者オン－３２,CYAC-JP004,nomal,0
超重武者装留ガイア・ブースター,CYAC-JP005,nomal,0
超重神童ワカ－Ｕ４,CYAC-JP006,Super,0
超重神童ワカ－Ｕ４,CYAC-JP006,Secret,0
超重僧兵ビッグベン－Ｋ,CYAC-JP007,Rare,0
深淵の獣アルベル,CYAC-JP008,Super,0
深淵の獣アルベル,CYAC-JP008,Secret,0
アルギロスの落胤,CYAC-JP009,nomal,0
氷水帝エジル・ラーン,CYAC-JP010,Super,0
氷水帝エジル・ラーン,CYAC-JP010,Secret,0
導きの聖女クエム,CYAC-JP011,Super,0
導きの聖女クエム,CYAC-JP011,Secret,0
マナドゥム・リウムハート,CYAC-JP012,Super,0
マナドゥム・リウムハート,CYAC-JP012,Secret,0
マナドゥム・ヒアレス,CYAC-JP013,nomal,0
マナドゥム・ミーク,CYAC-JP014,nomal,0
夢見るネムレリア,CYAC-JP015,Ultra,0
夢見るネムレリア,CYAC-JP015,Ultimate,0
夢見るネムレリア,CYAC-JP015,Secret,0
ネムレリアの夢守り－オレイエ,CYAC-JP016,nomal,0
ネムレリアの夢守り－クエット,CYAC-JP017,nomal,0
ピュアリィ・リリィ,CYAC-JP018,nomal,0
珠の御巫フゥリ,CYAC-JP019,Rare,0
星騎士 アルテア,CYAC-JP020,nomal,0
星騎士 リュラ,CYAC-JP021,Rare,0
無限起動ロードローラー,CYAC-JP022,nomal,0
恐楽園の死配人 ＜Ａｒｌｅｃｈｉｎｏ＞,CYAC-JP023,Rare,0
刀皇－都牟羽沓薙,CYAC-JP024,Ultra,0
刀皇－都牟羽沓薙,CYAC-JP024,Ultimate,0
刀皇－都牟羽沓薙,CYAC-JP024,Secret,0
刀皇－都牟羽沓薙,CYAC-JP024,Holographic,0
フルアクティブ・デュプレックス,CYAC-JP025,nomal,0
死天使ハーヴェスト,CYAC-JP026,nomal,0
幸魂,CYAC-JP027,nomal,0
愉怪な燐のきつねびゆらら,CYAC-JP028,nomal,0
百檎龍－リンゴブルム,CYAC-JP029,Rare,0
ペンデュラムーン,CYAC-JP030,nomal,0
ワナビー！,CYAC-JP031,N-Rare,0
ウサミミ導師,CYAC-JP032,N-Rare,0
サイバース・セイジ,CYAC-JP033,nomal,0
サイバース・ディセーブルム,CYAC-JP034,Rare,0
真炎竜アルビオン,CYAC-JP035,Ultra,0
真炎竜アルビオン,CYAC-JP035,Ultimate,0
真炎竜アルビオン,CYAC-JP035,Secret,0
ヴィシャス＝アストラウド,CYAC-JP036,Ultra,0
ヴィシャス＝アストラウド,CYAC-JP036,Ultimate,0
ヴィシャス＝アストラウド,CYAC-JP036,Secret,0
騎甲虫クルーエル・サターン,CYAC-JP037,Rare,0
双天の獅使－阿吽,CYAC-JP038,nomal,0
超重天神マスラ－Ｏ,CYAC-JP039,Ultra,0
超重天神マスラ－Ｏ,CYAC-JP039,Ultimate,0
超重天神マスラ－Ｏ,CYAC-JP039,Secret,0
超重神将シャナ－Ｏ,CYAC-JP040,Super,0
超重神将シャナ－Ｏ,CYAC-JP040,Secret,0
深淵の神獣ディス・パテル,CYAC-JP041,Super,0
深淵の神獣ディス・パテル,CYAC-JP041,Secret,0
赫聖の妖騎士,CYAC-JP042,Ultra,0
赫聖の妖騎士,CYAC-JP042,Ultimate,0
赫聖の妖騎士,CYAC-JP042,Secret,0
マナドゥム・プライムハート,CYAC-JP043,Super,0
マナドゥム・プライムハート,CYAC-JP043,Secret,0
カオス・アンヘル－混沌の双翼－,CYAC-JP044,Rare,0
星騎士 セイクリッド・カドケウス,CYAC-JP045,Ultra,0
星騎士 セイクリッド・カドケウス,CYAC-JP045,Ultimate,0
星騎士 セイクリッド・カドケウス,CYAC-JP045,Secret,0
電脳堺虎－虎々,CYAC-JP046,Rare,0
ファイアウォール・ドラゴン・シンギュラリティ,CYAC-JP047,Ultra,0
ファイアウォール・ドラゴン・シンギュラリティ,CYAC-JP047,Ultimate,0
ファイアウォール・ドラゴン・シンギュラリティ,CYAC-JP047,Secret,0
プロテクトコード・トーカー,CYAC-JP048,Super,0
プロテクトコード・トーカー,CYAC-JP048,Secret,0
グランドレミコード・クーリア,CYAC-JP049,Super,0
グランドレミコード・クーリア,CYAC-JP049,Secret,0
Ｓ－Ｆｏｒｃｅ ナイトチェイサー,CYAC-JP050,nomal,0
サイバネット・ロールバック,CYAC-JP051,nomal,0
赫聖の相剣,CYAC-JP052,nomal,0
鉄獣の咆哮,CYAC-JP053,Rare,0
開かれし大地,CYAC-JP054,Rare,0
クシャトリラ・アクストラ,CYAC-JP055,nomal,0
伍世壊心像,CYAC-JP056,Rare,0
伍世壊摘心,CYAC-JP057,nomal,0
伍世壊＝カラリウム,CYAC-JP058,Rare,0
ネムレリアの寝姫楼,CYAC-JP059,nomal,0
寝姫の甘い夢,CYAC-JP060,Rare,0
ピュアリィ・スリーピィメモリー,CYAC-JP061,nomal,0
御巫舞踊－迷わし鳥,CYAC-JP062,nomal,0
リブロマンサー・オリジン,CYAC-JP063,Rare,0
星守の騎士団,CYAC-JP064,nomal,0
ドレミコード・シンフォニア,CYAC-JP065,nomal,0
おすすめ軍貫握り,CYAC-JP066,nomal,0
時を裂く魔瞳,CYAC-JP067,Rare,0
トン＝トン,CYAC-JP068,N-Rare,0
サイバネット・サーキット,CYAC-JP069,nomal,0
赫ける王の烙印,CYAC-JP070,nomal,0
烙印の即凶劇,CYAC-JP071,nomal,0
伍世壊砕心,CYAC-JP072,nomal,0
伍世壊浄心,CYAC-JP073,nomal,0
識無辺世壊,CYAC-JP074,nomal,0
ＲＥＩＮＦＯＲＣＥ！,CYAC-JP075,nomal,0
ダイノルフィア・インタクト,CYAC-JP076,nomal,0
融合複製,CYAC-JP077,Rare,0
トラップトラック,CYAC-JP078,nomal,0
ダブル・フッキング,CYAC-JP079,nomal,0
初買い,CYAC-JP080,N-Rare,0
ファイアウォール・ドラゴン・ダークフルード,CYAC-JPS01,Prismatic Secret,0
