name,card_id,rare,stock
ファイアウォール・ガーディアン,DANE-JP001,nomal,0
グリッド・スィーパー,DANE-JP002,nomal,0
転生炎獣フェネック,DANE-JP003,nomal,0
オーバーフロー・ドラゴン,DANE-JP004,nomal,0
オルターガイスト・フィフィネラグ,DANE-JP005,nomal,0
ダイナレスラー・エスクリマメンチ,DANE-JP006,nomal,0
ダイナレスラー・コエロフィシラット,DANE-JP007,nomal,0
ダイナレスラー・マーシャルアンガ,DANE-JP008,nomal,0
Ｄ－ＨＥＲＯ ドローガイ,DANE-JP009,nomal,0
サイキック・リフレクター,DANE-JP010,Rare,0
バスター・スナイパー,DANE-JP011,nomal,0
ＴＧ ハルバード・キャノン／バスター,DANE-JP012,Super,0
ＴＧ ハルバード・キャノン／バスター,DANE-JP012,Secret,0
超量士ホワイトレイヤー,DANE-JP013,Rare,0
ネオフレムベル・レディ,DANE-JP014,nomal,0
空牙団の伝令 フィロ,DANE-JP015,Rare,0
氷の魔妖－雪娘,DANE-JP016,Rare,0
夢幻転星イドリース,DANE-JP017,Super,0
夢幻転星イドリース,DANE-JP017,Secret,0
星遺物の守護竜メロダーク,DANE-JP018,Rare,0
機怪神エクスクローラー,DANE-JP019,nomal,0
妖醒龍ラルバウール,DANE-JP020,Ultra,0
妖醒龍ラルバウール,DANE-JP020,Ultimate,0
妖醒龍ラルバウール,DANE-JP020,Secret,0
カオス・ベトレイヤー,DANE-JP021,Rare,0
擾乱騒蛇ラウドクラウド,DANE-JP022,nomal,0
エクシーズ・スライドルフィン,DANE-JP023,nomal,0
星向鳥,DANE-JP024,nomal,0
儚無みずき,DANE-JP025,Super,0
儚無みずき,DANE-JP025,Secret,0
ハンディ・ギャロップ,DANE-JP026,nomal,0
魔獣皇帝ガーゼット,DANE-JP027,N-Rare,0
ロー・キューピット,DANE-JP028,N-Rare,0
魔神儀の創造主－クリオルター,DANE-JP029,nomal,0
ダイナレスラー・キメラ・Ｔレッスル,DANE-JP030,nomal,0
Ｄ－ＨＥＲＯ ドミネイトガイ,DANE-JP031,Super,0
Ｄ－ＨＥＲＯ ドミネイトガイ,DANE-JP031,Secret,0
星杯の守護竜アルマドゥーク,DANE-JP032,Rare,0
オルターガイスト・ドラッグウィリオン,DANE-JP033,nomal,0
ダイナレスラー・ギガ・スピノサバット,DANE-JP034,Super,0
ダイナレスラー・ギガ・スピノサバット,DANE-JP034,Secret,0
星杯の神子イヴ,DANE-JP035,Super,0
