name,card_id,rare,stock
ＢＦ－無頼のヴァータ,DABL-JP001,Rare,0
ＢＦ－嵐砂のシャマール,DABL-JP002,nomal,0
ＢＦ－雪撃のチヌーク,DABL-JP003,nomal,0
ＢＦ－幻耀のスズリ,DABL-JP004,Super,0
ＢＦ－幻耀のスズリ,DABL-JP004,Secret,0
ＢＦ－刻夜のゾンダ,DABL-JP005,nomal,0
深淵の獣マグナムート,DABL-JP006,Rare,0
深淵の獣サロニール,DABL-JP007,nomal,0
深淵の獣ドルイドヴルム,DABL-JP008,nomal,0
深淵の獣ルベリオン,DABL-JP009,Ultra,0
深淵の獣ルベリオン,DABL-JP009,Ultimate,0
深淵の獣ルベリオン,DABL-JP009,Secret,0
深淵の獣アルバ・ロス,DABL-JP010,Super,0
深淵の獣アルバ・ロス,DABL-JP010,Secret,0
赫の聖女カルテシア,DABL-JP011,Super,0
赫の聖女カルテシア,DABL-JP011,Secret,0
クシャトリラ・フェンリル,DABL-JP012,Rare,0
クシャトリラ・ユニコーン,DABL-JP013,Super,0
クシャトリラ・ユニコーン,DABL-JP013,Secret,0
クシャトリラ・オーガ,DABL-JP014,nomal,0
宙の忍者－鳥帷,DABL-JP015,nomal,0
蟲の忍者－蜜,DABL-JP016,Super,0
蟲の忍者－蜜,DABL-JP016,Secret,0
獣の忍者－獏,DABL-JP017,nomal,0
銃の忍者－火光,DABL-JP018,nomal,0
占術姫ビブリオムーサ,DABL-JP019,nomal,0
ナチュル・モルクリケット,DABL-JP020,Rare,0
ナチュル・カメリア,DABL-JP021,nomal,0
竜剣士イグニスＰ,DABL-JP022,Super,0
竜剣士イグニスＰ,DABL-JP022,Secret,0
竜剣士マジェスティＰ,DABL-JP023,Rare,0
竜剣士ダイナマイトＰ,DABL-JP024,nomal,0
春化精の女神 ヴェーラ,DABL-JP025,Ultra,0
春化精の女神 ヴェーラ,DABL-JP025,Ultimate,0
春化精の女神 ヴェーラ,DABL-JP025,Secret,0
苗と霞の春化精,DABL-JP026,nomal,0
空牙団の積荷 レクス,DABL-JP027,Rare,0
テセア聖霊器,DABL-JP028,nomal,0
ソウル・シザー,DABL-JP029,nomal,0
迷宮城の白銀姫,DABL-JP030,Ultra,0
迷宮城の白銀姫,DABL-JP030,Ultimate,0
迷宮城の白銀姫,DABL-JP030,Secret,0
インフェルノクインサーモン,DABL-JP031,nomal,0
キュウドウ魂 ＨＡＮ－ＳＨＩ,DABL-JP032,nomal,0
