name,card_id,rare,stock
想い集いし竜,DAMA-JP001,Rare,0
スターダスト・シンクロン,DAMA-JP002,Super,0
スターダスト・シンクロン,DAMA-JP002,Secret,0
スターダスト・トレイル,DAMA-JP003,nomal,0
喜劇のデスピアン,DAMA-JP004,nomal,0
悲劇のデスピアン,DAMA-JP005,nomal,0
デスピアの導化アルベル,DAMA-JP006,Super,0
デスピアの導化アルベル,DAMA-JP006,Secret,0
デスピアの大導劇神,DAMA-JP007,Super,0
デスピアの大導劇神,DAMA-JP007,Secret,0
黒衣竜アルビオン,DAMA-JP008,Rare,0
妖眼の相剣師,DAMA-JP009,Ultra,0
妖眼の相剣師,DAMA-JP009,Ultimate,0
妖眼の相剣師,DAMA-JP009,Secret,0
魔鍵銃士－クラヴィス,DAMA-JP010,Rare,0
しゃりの軍貫,DAMA-JP011,Rare,0
いくらの軍貫,DAMA-JP012,nomal,0
先史遺産メガラ・グローヴ,DAMA-JP013,Rare,0
先史遺産アカンバロの土偶,DAMA-JP014,nomal,0
機巧菟－稻羽之淤岐素,DAMA-JP015,nomal,0
機巧鳥－常世宇受賣長鳴,DAMA-JP016,Rare,0
機巧蛙－磐盾多邇具久,DAMA-JP017,Rare,0
機巧猪－伊服岐雹荒神,DAMA-JP018,nomal,0
ガスタ・ヴェズル,DAMA-JP019,Rare,0
驚楽園の助手 ＜Ｄｅｌｉａ＞,DAMA-JP020,Rare,0
エーリアン・バスター,DAMA-JP021,nomal,0
森の聖獣 カルピポニカ,DAMA-JP022,nomal,0
氷河のアクア・マドール,DAMA-JP023,nomal,0
人攻智能ＭＥ－ＰＳＹ－ＹＡ,DAMA-JP024,Ultra,0
人攻智能ＭＥ－ＰＳＹ－ＹＡ,DAMA-JP024,Ultimate,0
人攻智能ＭＥ－ＰＳＹ－ＹＡ,DAMA-JP024,Secret,0
人攻智能ＭＥ－ＰＳＹ－ＹＡ,DAMA-JP024,Holographic,0
守護天霊ロガエス,DAMA-JP025,Ultra,0
守護天霊ロガエス,DAMA-JP025,Ultimate,0
守護天霊ロガエス,DAMA-JP025,Secret,0
修士号ディプロマン,DAMA-JP026,nomal,0
木花咲弥,DAMA-JP027,nomal,0
死眼の伝霊－プシュコポンポス,DAMA-JP028,nomal,0
スロワースワロー,DAMA-JP029,nomal,0
絆醒師セームベル,DAMA-JP030,N-Rare,0
エアロピΞ,DAMA-JP031,N-Rare,0
魔鍵銃－バトスバスター,DAMA-JP032,nomal,0
魔鍵砲－ガレスヴェート,DAMA-JP033,Super,0
魔鍵砲－ガレスヴェート,DAMA-JP033,Secret,0
デスピアン・クエリティス,DAMA-JP034,Ultra,0
デスピアン・クエリティス,DAMA-JP034,Ultimate,0
デスピアン・クエリティス,DAMA-JP034,Secret,0
デスピアン・プロスケニオン,DAMA-JP035,Rare,0
魔鍵召獣－アンシャラボラス,DAMA-JP036,nomal,0
魔鍵召竜－アンドラビムス,DAMA-JP037,Ultra,0
魔鍵召竜－アンドラビムス,DAMA-JP037,Ultimate,0
魔鍵召竜－アンドラビムス,DAMA-JP037,Secret,0
無の畢竟 オールヴェイン,DAMA-JP038,nomal,0
シューティング・セイヴァー・スター・ドラゴン,DAMA-JP039,Ultra,0
シューティング・セイヴァー・スター・ドラゴン,DAMA-JP039,Ultimate,0
シューティング・セイヴァー・スター・ドラゴン,DAMA-JP039,Secret,0
ダイガスタ・ラプラムピリカ,DAMA-JP040,Super,0
ダイガスタ・ラプラムピリカ,DAMA-JP040,Secret,0
星風狼ウォルフライエ,DAMA-JP041,Ultra,0
星風狼ウォルフライエ,DAMA-JP041,Ultimate,0
星風狼ウォルフライエ,DAMA-JP041,Secret,0
甲纏竜ガイアーム,DAMA-JP042,nomal,0
弩級軍貫－いくら型一番艦,DAMA-JP043,Rare,0
先史遺産ヴィマナ,DAMA-JP044,Ultra,0
先史遺産ヴィマナ,DAMA-JP044,Ultimate,0
先史遺産ヴィマナ,DAMA-JP044,Secret,0
黒熔龍騎ヴォルニゲシュ,DAMA-JP045,Super,0
黒熔龍騎ヴォルニゲシュ,DAMA-JP045,Secret,0
告天子竜パイレン,DAMA-JP046,nomal,0
宇宙鋏ゼロオル,DAMA-JP047,Rare,0
グランドレミコード・ミューゼシア,DAMA-JP048,Super,0
グランドレミコード・ミューゼシア,DAMA-JP048,Secret,0
激撮ディスパラッチ,DAMA-JP049,nomal,0
光来する奇跡,DAMA-JP050,Rare,0
スターダスト・イルミネイト,DAMA-JP051,Rare,0
セイヴァー・アブソープション,DAMA-JP052,nomal,0
烙印劇城デスピア,DAMA-JP053,nomal,0
烙印開幕,DAMA-JP054,nomal,0
烙印の絆,DAMA-JP055,nomal,0
魔鍵－マフテア,DAMA-JP056,Rare,0
魔鍵施解,DAMA-JP057,Rare,0
軍貫処『海せん』,DAMA-JP058,nomal,0
先史遺産驚神殿－トリリトン,DAMA-JP059,nomal,0
機巧伝－神使記紀図,DAMA-JP060,nomal,0
ガスタへの追風,DAMA-JP061,nomal,0
Ｌｉｖｅ☆Ｔｗｉｎ トラブルサン,DAMA-JP062,Super,0
Ｌｉｖｅ☆Ｔｗｉｎ トラブルサン,DAMA-JP062,Secret,0
古代遺跡の静粛,DAMA-JP063,nomal,0
二量合成,DAMA-JP064,nomal,0
高尚儀式術,DAMA-JP065,Rare,0
簡素融合,DAMA-JP066,Super,0
簡素融合,DAMA-JP066,Secret,0
シンクロ・オーバーテイク,DAMA-JP067,Super,0
シンクロ・オーバーテイク,DAMA-JP067,Secret,0
ペンデュラム・トレジャー,DAMA-JP068,Rare,0
信用取引,DAMA-JP069,N-Rare,0
セイヴァー・ミラージュ,DAMA-JP070,nomal,0
スプリガンズ・インタールーダー,DAMA-JP071,nomal,0
繋がれし魔鍵,DAMA-JP072,nomal,0
魔鍵錠－解－,DAMA-JP073,nomal,0
きまぐれ軍貫握り,DAMA-JP074,nomal,0
先史遺産石紋,DAMA-JP075,nomal,0
Ａ・∀・ＶＶ,DAMA-JP076,nomal,0
モンスターアソート,DAMA-JP077,nomal,0
獣王無塵,DAMA-JP078,nomal,0
ストールターン,DAMA-JP079,nomal,0
謙虚な瓶,DAMA-JP080,N-Rare,0
シューティング・スター・ドラゴン,DAMA-JPS01,Prismatic Secret,0
