name,card_id,rare,stock
ＥＭジェントルード,DIFO-JP001,nomal,0
ＥＭレディアンジュ,DIFO-JP002,Rare,0
セリオンズ“ブルズ”アイン,DIFO-JP003,nomal,0
セリオンズ“リーパー”ファム,DIFO-JP004,Rare,0
セリオンズ“デューク”ユール,DIFO-JP005,nomal,0
セリオンズ“リリー”ボレア,DIFO-JP006,Super,0
セリオンズ“リリー”ボレア,DIFO-JP006,Secret,0
セリオンズ“キング”レギュラス,DIFO-JP007,Ultra,0
セリオンズ“キング”レギュラス,DIFO-JP007,Ultimate,0
セリオンズ“キング”レギュラス,DIFO-JP007,Secret,0
ヴィサス＝スタフロスト,DIFO-JP008,Super,0
ヴィサス＝スタフロスト,DIFO-JP008,Secret,0
スケアクロー・アストラ,DIFO-JP009,nomal,0
スケアクロー・ベロネア,DIFO-JP010,nomal,0
スケアクロー・アクロア,DIFO-JP011,nomal,0
スケアクロー・ライヒハート,DIFO-JP012,Super,0
スケアクロー・ライヒハート,DIFO-JP012,Secret,0
マッドマーダー,DIFO-JP013,Rare,0
アルグールマゼラ,DIFO-JP014,nomal,0
Ｈ・Ｃ ナックル・ナイフ,DIFO-JP015,nomal,0
Ｈ・Ｃ モーニング・スター,DIFO-JP016,Rare,0
捕食植物ビブリスプ,DIFO-JP017,Rare,0
捕食植物ブフォリキュラ,DIFO-JP018,nomal,0
捕食植物トリアンティス,DIFO-JP019,nomal,0
音響戦士ギタリス,DIFO-JP020,nomal,0
音響戦士ディージェス,DIFO-JP021,nomal,0
Ｎｏ－Ｐ.Ｕ.Ｎ.Ｋ.ディア・ノート,DIFO-JP022,Super,0
Ｎｏ－Ｐ.Ｕ.Ｎ.Ｋ.ディア・ノート,DIFO-JP022,Secret,0
外法の騎士,DIFO-JP023,Super,0
外法の騎士,DIFO-JP023,Secret,0
戦華の暴－董穎,DIFO-JP024,nomal,0
バーバリアン０号,DIFO-JP025,nomal,0
ライトローミディアム,DIFO-JP026,nomal,0
神竜 ティタノマキア,DIFO-JP027,nomal,0
白昼のスナイパー,DIFO-JP028,nomal,0
水陸両用バグロス Ｍｋ－１１,DIFO-JP029,nomal,0
絶海のマーレ,DIFO-JP030,Rare,0
リバースポッド,DIFO-JP031,nomal,0
ヤマタコオロチ,DIFO-JP032,nomal,0
死製棺サルコファガス,DIFO-JP033,N-Rare,0
オッドアイズ・ペンデュラムグラフ・ドラゴン,DIFO-JP034,Ultra,0
オッドアイズ・ペンデュラムグラフ・ドラゴン,DIFO-JP034,Ultimate,0
オッドアイズ・ペンデュラムグラフ・ドラゴン,DIFO-JP034,Secret,0
深淵竜アルバ・レナトゥス,DIFO-JP035,Ultra,0
深淵竜アルバ・レナトゥス,DIFO-JP035,Ultimate,0
深淵竜アルバ・レナトゥス,DIFO-JP035,Secret,0
スターヴ・ヴェノム・プレデター・フュージョン・ドラゴン,DIFO-JP036,Ultra,0
スターヴ・ヴェノム・プレデター・フュージョン・ドラゴン,DIFO-JP036,Ultimate,0
スターヴ・ヴェノム・プレデター・フュージョン・ドラゴン,DIFO-JP036,Secret,0
捕食植物アンブロメリドゥス,DIFO-JP037,Rare,0
ダイノルフィア・レクスターム,DIFO-JP038,Super,0
ダイノルフィア・レクスターム,DIFO-JP038,Secret,0
真紅眼の不死竜皇,DIFO-JP039,Ultra,0
真紅眼の不死竜皇,DIFO-JP039,Ultimate,0
真紅眼の不死竜皇,DIFO-JP039,Secret,0
巨骸竜フェルグラント,DIFO-JP040,Rare,0
イモータル・ドラゴン,DIFO-JP041,Rare,0
音響戦士ロックス,DIFO-JP042,Rare,0
サイコ・エンド・パニッシャー,DIFO-JP043,Ultra,0
サイコ・エンド・パニッシャー,DIFO-JP043,Ultimate,0
サイコ・エンド・パニッシャー,DIFO-JP043,Secret,0
サイコ・エンド・パニッシャー,DIFO-JP043,Holographic,0
Ｈ－Ｃ クレイヴソリッシュ,DIFO-JP044,Super,0
Ｈ－Ｃ クレイヴソリッシュ,DIFO-JP044,Secret,0
Ｈ－Ｃ ヤールングレイプ,DIFO-JP045,nomal,0
エクソシスターズ・マニフィカ,DIFO-JP046,Ultra,0
エクソシスターズ・マニフィカ,DIFO-JP046,Ultimate,0
エクソシスターズ・マニフィカ,DIFO-JP046,Secret,0
席取－六双丸,DIFO-JP047,N-Rare,0
軌跡の魔術師,DIFO-JP048,Super,0
軌跡の魔術師,DIFO-JP048,Secret,0
スケアクロー・トライヒハート,DIFO-JP049,Ultra,0
スケアクロー・トライヒハート,DIFO-JP049,Ultimate,0
スケアクロー・トライヒハート,DIFO-JP049,Secret,0
月天気アルシエル,DIFO-JP050,Super,0
月天気アルシエル,DIFO-JP050,Secret,0
森羅の舞踏娘 ピオネ,DIFO-JP051,Rare,0
ＥＸＰ,DIFO-JP052,Rare,0
円盤闘技場セリオンズ・リング,DIFO-JP053,Super,0
円盤闘技場セリオンズ・リング,DIFO-JP053,Secret,0
無尽機関アルギロ・システム,DIFO-JP054,Rare,0
セリオンズ・チャージ,DIFO-JP055,nomal,0
氷水呪縛,DIFO-JP056,nomal,0
烙印喪失,DIFO-JP057,nomal,0
肆世壊＝ライフォビア,DIFO-JP058,Rare,0
肆世壊の新星,DIFO-JP059,nomal,0
アンデット・リボーン,DIFO-JP060,nomal,0
ヒロイック・エンヴォイ,DIFO-JP061,nomal,0
ゲネラールプローベ,DIFO-JP062,nomal,0
天気予報,DIFO-JP063,Rare,0
戦華史略－矯詔之叛,DIFO-JP064,nomal,0
ウォークライ・ミーディアム,DIFO-JP065,nomal,0
原質の円環炉,DIFO-JP066,nomal,0
夢迷枕パラソムニア,DIFO-JP067,nomal,0
サプライズ・チェーン,DIFO-JP068,N-Rare,0
ペンデュラム・スケール,DIFO-JP069,nomal,0
セリオンズ・クロス,DIFO-JP070,nomal,0
セリオンズ・スタンダップ,DIFO-JP071,nomal,0
烙印追放,DIFO-JP072,Rare,0
ドラグマトゥルギー,DIFO-JP073,nomal,0
肆世壊の牙掌突,DIFO-JP074,nomal,0
肆世壊の継承,DIFO-JP075,nomal,0
ホーンテッド・アンデット,DIFO-JP076,nomal,0
ダイノルフィア・フレンジー,DIFO-JP077,Rare,0
イチロクの魔物台帳,DIFO-JP078,nomal,0
ＸＸクルージョン,DIFO-JP079,Rare,0
Ｖｉｖｉｄ Ｔａｉｌ,DIFO-JP080,N-Rare,0
覇王黒竜オッドアイズ・リベリオン・ドラゴン,DIFO-JPS01,Prismatic Secret,0
