name,card_id,rare,stock
センジュ・ゴッド,DT10-JP001,nomal,0
ソニックバード,DT10-JP002,nomal,0
ケルベク,DT10-JP003,nomal,0
死霊操りしパペットマスター,DT10-JP004,nomal,0
ＴＨＥ トリッキー,DT10-JP005,N-Rare,0
サイレント・ソードマン ＬＶ５,DT10-JP006,Super,0
風霊使いウィン,DT10-JP007,nomal,0
アームド・ドラゴン ＬＶ１０,DT10-JP008,Rare,0
ヴォルカニック・ロケット,DT10-JP009,nomal,0
ヴォルカニック・カウンター,DT10-JP010,nomal,0
エンペラー・ストゥム,DT10-JP011,N-Rare,0
クレボンス,DT10-JP012,nomal,0
ブラック・ボンバー,DT10-JP013,nomal,0
リチュア・アビス,DT10-JP014,nomal,0
リチュア・ヴァニティ,DT10-JP015,nomal,0
リチュア・マーカー,DT10-JP016,Rare,0
リチュア・チェイン,DT10-JP017,Super,0
リチュア・エリアル,DT10-JP018,nomal,0
シャドウ・リチュア,DT10-JP019,nomal,0
ガスタ・ガルド,DT10-JP020,nomal,0
ガスタ・イグル,DT10-JP021,nomal,0
ガスタ・サンボルト,DT10-JP022,nomal,0
ガスタの巫女 ウィンダ,DT10-JP023,nomal,0
ガスタの静寂 カーム,DT10-JP024,Super,0
ガスタの賢者 ウィンダール,DT10-JP025,Rare,0
インヴェルズの魔細胞,DT10-JP026,nomal,0
インヴェルズの斥候,DT10-JP027,Rare,0
インヴェルズの門番,DT10-JP028,nomal,0
インヴェルズを呼ぶ者,DT10-JP029,Rare,0
インヴェルズ・マディス,DT10-JP030,nomal,0
インヴェルズ・モース,DT10-JP031,Rare,0
インヴェルズ・ギラファ,DT10-JP032,Ultra,0
インヴェルズ・ギラファ,DT10-JP032,Secret,0
インヴェルズ・ガザス,DT10-JP033,Ultra,0
インヴェルズ・ガザス,DT10-JP033,Secret,0
イビリチュア・マインドオーガス,DT10-JP034,Super,0
イビリチュア・ソウルオーガ,DT10-JP035,Ultra,0
イビリチュア・ソウルオーガ,DT10-JP035,Secret,0
鎧黒竜－サイバー・ダーク・ドラゴン,DT10-JP036,Rare,0
マジカル・アンドロイド,DT10-JP037,nomal,0
メンタルスフィア・デーモン,DT10-JP038,Super,0
ダイガスタ・ガルドス,DT10-JP039,Super,0
ダイガスタ・イグルス,DT10-JP040,Ultra,0
ダイガスタ・イグルス,DT10-JP040,Secret,0
リチュアの儀水鏡,DT10-JP041,nomal,0
ガスタの交信,DT10-JP042,Rare,0
侵略の一手,DT10-JP043,nomal,0
サイバーダーク・インパクト！,DT10-JP044,nomal,0
スター・ブラスト,DT10-JP045,nomal,0
儀水鏡の瞑想術,DT10-JP046,Rare,0
ガスタへの祈り,DT10-JP047,nomal,0
侵略の波動,DT10-JP048,Rare,0
生贄の抱く爆弾,DT10-JP049,nomal,0
因果切断,DT10-JP050,nomal,0
