name,card_id,rare,stock
氷結界の番人 ブリズド,DTC1-JP001,Super,0
ブリザード・ウォリアー,DTC1-JP002,nomal,0
氷結界の術者,DTC1-JP003,Rare,0
霞の谷の雷鳥,DTC1-JP004,nomal,0
霞の谷の祈祷師,DTC1-JP005,Super,0
霞の谷の戦士,DTC1-JP006,nomal,0
フレムベル・ドラグノフ,DTC1-JP007,nomal,0
フレムベル・マジカル,DTC1-JP008,nomal,0
ガード・オブ・フレムベル,DTC1-JP009,nomal,0
Ｘ－セイバー アクセル,DTC1-JP010,nomal,0
Ｘ－セイバー エアベルン,DTC1-JP011,Super,0
Ｘ－セイバー ウルズ,DTC1-JP012,nomal,0
総剣司令 ガトムズ,DTC1-JP013,Super,0
Ａ・Ｏ・Ｊ クラウソラス,DTC1-JP014,nomal,0
Ａ・Ｏ・Ｊ ガラドホルグ,DTC1-JP015,nomal,0
Ａ・Ｏ・Ｊ ルドラ,DTC1-JP016,nomal,0
ワーム・アポカリプス,DTC1-JP017,nomal,0
ワーム・バルサス,DTC1-JP018,nomal,0
ワーム・カルタロス,DTC1-JP019,nomal,0
ワーム・ディミクレス,DTC1-JP020,nomal,0
ワーム・イーロキン,DTC1-JP021,Super,0
氷結界の龍 ブリューナク,DTC1-JP022,Ultra,0
氷結界の龍 ブリューナク,DTC1-JP022,Secret,0
ミスト・ウォーム,DTC1-JP023,Ultra,0
ミスト・ウォーム,DTC1-JP023,Secret,0
フレムベル・ウルキサス,DTC1-JP024,Rare,0
Ｘ－セイバー ウルベルム,DTC1-JP025,Ultra,0
Ｘ－セイバー ウルベルム,DTC1-JP025,Secret,0
Ａ・Ｏ・Ｊ カタストル,DTC1-JP026,Rare,0
ジェネクス・コントローラー,DTC1-JP027,Rare,0
ジェネクス・ウンディーネ,DTC1-JP028,Super,0
ジェネクス・パワー・プランナー,DTC1-JP029,nomal,0
ジェネクス・サーチャー,DTC1-JP030,nomal,0
ジェネクス・ワーカー,DTC1-JP031,nomal,0
氷弾使いレイス,DTC1-JP032,nomal,0
氷結界のロイヤル・ナイト,DTC1-JP033,Super,0
氷結界に住む魔酔虫,DTC1-JP034,Rare,0
霞の谷の見張り番,DTC1-JP035,nomal,0
ミスト・コンドル,DTC1-JP036,Rare,0
霞の谷の風使い,DTC1-JP037,nomal,0
フレムベル・パウン,DTC1-JP038,Rare,0
フレムベル・アーチャー,DTC1-JP039,nomal,0
フレムベル・デビル,DTC1-JP040,Super,0
Ｘ－セイバー アナペレラ,DTC1-JP041,nomal,0
Ｘ－セイバー ガラハド,DTC1-JP042,Rare,0
Ｘ－セイバー パロムロ,DTC1-JP043,nomal,0
Ｘ－セイバー パシウル,DTC1-JP044,nomal,0
Ａ・ボム,DTC1-JP045,Rare,0
Ａ・Ｏ・Ｊ サウザンド・アームズ,DTC1-JP046,nomal,0
Ａ・Ｏ・Ｊ アンノウン・クラッシャー,DTC1-JP047,Rare,0
ワーム・ファルコ,DTC1-JP048,nomal,0
ワーム・グルス,DTC1-JP049,nomal,0
ワーム・ホープ,DTC1-JP050,nomal,0
ワーム・イリダン,DTC1-JP051,Super,0
ワーム・ジェートリクプス,DTC1-JP052,Rare,0
