name,card_id,rare,stock
ジェスター・ロード,DT07-JP001,nomal,0
サイバー・ダーク・ホーン,DT07-JP002,nomal,0
ブレイドナイト,DT07-JP003,Rare,0
異次元竜 トワイライトゾーンドラゴン,DT07-JP004,nomal,0
ペンギン・ナイトメア,DT07-JP005,nomal,0
荒野の女戦士,DT07-JP006,nomal,0
Ｅ・ＨＥＲＯ ネクロダークマン,DT07-JP007,Rare,0
リグラス・リーパー,DT07-JP008,nomal,0
ボタニカル・ライオ,DT07-JP009,N-Rare,0
青氷の白夜龍,DT07-JP010,Super,0
Ａ・ジェネクス・リモート,DT07-JP011,Rare,0
Ａ・ジェネクス・パワーコール,DT07-JP012,Super,0
Ａ・ジェネクス・チェンジャー,DT07-JP013,nomal,0
Ａ・ジェネクス・ボルキャノン,DT07-JP014,nomal,0
Ａ・ジェネクス・ソリッド,DT07-JP015,nomal,0
魔轟神獣チャワ,DT07-JP016,nomal,0
魔轟神獣キャシー,DT07-JP017,Rare,0
魔轟神獣ケルベラル,DT07-JP018,Super,0
魔轟神獣ガナシア,DT07-JP019,nomal,0
魔轟神獣ノズチ,DT07-JP020,nomal,0
ドラグニティ－ミリトゥム,DT07-JP021,Rare,0
ドラグニティ－プリムス・ピルス,DT07-JP022,Super,0
ドラグニティ－ブランディストック,DT07-JP023,nomal,0
ドラグニティ－ジャベリン,DT07-JP024,nomal,0
ジュラック・デイノ,DT07-JP025,nomal,0
ジュラック・ガリム,DT07-JP026,nomal,0
ジュラック・アウロ,DT07-JP027,nomal,0
ジュラック・ヘレラ,DT07-JP028,Rare,0
ナチュル・バタフライ,DT07-JP029,Rare,0
ナチュル・レディバグ,DT07-JP030,nomal,0
ナチュル・ストロベリー,DT07-JP031,nomal,0
氷結界の守護陣,DT07-JP032,Rare,0
氷結界の破術師,DT07-JP033,nomal,0
氷結界の神精霊,DT07-JP034,nomal,0
氷結界の虎将 ライホウ,DT07-JP035,Super,0
Ｅ・ＨＥＲＯ ダーク・ブライトマン,DT07-JP036,nomal,0
アルカナ ナイトジョーカー,DT07-JP037,Rare,0
Ａ・ジェネクス・トライアーム,DT07-JP038,Ultra,0
Ａ・ジェネクス・トライアーム,DT07-JP038,Secret,0
魔轟神獣ユニコール,DT07-JP039,Super,0
ドラグニティナイト－トライデント,DT07-JP040,Ultra,0
ドラグニティナイト－トライデント,DT07-JP040,Secret,0
ジュラック・メテオ,DT07-JP041,Ultra,0
ジュラック・メテオ,DT07-JP041,Secret,0
ナチュル・ランドオルス,DT07-JP042,Ultra,0
ナチュル・ランドオルス,DT07-JP042,Secret,0
融合,DT07-JP043,nomal,0
巨大化,DT07-JP044,nomal,0
リミッター解除,DT07-JP045,nomal,0
クリボーを呼ぶ笛,DT07-JP046,nomal,0
不協和音,DT07-JP047,nomal,0
王宮の弾圧,DT07-JP048,nomal,0
ゴッドバードアタック,DT07-JP049,Rare,0
天罰,DT07-JP050,nomal,0
