name,card_id,rare,stock
スナイプストーカー,DT08-JP001,nomal,0
インフェルニティ・ネクロマンサー,DT08-JP002,nomal,0
サイバー・ダーク・エッジ,DT08-JP003,nomal,0
グレイブ・スクワーマー,DT08-JP004,Rare,0
沼地の魔神王,DT08-JP005,nomal,0
仮面竜,DT08-JP006,nomal,0
幻影の壁,DT08-JP007,nomal,0
Ｅ・ＨＥＲＯ フォレストマン,DT08-JP008,Rare,0
ボマー・ドラゴン,DT08-JP009,N-Rare,0
レッドアイズ・ダークネスメタルドラゴン,DT08-JP010,N-Rare,0
ネオフレムベル・オリジン,DT08-JP011,nomal,0
ネオフレムベル・ヘッジホッグ,DT08-JP012,Rare,0
ネオフレムベル・シャーマン,DT08-JP013,nomal,0
ネオフレムベル・ガルーダ,DT08-JP014,nomal,0
ネオフレムベル・サーベル,DT08-JP015,Super,0
Ａ・ジェネクス・ケミストリ,DT08-JP016,nomal,0
Ａ・ジェネクス・バードマン,DT08-JP017,nomal,0
Ａ・ジェネクス・ベルフレイム,DT08-JP018,Rare,0
Ａ・ジェネクス・クラッシャー,DT08-JP019,nomal,0
Ａ・ジェネクス・リバイバー,DT08-JP020,Super,0
魔轟神獣ペガラサス,DT08-JP021,nomal,0
魔轟神獣コカトル,DT08-JP022,Rare,0
魔轟神ディアネイラ,DT08-JP023,Rare,0
ドラグニティ－コルセスカ,DT08-JP024,nomal,0
ドラグニティ－パルチザン,DT08-JP025,nomal,0
ドラグニティ－ピルム,DT08-JP026,Rare,0
ドラグニティ－アングス,DT08-JP027,nomal,0
ナチュル・スティンクバグ,DT08-JP028,nomal,0
ナチュル・マンティス,DT08-JP029,nomal,0
ナチュル・ラグウィード,DT08-JP030,nomal,0
ナチュル・ホワイトオーク,DT08-JP031,Super,0
氷結界の軍師,DT08-JP032,nomal,0
氷結界の御庭番,DT08-JP033,nomal,0
氷結界の虎将 ガンターラ,DT08-JP034,Super,0
ナチュル・エクストリオ,DT08-JP035,Ultra,0
ナチュル・エクストリオ,DT08-JP035,Secret,0
ドラゴンに乗るワイバーン,DT08-JP036,nomal,0
Ｅ・ＨＥＲＯ ジ・アース,DT08-JP037,Rare,0
エンシェント・ゴッド・フレムベル,DT08-JP038,Ultra,0
エンシェント・ゴッド・フレムベル,DT08-JP038,Secret,0
Ａ・ジェネクス・トライフォース,DT08-JP039,Ultra,0
Ａ・ジェネクス・トライフォース,DT08-JP039,Secret,0
魔轟神獣クダベ,DT08-JP040,Super,0
ドラグニティナイト－バルーチャ,DT08-JP041,Super,0
氷結界の龍 トリシューラ,DT08-JP042,Ultra,0
氷結界の龍 トリシューラ,DT08-JP042,Secret,0
簡易融合,DT08-JP043,nomal,0
融合解除,DT08-JP044,nomal,0
死者転生,DT08-JP045,nomal,0
アサルト・アーマー,DT08-JP046,Rare,0
ヘイト・バスター,DT08-JP047,nomal,0
ダスト・シュート,DT08-JP048,nomal,0
鳳翼の爆風,DT08-JP049,nomal,0
魔封じの芳香,DT08-JP050,Rare,0
