name,card_id,rare,stock
ターボ・シンクロン,DT03-JP001,nomal,0
マッド・デーモン,DT03-JP002,nomal,0
Ｄ・モバホン,DT03-JP003,nomal,0
ガジェット・トレーラー,DT03-JP004,nomal,0
リボルバー・ドラゴン,DT03-JP005,Super,0
ドリルロイド,DT03-JP006,Rare,0
ナチュル・ビートル,DT03-JP007,nomal,0
ナチュル・ロック,DT03-JP008,nomal,0
ナチュル・ガーディアン,DT03-JP009,Super,0
ナチュル・ナーブ,DT03-JP010,nomal,0
ジェネクス・ヒート,DT03-JP011,Rare,0
ジェネクス・ガイア,DT03-JP012,nomal,0
スペア・ジェネクス,DT03-JP013,nomal,0
タービン・ジェネクス,DT03-JP014,Rare,0
ジェネクス・ドクター,DT03-JP015,nomal,0
ソーラー・ジェネクス,DT03-JP016,Super,0
氷結界の大僧正,DT03-JP017,Super,0
氷結界の交霊師,DT03-JP018,nomal,0
霞の谷の幼怪鳥,DT03-JP019,nomal,0
霞の谷の執行者,DT03-JP020,nomal,0
フレムベル・グルニカ,DT03-JP021,Rare,0
フレムベル・ベビー,DT03-JP022,nomal,0
Ａ・マインド,DT03-JP023,N-Rare,0
Ａ・Ｏ・Ｊ ブラインド・サッカー,DT03-JP024,nomal,0
Ａ・Ｏ・Ｊ リサーチャー,DT03-JP025,Rare,0
Ａ・Ｏ・Ｊ エネミー・キャッチャー,DT03-JP026,Rare,0
Ａ・Ｏ・Ｊ サンダー・アーマー,DT03-JP027,Rare,0
Ａ・Ｏ・Ｊ コズミック・クローザー,DT03-JP028,Super,0
ワーム・リンクス,DT03-JP029,nomal,0
ワーム・ミリディス,DT03-JP030,nomal,0
ワーム・ノーブル,DT03-JP031,Rare,0
ナチュル・ビースト,DT03-JP032,Ultra,0
ナチュル・ビースト,DT03-JP032,Secret,0
氷結界の虎王 ドゥローレン,DT03-JP033,Ultra,0
氷結界の虎王 ドゥローレン,DT03-JP033,Secret,0
サーマル・ジェネクス,DT03-JP034,Ultra,0
サーマル・ジェネクス,DT03-JP034,Secret,0
ジオ・ジェネクス,DT03-JP035,Super,0
Ａ・Ｏ・Ｊ フィールド・マーシャル,DT03-JP036,Ultra,0
Ａ・Ｏ・Ｊ フィールド・マーシャル,DT03-JP036,Secret,0
酸の嵐,DT03-JP037,nomal,0
７カード,DT03-JP038,nomal,0
死者への供物,DT03-JP039,nomal,0
エネミーコントローラー,DT03-JP040,Rare,0
アースクエイク,DT03-JP041,nomal,0
シールドクラッシュ,DT03-JP042,Rare,0
ディフォーム,DT03-JP043,nomal,0
ストレートフラッシュ,DT03-JP044,nomal,0
進入禁止！Ｎｏ Ｅｎｔｒｙ！！,DT03-JP045,nomal,0
メタル化・魔法反射装甲,DT03-JP046,nomal,0
聖なる輝き,DT03-JP047,nomal,0
ヒーロー見参,DT03-JP048,nomal,0
トラップ・ジャマー,DT03-JP049,nomal,0
マジックアーム・シールド,DT03-JP050,nomal,0
