name,card_id,rare,stock
ゴゴゴゴーレム,DT13-JP001,nomal,0
ビッグ・ジョーズ,DT13-JP002,nomal,0
デイブレーカー,DT13-JP003,nomal,0
アマゾネスの鎖使い,DT13-JP004,nomal,0
オネスト,DT13-JP005,Rare,0
Ｎ・グラン・モール,DT13-JP006,nomal,0
ボルト・ヘッジホッグ,DT13-JP007,nomal,0
機皇帝ワイゼル∞,DT13-JP008,Rare,0
ホワイト・ホーンズ・ドラゴン,DT13-JP009,Rare,0
ブリザード・ドラゴン,DT13-JP010,nomal,0
馬頭鬼,DT13-JP011,N-Rare,0
魔轟神レイヴン,DT13-JP012,nomal,0
ＸＸ－セイバー フォルトロール,DT13-JP013,nomal,0
ジェムナイト・サニクス,DT13-JP014,nomal,0
ラヴァル・フロギス,DT13-JP015,nomal,0
リチュア・アバンス,DT13-JP016,nomal,0
ガスタ・グリフ,DT13-JP017,nomal,0
セイクリッド・シェラタン,DT13-JP018,nomal,0
セイクリッド・ダバラン,DT13-JP019,nomal,0
セイクリッド・グレディ,DT13-JP020,nomal,0
セイクリッド・ポルクス,DT13-JP021,Rare,0
セイクリッド・エスカ,DT13-JP022,Rare,0
セイクリッド・スピカ,DT13-JP023,Super,0
ヴェルズ・ヘリオロープ,DT13-JP024,nomal,0
ヴェルズ・ザッハーク,DT13-JP025,Rare,0
ヴェルズ・カイトス,DT13-JP026,Rare,0
ヴェルズ・オランタ,DT13-JP027,nomal,0
ヴェルズ・マンドラゴ,DT13-JP028,nomal,0
ヴェルズ・フレイス,DT13-JP029,Rare,0
カオス・ソルジャー,DT13-JP030,Rare,0
イビリチュア・リヴァイアニマ,DT13-JP031,Super,0
キメラテック・オーバー・ドラゴン,DT13-JP032,Rare,0
ジェムナイト・ジルコニア,DT13-JP033,Super,0
Ｎｏ.３９ 希望皇ホープ,DT13-JP034,Super,0
ラヴァルバル・チェイン,DT13-JP035,Ultra,0
ラヴァルバル・チェイン,DT13-JP035,Secret,0
ダイガスタ・エメラル,DT13-JP036,Ultra,0
ダイガスタ・エメラル,DT13-JP036,Secret,0
セイクリッド・ヒアデス,DT13-JP037,Super,0
セイクリッド・プレアデス,DT13-JP038,Ultra,0
セイクリッド・プレアデス,DT13-JP038,Secret,0
ヴェルズ・ナイトメア,DT13-JP039,Super,0
ヴェルズ・バハムート,DT13-JP040,Ultra,0
ヴェルズ・バハムート,DT13-JP040,Secret,0
カオスの儀式,DT13-JP041,nomal,0
オーバーロード・フュージョン,DT13-JP042,nomal,0
炎熱伝導場,DT13-JP043,nomal,0
リチュアの写魂鏡,DT13-JP044,nomal,0
セイクリッドの星痕,DT13-JP045,nomal,0
くず鉄のかかし,DT13-JP046,nomal,0
ガトムズの緊急指令,DT13-JP047,nomal,0
廃石融合,DT13-JP048,nomal,0
ガスタの風塵,DT13-JP049,nomal,0
侵略の侵喰感染,DT13-JP050,nomal,0
