name,card_id,rare,stock
ブラッド・ヴォルス,DT05-JP001,nomal,0
ＢＦ－黒槍のブラスト,DT05-JP002,nomal,0
ジャンク・シンクロン,DT05-JP003,Rare,0
時の魔術師,DT05-JP004,nomal,0
ニュードリュア,DT05-JP005,nomal,0
溶岩魔神ラヴァ・ゴーレム,DT05-JP006,Super,0
Ｅ・ＨＥＲＯ プリズマー,DT05-JP007,N-Rare,0
魔轟神ウルストス,DT05-JP008,nomal,0
魔轟神クルス,DT05-JP009,Rare,0
魔轟神トピー,DT05-JP010,nomal,0
魔轟神ソルキウス,DT05-JP011,Super,0
魔轟神ミーズトージ,DT05-JP012,nomal,0
ジュラック・プティラ,DT05-JP013,nomal,0
ジュラック・イグアノン,DT05-JP014,Rare,0
ジュラック・ブラキス,DT05-JP015,nomal,0
ジュラック・スピノス,DT05-JP016,Rare,0
ナチュル・ドラゴンフライ,DT05-JP017,nomal,0
ナチュル・サンフラワー,DT05-JP018,nomal,0
ナチュル・クリフ,DT05-JP019,Super,0
ナチュル・トライアンフ,DT05-JP020,nomal,0
レアル・ジェネクス・ターボ,DT05-JP021,nomal,0
レアル・ジェネクス・コーディネイター,DT05-JP022,Rare,0
レアル・ジェネクス・クラッシャー,DT05-JP023,nomal,0
レアル・ジェネクス・マグナ,DT05-JP024,nomal,0
氷結界の決起隊,DT05-JP025,nomal,0
氷結界の武士,DT05-JP026,Rare,0
氷結界の水影,DT05-JP027,nomal,0
氷結界の輸送部隊,DT05-JP028,nomal,0
ワーム・ソリッド,DT05-JP029,Rare,0
ワーム・テンタクルス,DT05-JP030,nomal,0
ワーム・アグリィ,DT05-JP031,nomal,0
ワーム・ヴィクトリー,DT05-JP032,Super,0
古代の機械究極巨人,DT05-JP033,nomal,0
超魔導剣士－ブラック・パラディン,DT05-JP034,Rare,0
Ｅ・ＨＥＲＯ フレイム・ウィングマン,DT05-JP035,nomal,0
魔轟神レヴュアタン,DT05-JP036,Ultra,0
魔轟神レヴュアタン,DT05-JP036,Secret,0
ジュラック・ヴェルヒプト,DT05-JP037,Super,0
ナチュル・パルキオン,DT05-JP038,Ultra,0
ナチュル・パルキオン,DT05-JP038,Secret,0
レアル・ジェネクス・クロキシアン,DT05-JP039,Ultra,0
レアル・ジェネクス・クロキシアン,DT05-JP039,Secret,0
氷結界の龍 グングニール,DT05-JP040,Ultra,0
氷結界の龍 グングニール,DT05-JP040,Secret,0
突進,DT05-JP041,nomal,0
抹殺の使徒,DT05-JP042,nomal,0
地砕き,DT05-JP043,Rare,0
異次元からの埋葬,DT05-JP044,Super,0
痛魂の呪術,DT05-JP045,nomal,0
強制脱出装置,DT05-JP046,nomal,0
威嚇する咆哮,DT05-JP047,Rare,0
ダメージ・コンデンサー,DT05-JP048,nomal,0
闇の呪縛,DT05-JP049,nomal,0
万能地雷グレイモヤ,DT05-JP050,nomal,0
