name,card_id,rare,stock
デブリ・ドラゴン,DT06-JP001,nomal,0
クリボン,DT06-JP002,nomal,0
黄金の天道虫,DT06-JP003,nomal,0
暗黒魔族ギルファー・デーモン,DT06-JP004,nomal,0
Ｄ－ＨＥＲＯ ディアボリックガイ,DT06-JP005,nomal,0
深淵の暗殺者,DT06-JP006,nomal,0
森の番人グリーン・バブーン,DT06-JP007,N-Rare,0
Ｅ・ＨＥＲＯ エアーマン,DT06-JP008,Rare,0
ドラグニティ－ドゥクス,DT06-JP009,Super,0
ドラグニティ－レギオン,DT06-JP010,nomal,0
ドラグニティ－トリブル,DT06-JP011,Rare,0
ドラグニティ－ブラックスピア,DT06-JP012,nomal,0
ドラグニティ－ファランクス,DT06-JP013,Rare,0
魔轟神ディフ,DT06-JP014,nomal,0
魔轟神アシェンヴェイル,DT06-JP015,Super,0
魔轟神オルトロ,DT06-JP016,nomal,0
ジュラック・タイタン,DT06-JP017,Super,0
ジュラック・グアイバ,DT06-JP018,nomal,0
ジュラック・スタウリコ,DT06-JP019,nomal,0
ナチュル・ホーストニードル,DT06-JP020,Rare,0
ナチュル・フライトフライ,DT06-JP021,nomal,0
ナチュル・ハイドランジー,DT06-JP022,nomal,0
レアル・ジェネクス・アクセラレーター,DT06-JP023,nomal,0
レアル・ジェネクス・オラクル,DT06-JP024,nomal,0
レアル・ジェネクス・ウルティマム,DT06-JP025,Rare,0
氷結界の封魔団,DT06-JP026,nomal,0
氷結界の虎将 グルナード,DT06-JP027,Super,0
Ａ・Ｏ・Ｊ リーサル・ウェポン,DT06-JP028,Super,0
Ａ・Ｏ・Ｊ Ｄ.Ｄ.チェッカー,DT06-JP029,nomal,0
Ａ・Ｏ・Ｊ サイクルリーダー,DT06-JP030,Rare,0
ワーム・ウォーロード,DT06-JP031,Rare,0
ワーム・ゼクス,DT06-JP032,nomal,0
ワーム・ヤガン,DT06-JP033,nomal,0
ワーム・ゼロ,DT06-JP034,Super,0
サイバー・ツイン・ドラゴン,DT06-JP035,nomal,0
Ｅ・ＨＥＲＯ シャイニング・フレア・ウィングマン,DT06-JP036,Rare,0
ドラグニティナイト－ゲイボルグ,DT06-JP037,Ultra,0
ドラグニティナイト－ゲイボルグ,DT06-JP037,Secret,0
魔轟神レイジオン,DT06-JP038,Ultra,0
魔轟神レイジオン,DT06-JP038,Secret,0
レアル・ジェネクス・ヴィンディカイト,DT06-JP039,Ultra,0
レアル・ジェネクス・ヴィンディカイト,DT06-JP039,Secret,0
Ａ・Ｏ・Ｊ ディサイシブ・アームズ,DT06-JP040,Ultra,0
Ａ・Ｏ・Ｊ ディサイシブ・アームズ,DT06-JP040,Secret,0
浅すぎた墓穴,DT06-JP041,nomal,0
団結の力,DT06-JP042,nomal,0
月の書,DT06-JP043,Rare,0
洗脳－ブレインコントロール,DT06-JP044,nomal,0
デステニー・ドロー,DT06-JP045,nomal,0
毒蛇の供物,DT06-JP046,nomal,0
ガリトラップ－ピクシーの輪－,DT06-JP047,nomal,0
スキルドレイン,DT06-JP048,nomal,0
血の代償,DT06-JP049,Rare,0
和睦の使者,DT06-JP050,nomal,0
