name,card_id,rare,stock
異次元エスパー・スター・ロビン,DT14-JP001,Rare,0
野獣戦士ピューマン,DT14-JP002,nomal,0
鳳王獣ガイルーダ,DT14-JP003,nomal,0
鉄巨人アイアンハンマー,DT14-JP004,nomal,0
異次元ジェット・アイアン号,DT14-JP005,Rare,0
アイアイアン,DT14-JP006,nomal,0
ブリキンギョ,DT14-JP007,nomal,0
ネジマキシキガミ,DT14-JP008,nomal,0
ライトロード・モンク エイリン,DT14-JP009,nomal,0
インフェルニティ・デーモン,DT14-JP010,Rare,0
ジェムタートル,DT14-JP011,nomal,0
リチュア・ビースト,DT14-JP012,nomal,0
ジェムナイト・ラズリー,DT14-JP013,nomal,0
リチュア・ナタリア,DT14-JP014,Rare,0
セイクリッド・シェアト,DT14-JP015,nomal,0
セイクリッド・ハワー,DT14-JP016,nomal,0
セイクリッド・レオニス,DT14-JP017,nomal,0
セイクリッド・アクベス,DT14-JP018,nomal,0
セイクリッド・カウスト,DT14-JP019,Rare,0
セイクリッド・レスカ,DT14-JP020,nomal,0
セイクリッド・アンタレス,DT14-JP021,Rare,0
ヴェルズ・カストル,DT14-JP022,Rare,0
ヴェルズ・オ・ウィスプ,DT14-JP023,nomal,0
ヴェルズ・アザトホース,DT14-JP024,nomal,0
ヴェルズ・サンダーバード,DT14-JP025,nomal,0
ヴェルズ・サラマンドラ,DT14-JP026,nomal,0
ヴェルズ・ゴーレム,DT14-JP027,Rare,0
ヴェルズ・コッペリアル,DT14-JP028,Rare,0
創星神 ｓｏｐｈｉａ,DT14-JP029,Ultra,0
創星神 ｓｏｐｈｉａ,DT14-JP029,Secret,0
イビリチュア・プシュケローネ,DT14-JP030,Super,0
イビリチュア・ジールギガス,DT14-JP031,Super,0
ジェムナイト・セラフィ,DT14-JP032,Rare,0
ジェムナイトマスター・ダイヤ,DT14-JP033,Ultra,0
ジェムナイトマスター・ダイヤ,DT14-JP033,Secret,0
潜航母艦エアロ・シャーク,DT14-JP034,nomal,0
Ｎｏ.８３ ギャラクシー・クィーン,DT14-JP035,nomal,0
Ｎｏ.１０ 白輝士イルミネーター,DT14-JP036,nomal,0
ブリキの大公,DT14-JP037,Super,0
セイクリッド・ビーハイブ,DT14-JP038,Super,0
セイクリッド・トレミスＭ７,DT14-JP039,Ultra,0
セイクリッド・トレミスＭ７,DT14-JP039,Secret,0
ヴェルズ・タナトス,DT14-JP040,Super,0
ヴェルズ・オピオン,DT14-JP041,Super,0
ヴェルズ・ウロボロス,DT14-JP042,Ultra,0
ヴェルズ・ウロボロス,DT14-JP042,Secret,0
アイアンコール,DT14-JP043,nomal,0
真炎の爆発,DT14-JP044,nomal,0
セイクリッドの超新生,DT14-JP045,nomal,0
侵略の汎発感染,DT14-JP046,nomal,0
閃光を吸い込むマジック・ミラー,DT14-JP047,nomal,0
暗闇を吸い込むマジック・ミラー,DT14-JP048,nomal,0
セイクリッドの流星,DT14-JP049,nomal,0
侵略の侵喰崩壊,DT14-JP050,nomal,0
