name,card_id,rare,stock
モンタージュ・ドラゴン,DT04-JP001,Rare,0
Ｄ・ラジカッセン,DT04-JP002,nomal,0
ハイパー・シンクロン,DT04-JP003,nomal,0
夜薔薇の騎士,DT04-JP004,nomal,0
漆黒の豹戦士パンサーウォリアー,DT04-JP005,nomal,0
ダーク・ネクロフィア,DT04-JP006,Rare,0
カードガンナー,DT04-JP007,Super,0
ヘル・ドラゴン,DT04-JP008,nomal,0
究極恐獣,DT04-JP009,Rare,0
ゴブリンゾンビ,DT04-JP010,nomal,0
魔轟神ルリー,DT04-JP011,nomal,0
魔轟神グリムロ,DT04-JP012,Super,0
魔轟神ガルバス,DT04-JP013,Rare,0
魔轟神クシャノ,DT04-JP014,nomal,0
ジュラック・プロトプス,DT04-JP015,nomal,0
ジュラック・ヴェロー,DT04-JP016,Rare,0
ジュラック・モノロフ,DT04-JP017,nomal,0
ジュラック・ティラヌス,DT04-JP018,Super,0
ナチュル・アントジョー,DT04-JP019,nomal,0
ナチュル・スパイダーファング,DT04-JP020,nomal,0
ナチュル・ローズウィップ,DT04-JP021,Rare,0
ナチュル・コスモスビート,DT04-JP022,nomal,0
ジェネクス・ブラスト,DT04-JP023,nomal,0
リサイクル・ジェネクス,DT04-JP024,N-Rare,0
アーミー・ジェネクス,DT04-JP025,Super,0
氷結界の修験者,DT04-JP026,nomal,0
氷結界の風水師,DT04-JP027,nomal,0
霞の谷のファルコン,DT04-JP028,nomal,0
霞の谷の巨神鳥,DT04-JP029,Rare,0
Ａ・Ｏ・Ｊ リバース・ブレイク,DT04-JP030,Rare,0
Ａ・Ｏ・Ｊ アンリミッター,DT04-JP031,nomal,0
ワーム・オペラ,DT04-JP032,Rare,0
ワーム・プリンス,DT04-JP033,nomal,0
ワーム・クィーン,DT04-JP034,Super,0
ワーム・ルクイエ,DT04-JP035,nomal,0
魔轟神ヴァルキュルス,DT04-JP036,Ultra,0
魔轟神ヴァルキュルス,DT04-JP036,Secret,0
ジュラック・ギガノト,DT04-JP037,Ultra,0
ジュラック・ギガノト,DT04-JP037,Secret,0
ナチュル・ガオドレイク,DT04-JP038,Super,0
ウィンドファーム・ジェネクス,DT04-JP039,Ultra,0
ウィンドファーム・ジェネクス,DT04-JP039,Secret,0
霞の谷の雷神鬼,DT04-JP040,Ultra,0
霞の谷の雷神鬼,DT04-JP040,Secret,0
薔薇の刻印,DT04-JP041,Rare,0
デーモンの斧,DT04-JP042,nomal,0
ハンマーシュート,DT04-JP043,nomal,0
打ち出の小槌,DT04-JP044,nomal,0
死のマジック・ボックス,DT04-JP045,nomal,0
大進化薬,DT04-JP046,nomal,0
プライドの咆哮,DT04-JP047,nomal,0
アイヴィ・シャックル,DT04-JP048,nomal,0
カウンターパンチ,DT04-JP049,nomal,0
落とし穴,DT04-JP050,nomal,0
