name,card_id,rare,stock
クリボン,DE04-JP001,nomal,0
ＢＦ－大旆のヴァーユ,DE04-JP002,Ultra,0
ジェスター・コンフィ,DE04-JP003,nomal,0
フォーチュンレディ・ライティー,DE04-JP004,nomal,0
フォーチュンレディ・ファイリー,DE04-JP005,nomal,0
インフェルニティ・ビースト,DE04-JP006,nomal,0
ワンショット・ロケット,DE04-JP007,nomal,0
地縛神 Ｃｕｓｉｌｌｕ,DE04-JP008,Rare,0
地縛神 Ｃｈａｃｕ Ｃｈａｌｌｈｕａ,DE04-JP009,Rare,0
コアキメイル・ロック,DE04-JP010,nomal,0
コアキメイル・クルセイダー,DE04-JP011,nomal,0
黒光りするＧ,DE04-JP012,nomal,0
アームズ・シーハンター,DE04-JP013,nomal,0
フィッシュボーグ－ガンナー,DE04-JP014,nomal,0
ジェネティック・ウーマン,DE04-JP015,nomal,0
マインフィールド,DE04-JP016,nomal,0
ＸＸ－セイバー フォルトロール,DE04-JP017,Rare,0
フレムベル・ヘルドッグ,DE04-JP018,Super,0
ファルシオンβ,DE04-JP019,nomal,0
エンシェント・フェアリー・ドラゴン,DE04-JP020,Ultra,0
ワンショット・キャノン,DE04-JP021,nomal,0
アンデット・スカル・デーモン,DE04-JP022,nomal,0
エンシェント・ホーリー・ワイバーン,DE04-JP023,Rare,0
ＸＸ－セイバー ガトムズ,DE04-JP024,Super,0
拘束解放波,DE04-JP025,nomal,0
アドバンスドロー,DE04-JP026,nomal,0
古の森,DE04-JP027,nomal,0
フューチャー・ヴィジョン,DE04-JP028,nomal,0
一族の結束,DE04-JP029,Rare,0
ウォーターハザード,DE04-JP030,nomal,0
脳開発研究所,DE04-JP031,nomal,0
セイバー・スラッシュ,DE04-JP032,nomal,0
真炎の爆発,DE04-JP033,Ultra,0
化石調査,DE04-JP034,nomal,0
スキル・サクセサー,DE04-JP035,nomal,0
トゥルース・リインフォース,DE04-JP036,nomal,0
宮廷のしきたり,DE04-JP037,Rare,0
不協和音,DE04-JP038,nomal,0
異種闘争,DE04-JP039,nomal,0
海竜神の加護,DE04-JP040,nomal,0
身剣一体,DE04-JP041,nomal,0
救世竜 セイヴァー・ドラゴン,DE04-JP042,nomal,0
スターダスト・シャオロン,DE04-JP043,nomal,0
クイック・シンクロン,DE04-JP044,Ultra,0
レベル・スティーラー,DE04-JP045,nomal,0
インフェルニティ・ネクロマンサー,DE04-JP046,Rare,0
フォーチュンレディ・ウインディー,DE04-JP047,nomal,0
フォーチュンレディ・ウォーテリー,DE04-JP048,nomal,0
フォーチュンレディ・ダルキー,DE04-JP049,nomal,0
フォーチュンレディ・アーシー,DE04-JP050,nomal,0
カトブレパスと運命の魔女,DE04-JP051,nomal,0
レプティレス・ゴルゴーン,DE04-JP052,nomal,0
レプティレス・スキュラ,DE04-JP053,nomal,0
レプティレス・バイパー,DE04-JP054,nomal,0
地縛神 Ｃｃａｒａｙｈｕａ,DE04-JP055,Rare,0
地縛神 Ｕｒｕ,DE04-JP056,Rare,0
地縛神 Ｗｉｒａｑｏｃｈａ Ｒａｓｃａ,DE04-JP057,Rare,0
コアキメイル・ルークロード,DE04-JP058,nomal,0
クルセイダー・オブ・エンディミオン,DE04-JP059,nomal,0
鬼ガエル,DE04-JP060,nomal,0
ロードブリティッシュ,DE04-JP061,nomal,0
儀式魔人リリーサー,DE04-JP062,nomal,0
儀式魔人プレサイダー,DE04-JP063,nomal,0
救世の美神ノースウェムコ,DE04-JP064,Rare,0
セイヴァー・スター・ドラゴン,DE04-JP065,Rare,0
ＢＦ－孤高のシルバー・ウィンド,DE04-JP066,Rare,0
レプティレス・ラミア,DE04-JP067,nomal,0
ブラック・ブルドラゴ,DE04-JP068,Rare,0
エクスプローシブ・マジシャン,DE04-JP069,nomal,0
地縛旋風,DE04-JP070,nomal,0
フォーチュンフューチャー,DE04-JP071,nomal,0
タイムパッセージ,DE04-JP072,nomal,0
デュアルスパーク,DE04-JP073,Super,0
救世の儀式,DE04-JP074,nomal,0
儀式の準備,DE04-JP075,nomal,0
強欲なウツボ,DE04-JP076,Super,0
神聖なる森,DE04-JP077,nomal,0
狂植物の氾濫,DE04-JP078,nomal,0
無視加護,DE04-JP079,nomal,0
悪魔への貢物,DE04-JP080,nomal,0
運命湾曲,DE04-JP081,nomal,0
地縛波,DE04-JP082,nomal,0
デビリアン・ソング,DE04-JP083,nomal,0
ドリル・シンクロン,DE04-JP084,nomal,0
バトルフェーダー,DE04-JP085,Super,0
パワー・インベーダー,DE04-JP086,nomal,0
ダーク・バグ,DE04-JP087,nomal,0
黒薔薇の魔女,DE04-JP088,nomal,0
バッド・エンド・クイーン・ドラゴン,DE04-JP089,nomal,0
レプティレス・ガードナー,DE04-JP090,nomal,0
レプティレス・ナージャ,DE04-JP091,nomal,0
レプティレス・ヴァースキ,DE04-JP092,nomal,0
太陽の神官,DE04-JP093,Rare,0
赤蟻アスカトル,DE04-JP094,nomal,0
アポカテクイル,DE04-JP095,nomal,0
スーパイ,DE04-JP096,nomal,0
コアキメイル・ウルナイト,DE04-JP097,Rare,0
墓守の大神官,DE04-JP098,nomal,0
墓守の末裔,DE04-JP099,nomal,0
パンダボーグ,DE04-JP100,nomal,0
コダロス,DE04-JP101,nomal,0
聖なるあかり,DE04-JP102,Super,0
サイバー・ドラゴン・ツヴァイ,DE04-JP103,nomal,0
オイルメン,DE04-JP104,nomal,0
儀式魔人カースエンチャンター,DE04-JP105,nomal,0
儀式魔人プレコグスター,DE04-JP106,nomal,0
破滅の魔王ガーランドルフ,DE04-JP107,nomal,0
セイヴァー・デモン・ドラゴン,DE04-JP108,Rare,0
ドリル・ウォリアー,DE04-JP109,Super,0
太陽龍インティ,DE04-JP110,Rare,0
月影龍クイラ,DE04-JP111,Rare,0
ＸＸ－セイバー ヒュンレイ,DE04-JP112,nomal,0
調和の宝札,DE04-JP113,nomal,0
ヴァイパー・リボーン,DE04-JP114,nomal,0
鋼核合成獣研究所,DE04-JP115,nomal,0
墓守の石版,DE04-JP116,nomal,0
