name,card_id,rare,stock
ベビードラゴン,DL4-001,nomal,0
暗黒の竜王,DL4-002,nomal,0
バーバリアン２号,DL4-003,nomal,0
牛魔人,DL4-004,nomal,0
時の魔術師,DL4-005,Super,0
闇・道化師のサギー,DL4-006,nomal,0
壺魔人,DL4-007,nomal,0
幻想師・ノー・フェイス,DL4-008,nomal,0
クリッター,DL4-009,Rare,0
グレート・モス,DL4-010,nomal,0
クリボー,DL4-011,Rare,0
千年竜,DL4-012,nomal,0
海月－ジェリーフィッシュ－,DL4-013,nomal,0
闇晦ましの城,DL4-014,nomal,0
闇魔界の覇王,DL4-015,nomal,0
カタパルト・タートル,DL4-016,Rare,0
ケンタウロス,DL4-017,nomal,0
ミノケンタウロス,DL4-018,nomal,0
マーダーサーカス,DL4-019,nomal,0
ゴースト王－パンプキング－,DL4-020,nomal,0
ドリーム・ピエロ,DL4-021,nomal,0
悪魔の知恵,DL4-022,nomal,0
アイルの小剣士,DL4-023,nomal,0
剣の女王,DL4-024,Rare,0
火炎地獄,DL4-025,nomal,0
地雷蜘蛛,DL4-026,nomal,0
シャドウ・グール,DL4-027,nomal,0
ガーゴイル・パワード,DL4-028,nomal,0
ＴＭ－１ランチャースパイダー,DL4-029,nomal,0
ギガテック・ウルフ,DL4-030,nomal,0
サンダー・ドラゴン,DL4-031,Rare,0
レインボー・フィッシュ,DL4-032,nomal,0
雷仙人,DL4-033,nomal,0
空の昆虫兵,DL4-034,nomal,0
スーパースター,DL4-035,nomal,0
音楽家の帝王,DL4-036,nomal,0
ヤドカリュー,DL4-037,nomal,0
メカ・ザウルス,DL4-038,nomal,0
キャノン・ソルジャー,DL4-039,Rare,0
ムカムカ,DL4-040,Rare,0
悪魔の調理師,DL4-041,nomal,0
スター・ボーイ,DL4-042,nomal,0
ミリス・レディエント,DL4-043,nomal,0
ダーク・エルフ,DL4-044,nomal,0
マタンゴ,DL4-045,nomal,0
バーバリアン１号,DL4-046,nomal,0
黒き森のウィッチ,DL4-047,Rare,0
リトル・キメラ,DL4-048,nomal,0
ブレードフライ,DL4-049,nomal,0
ハイ・プリーステス,DL4-050,nomal,0
双頭の雷龍,DL4-051,nomal,0
見習い魔女,DL4-052,nomal,0
幻獣王ガゼル,DL4-053,nomal,0
ガーネシア・エレファンティス,DL4-054,nomal,0
リボルバー・ドラゴン,DL4-055,Ultra,0
リボルバー・ドラゴン,DL4-055,Parallel,0
神の宣告,DL4-056,Super,0
マジック・ジャマー,DL4-057,Super,0
盗賊の七つ道具,DL4-058,Super,0
昇天の角笛,DL4-059,Super,0
右手に盾を左手に剣を,DL4-060,Rare,0
執念の剣,DL4-061,nomal,0
『攻撃』封じ,DL4-062,nomal,0
薄幸の美少女,DL4-063,nomal,0
追い剥ぎゴブリン,DL4-064,Rare,0
細菌感染,DL4-065,nomal,0
しびれ薬,DL4-066,nomal,0
聖なるバリア －ミラーフォース－,DL4-067,Ultra,0
聖なるバリア －ミラーフォース－,DL4-067,Parallel,0
磁力の指輪,DL4-068,nomal,0
痛み分け,DL4-069,nomal,0
ドーピング,DL4-070,nomal,0
大嵐,DL4-071,Rare,0
エレキッズ,DL4-072,nomal,0
吸血ノミ,DL4-073,nomal,0
エルフの光,DL4-074,nomal,0
