name,card_id,rare,stock
アースクエイク・ジャイアント,DREV-JP001,nomal,0
エフェクト・ヴェーラー,DREV-JP002,Super,0
ダッシュ・ウォリアー,DREV-JP003,nomal,0
ダメージ・イーター,DREV-JP004,nomal,0
ＡＤチェンジャー,DREV-JP005,nomal,0
牙城のガーディアン,DREV-JP006,nomal,0
おとぼけオポッサム,DREV-JP007,nomal,0
虚栄の大猿,DREV-JP008,Rare,0
一角獣の使い魔,DREV-JP009,nomal,0
モノケロース,DREV-JP010,Rare,0
異次元の一角戦士,DREV-JP011,Rare,0
ユニバード,DREV-JP012,nomal,0
二角獣レーム,DREV-JP013,nomal,0
マイン・モール,DREV-JP014,nomal,0
トライデント・ウォリアー,DREV-JP015,Super,0
デルタフライ,DREV-JP016,Rare,0
ライノタウルス,DREV-JP017,nomal,0
幻角獣フュプノコーン,DREV-JP018,Rare,0
スクラップ・キマイラ,DREV-JP019,Super,0
スクラップ・ゴブリン,DREV-JP020,nomal,0
スクラップ・ビースト,DREV-JP021,Rare,0
スクラップ・ハンター,DREV-JP022,nomal,0
スクラップ・ゴーレム,DREV-JP023,Rare,0
エレキンギョ,DREV-JP024,nomal,0
エレキツネザル,DREV-JP025,nomal,0
エレキジ,DREV-JP026,nomal,0
ナチュル・モスキート,DREV-JP027,nomal,0
ナチュル・ビーンズ,DREV-JP028,nomal,0
ナチュル・バンブーシュート,DREV-JP029,Super,0
アマゾネスの賢者,DREV-JP030,nomal,0
アマゾネス訓練生,DREV-JP031,nomal,0
アマゾネス女王,DREV-JP032,Super,0
ロックキャット,DREV-JP033,nomal,0
エレファン,DREV-JP034,nomal,0
シンクロ・フュージョニスト,DREV-JP035,Rare,0
野望のゴーファー,DREV-JP036,Rare,0
ファイナルサイコオーガ,DREV-JP037,N-Rare,0
波動竜騎士 ドラゴエクィテス,DREV-JP038,Ultra,0
波動竜騎士 ドラゴエクィテス,DREV-JP038,Ultimate,0
波動竜騎士 ドラゴエクィテス,DREV-JP038,Holographic,0
アルティメットサイキッカー,DREV-JP039,Super,0
サンダー・ユニコーン,DREV-JP040,Super,0
ボルテック・バイコーン,DREV-JP041,Ultra,0
ボルテック・バイコーン,DREV-JP041,Ultimate,0
ライトニング・トライコーン,DREV-JP042,Ultra,0
ライトニング・トライコーン,DREV-JP042,Ultimate,0
スクラップ・ドラゴン,DREV-JP043,Ultra,0
スクラップ・ドラゴン,DREV-JP043,Ultimate,0
エレキマイラ,DREV-JP044,Ultra,0
エレキマイラ,DREV-JP044,Ultimate,0
死角からの一撃,DREV-JP045,nomal,0
ダブル・サイクロン,DREV-JP046,nomal,0
スクラップ・エリア,DREV-JP047,nomal,0
スクラップ・スコール,DREV-JP048,Rare,0
スクラップ・ポリッシュ,DREV-JP049,nomal,0
エレキュア,DREV-JP050,nomal,0
ナチュルの森,DREV-JP051,nomal,0
ランドオルスのヒカリゴケ,DREV-JP052,Rare,0
アマゾネスの里,DREV-JP053,Rare,0
アマゾネスの闘志,DREV-JP054,nomal,0
ユニコーンの導き,DREV-JP055,nomal,0
ビーストレイジ,DREV-JP056,nomal,0
ミラクルシンクロフュージョン,DREV-JP057,nomal,0
疫病,DREV-JP058,nomal,0
災いの装備品,DREV-JP059,N-Rare,0
賢者の聖杯,DREV-JP060,Rare,0
召喚の呪詛,DREV-JP061,N-Rare,0
強欲で謙虚な壺,DREV-JP062,Super,0
死力のタッグ・チェンジ,DREV-JP063,nomal,0
闘争本能,DREV-JP064,nomal,0
野生の咆哮,DREV-JP065,nomal,0
パラレル・セレクト,DREV-JP066,Rare,0
波動再生,DREV-JP067,Rare,0
波動障壁,DREV-JP068,nomal,0
連鎖旋風,DREV-JP069,nomal,0
スクラップ・カウンター,DREV-JP070,nomal,0
エレキャノン,DREV-JP071,nomal,0
アマゾネスの意地,DREV-JP072,Rare,0
女王の選択,DREV-JP073,nomal,0
ビーストライザー,DREV-JP074,nomal,0
幻獣の角,DREV-JP075,Rare,0
パラドックス・フュージョン,DREV-JP076,nomal,0
神の警告,DREV-JP077,nomal,0
反魔鏡,DREV-JP078,Rare,0
威風堂々,DREV-JP079,Super,0
ライト・オブ・デストラクション,DREV-JP080,N-Rare,0
