name,card_id,rare,stock
Ｄ－ＨＥＲＯ デビルガイ,EOJ-JP001,nomal,0
Ｄ－ＨＥＲＯ ダイハードガイ,EOJ-JP002,nomal,0
Ｄ－ＨＥＲＯ ダイヤモンドガイ,EOJ-JP003,Rare,0
Ｄ－ＨＥＲＯ ドレッドガイ,EOJ-JP004,Ultra,0
Ｄ－ＨＥＲＯ ドレッドガイ,EOJ-JP004,Ultimate,0
サイバー・チュチュ,EOJ-JP005,nomal,0
サイバー・ジムナティクス,EOJ-JP006,nomal,0
サイバー・プリマ,EOJ-JP007,Super,0
サイバー・プリマ,EOJ-JP007,Ultimate,0
サイバー・ジラフ,EOJ-JP008,nomal,0
サイバー・フェニックス,EOJ-JP009,Super,0
サイバー・フェニックス,EOJ-JP009,Ultimate,0
サーチライトメン,EOJ-JP010,nomal,0
ビクトリー・バイパー ＸＸ０３,EOJ-JP011,Super,0
ビクトリー・バイパー ＸＸ０３,EOJ-JP011,Ultimate,0
疾風鳥人ジョー,EOJ-JP012,nomal,0
ハーピィズペット仔竜,EOJ-JP013,Rare,0
光神機－閃空,EOJ-JP014,nomal,0
光神機－桜火,EOJ-JP015,Rare,0
光神機－轟龍,EOJ-JP016,Super,0
光神機－轟龍,EOJ-JP016,Ultimate,0
ロイヤルナイツ,EOJ-JP017,nomal,0
緑光の宣告者,EOJ-JP018,Rare,0
紫光の宣告者,EOJ-JP019,Rare,0
豊穣のアルテミス,EOJ-JP020,nomal,0
救済のレイヤード,EOJ-JP021,nomal,0
閃光の追放者,EOJ-JP022,Rare,0
裁きを下す者－ボルテニス,EOJ-JP023,Ultra,0
裁きを下す者－ボルテニス,EOJ-JP023,Ultimate,0
ガード・ドッグ,EOJ-JP024,nomal,0
真空イタチ,EOJ-JP025,nomal,0
荒ぶるアウス,EOJ-JP026,nomal,0
逆巻くエリア,EOJ-JP027,nomal,0
燃え盛るヒータ,EOJ-JP028,nomal,0
吹き荒れるウィン,EOJ-JP029,nomal,0
電池メン－単一型,EOJ-JP030,nomal,0
超電磁稼動ボルテック・ドラゴン,EOJ-JP031,Super,0
超電磁稼動ボルテック・ドラゴン,EOJ-JP031,Ultimate,0
Ｅ・ＨＥＲＯ フェニックスガイ,EOJ-JP032,Ultra,0
Ｅ・ＨＥＲＯ フェニックスガイ,EOJ-JP032,Ultimate,0
Ｅ・ＨＥＲＯ シャイニング・フェニックスガイ,EOJ-JP033,Ultra,0
Ｅ・ＨＥＲＯ シャイニング・フェニックスガイ,EOJ-JP033,Ultimate,0
Ｅ・ＨＥＲＯ セイラーマン,EOJ-JP034,nomal,0
Ｅ・ＨＥＲＯ ワイルド・ウィングマン,EOJ-JP035,Super,0
Ｅ・ＨＥＲＯ ワイルド・ウィングマン,EOJ-JP035,Ultimate,0
Ｅ・ＨＥＲＯ ネクロイド・シャーマン,EOJ-JP036,nomal,0
ミスフォーチュン,EOJ-JP037,nomal,0
Ｈ－ヒートハート,EOJ-JP038,nomal,0
Ｅ－エマージェンシーコール,EOJ-JP039,nomal,0
Ｒ－ライトジャスティス,EOJ-JP040,nomal,0
Ｏ－オーバーソウル,EOJ-JP041,nomal,0
ヒーローフラッシュ！！,EOJ-JP042,Rare,0
パワーカプセル,EOJ-JP043,nomal,0
光神化,EOJ-JP044,nomal,0
ガードペナルティ,EOJ-JP045,Rare,0
グランドクロス,EOJ-JP046,nomal,0
次元の裂け目,EOJ-JP047,nomal,0
幽獄の時計塔,EOJ-JP048,Super,0
幽獄の時計塔,EOJ-JP048,Ultimate,0
ライフチェンジャー,EOJ-JP049,Rare,0
エレメンタル・チャージ,EOJ-JP050,nomal,0
デステニー・デストロイ,EOJ-JP051,Rare,0
デステニー・シグナル,EOJ-JP052,nomal,0
Ｄ－タイム,EOJ-JP053,Rare,0
Ｄ－シールド,EOJ-JP054,nomal,0
ゴッドバードアタック,EOJ-JP055,nomal,0
エレメンタル・アブソーバー,EOJ-JP056,Rare,0
マクロコスモス,EOJ-JP057,nomal,0
奇跡の光臨,EOJ-JP058,Rare,0
罅割れゆく斧,EOJ-JP059,nomal,0
キックバック,EOJ-JP060,Rare,0
