name,card_id,rare,stock
パラレルエクシード,ETCO-JP001,nomal,0
コードブレイカー・ゼロデイ,ETCO-JP002,nomal,0
転生炎獣ゼブロイドＸ,ETCO-JP003,nomal,0
剛鬼アイアン・クロー,ETCO-JP004,nomal,0
剛鬼ガッツ,ETCO-JP005,nomal,0
海晶乙女バシランリマ,ETCO-JP006,nomal,0
ノクトビジョン・ドラゴン,ETCO-JP007,Rare,0
アークネメシス・プロートス,ETCO-JP008,Super,0
アークネメシス・プロートス,ETCO-JP008,Secret,0
アークネメシス・エスカトス,ETCO-JP009,Super,0
アークネメシス・エスカトス,ETCO-JP009,Secret,0
ネメシス・フラッグ,ETCO-JP010,Rare,0
ネメシス・アンブレラ,ETCO-JP011,nomal,0
ネメシス・コリドー,ETCO-JP012,nomal,0
深海のアーチザン,ETCO-JP013,Rare,0
深海のセントリー,ETCO-JP014,nomal,0
深海のミンストレル,ETCO-JP015,nomal,0
スカーレッド・ファミリア,ETCO-JP016,nomal,0
クリムゾン・リゾネーター,ETCO-JP017,nomal,0
ランタン・シャーク,ETCO-JP018,nomal,0
カッター・シャーク,ETCO-JP019,Rare,0
戦華の孟－曹徳,ETCO-JP020,Rare,0
戦華の来－張遠,ETCO-JP021,nomal,0
戦華の詭－賈文,ETCO-JP022,nomal,0
戦華の智－諸葛孔,ETCO-JP023,Rare,0
宵星の騎士ギルス,ETCO-JP024,Rare,0
天雷震龍－サンダー・ドラゴン,ETCO-JP025,nomal,0
ドラゴンメイド・チェイム,ETCO-JP026,Super,0
ドラゴンメイド・チェイム,ETCO-JP026,Secret,0
轟の王 ハール,ETCO-JP027,Super,0
轟の王 ハール,ETCO-JP027,Secret,0
王の影 ロプトル,ETCO-JP028,Rare,0
破械童子サラマ,ETCO-JP029,nomal,0
獣神王バルバロス,ETCO-JP030,Rare,0
機巧狐－宇迦之御魂稲荷,ETCO-JP031,Ultra,0
機巧狐－宇迦之御魂稲荷,ETCO-JP031,Ultimate,0
機巧狐－宇迦之御魂稲荷,ETCO-JP031,Secret,0
トリアス・ヒエラルキア,ETCO-JP032,Rare,0
氷天禍チルブレイン,ETCO-JP033,nomal,0
ユニオン・ドライバー,ETCO-JP034,nomal,0
悪魔嬢マリス,ETCO-JP035,nomal,0
朔夜しぐれ,ETCO-JP036,Super,0
朔夜しぐれ,ETCO-JP036,Secret,0
