name,card_id,rare,stock
おジャマ・イエロー,EE2-JP001,nomal,0
おジャマ・ブラック,EE2-JP002,nomal,0
魂虎,EE2-JP003,nomal,0
ビッグ・コアラ,EE2-JP004,nomal,0
デス・カンガルー,EE2-JP005,nomal,0
赤い忍者,EE2-JP006,nomal,0
速攻の黒い忍者,EE2-JP007,Ultra,0
爆風トカゲ,EE2-JP008,nomal,0
強欲な壺の精霊,EE2-JP009,nomal,0
凶悪犯－チョップマン,EE2-JP010,nomal,0
大盤振舞侍,EE2-JP011,nomal,0
異次元の偵察機,EE2-JP012,Rare,0
怒れる類人猿,EE2-JP013,Rare,0
放浪の勇者 フリード,EE2-JP014,Super,0
鬼ゴブリン,EE2-JP015,nomal,0
混沌の呪術師,EE2-JP016,nomal,0
カオス・ネクロマンサー,EE2-JP017,nomal,0
カオスライダー グスタフ,EE2-JP018,Super,0
インフェルノ,EE2-JP019,nomal,0
フェンリル,EE2-JP020,Rare,0
ギガンテス,EE2-JP021,nomal,0
シルフィード,EE2-JP022,nomal,0
カオス・ソーサラー,EE2-JP023,nomal,0
紅蓮魔獣 ダ・イーザ,EE2-JP024,nomal,0
カオス・ソルジャー －開闢の使者－,EE2-JP025,Ultra,0
ドリラゴ,EE2-JP026,Rare,0
レクンガ,EE2-JP027,Rare,0
ロードポイズン,EE2-JP028,nomal,0
ボーガニアン,EE2-JP029,nomal,0
グラナドラ,EE2-JP030,nomal,0
風魔手裏剣,EE2-JP031,nomal,0
凡骨の意地,EE2-JP032,nomal,0
野性解放,EE2-JP033,Rare,0
おジャマ・デルタハリケーン！！,EE2-JP034,nomal,0
つまずき,EE2-JP035,nomal,0
カオス・エンド,EE2-JP036,nomal,0
カオス・シールド,EE2-JP037,nomal,0
カオス・グリード,EE2-JP038,nomal,0
異次元の指名者,EE2-JP039,Super,0
異次元の境界線,EE2-JP040,nomal,0
リサイクル,EE2-JP041,nomal,0
原初の種,EE2-JP042,nomal,0
サンダー・クラッシュ,EE2-JP043,nomal,0
次元の歪み,EE2-JP044,nomal,0
リロード,EE2-JP045,Super,0
魂吸収,EE2-JP046,nomal,0
大火葬,EE2-JP047,Super,0
残骸爆破,EE2-JP048,nomal,0
封魔の呪印,EE2-JP049,nomal,0
バベル・タワー,EE2-JP050,nomal,0
宇宙の収縮,EE2-JP051,nomal,0
連鎖除外,EE2-JP052,Rare,0
重力解除,EE2-JP053,nomal,0
邪悪なるバリア －ダーク・フォース－,EE2-JP054,Super,0
エナジー・ドレイン,EE2-JP055,nomal,0
混沌帝龍 －終焉の使者－,EE2-JP056,Ultra,0
ギガ・ガガギゴ,EE2-JP057,nomal,0
暗黒の狂犬,EE2-JP058,nomal,0
ネオバグ,EE2-JP059,nomal,0
暗黒の海竜兵,EE2-JP060,nomal,0
ジェノサイドキングサーモン,EE2-JP061,nomal,0
火炎木人１８,EE2-JP062,nomal,0
燃える藻,EE2-JP063,nomal,0
火口に潜む者,EE2-JP064,nomal,0
灼熱ゾンビ,EE2-JP065,nomal,0
混沌の黒魔術師,EE2-JP066,Ultra,0
幻影のゴラ亀,EE2-JP067,nomal,0
暗黒のマンティコア,EE2-JP068,Super,0
ステルスバード,EE2-JP069,Rare,0
聖鳥クレイン,EE2-JP070,nomal,0
激昂のミノタウルス,EE2-JP071,nomal,0
首領亀,EE2-JP072,nomal,0
バルーン・リザード,EE2-JP073,nomal,0
暗黒ドリケラトプス,EE2-JP074,nomal,0
ハイパーハンマーヘッド,EE2-JP075,nomal,0
暗黒恐獣,EE2-JP076,Ultra,0
対空放花,EE2-JP077,nomal,0
棘の妖精,EE2-JP078,nomal,0
代打バッター,EE2-JP079,nomal,0
髑髏顔 天道虫,EE2-JP080,nomal,0
インセクト・プリンセス,EE2-JP081,Ultra,0
水陸両用バグロス Ｍｋ－３,EE2-JP082,Rare,0
魚雷魚,EE2-JP083,nomal,0
海竜－ダイダロス,EE2-JP084,Ultra,0
暗黒大要塞鯱,EE2-JP085,Rare,0
砲弾ヤリ貝,EE2-JP086,nomal,0
不意打ち又佐,EE2-JP087,Rare,0
守護天使 ジャンヌ,EE2-JP088,Super,0
マンジュ・ゴッド,EE2-JP089,nomal,0
月風魔,EE2-JP090,nomal,0
龍骨鬼,EE2-JP091,Super,0
グリフォンの羽根帚,EE2-JP092,nomal,0
迷える仔羊,EE2-JP093,Rare,0
地砕き,EE2-JP094,nomal,0
次元融合,EE2-JP095,Super,0
光と闇の洗礼,EE2-JP096,Super,0
サルベージ,EE2-JP097,nomal,0
超進化薬,EE2-JP098,nomal,0
アリの増殖,EE2-JP099,nomal,0
大地讃頌,EE2-JP100,nomal,0
翡翠の蟲笛,EE2-JP101,nomal,0
破壊指輪,EE2-JP102,nomal,0
悪魔の手鏡,EE2-JP103,nomal,0
強制脱出装置,EE2-JP104,Rare,0
ヒーロー見参,EE2-JP105,nomal,0
自爆スイッチ,EE2-JP106,nomal,0
暗黒の呪縛,EE2-JP107,Rare,0
門前払い,EE2-JP108,nomal,0
ＤＮＡ移植手術,EE2-JP109,nomal,0
追い剥ぎゾンビ,EE2-JP110,Rare,0
トラップ・ジャマー,EE2-JP111,Rare,0
暗黒の侵略者,EE2-JP112,Ultra,0
ゴギガ・ガガギゴ,EE2-JP113,nomal,0
ゼラの戦士,EE2-JP114,nomal,0
封印師 メイセイ,EE2-JP115,nomal,0
神聖なる球体,EE2-JP116,nomal,0
鉄鋼装甲虫,EE2-JP117,nomal,0
裁きの代行者 サターン,EE2-JP118,Super,0
英知の代行者 マーキュリー,EE2-JP119,nomal,0
創造の代行者 ヴィーナス,EE2-JP120,nomal,0
力の代行者 マーズ,EE2-JP121,nomal,0
薄幸の乙女,EE2-JP122,nomal,0
精気を吸う骨の塔,EE2-JP123,nomal,0
ザ・キックマン,EE2-JP124,nomal,0
ヴァンパイア・レディ,EE2-JP125,nomal,0
アステカの石像,EE2-JP126,Rare,0
ロケット・ジャンパー,EE2-JP127,nomal,0
壺魔神,EE2-JP128,nomal,0
伝説の柔術家,EE2-JP129,nomal,0
機動砦のギア・ゴーレム,EE2-JP130,Super,0
ＫＡ－２ デス・シザース,EE2-JP131,nomal,0
ニードルバンカー,EE2-JP132,Rare,0
ソニックジャマー,EE2-JP133,nomal,0
ブローバック・ドラゴン,EE2-JP134,Ultra,0
雷帝ザボルグ,EE2-JP135,Super,0
原子ホタル,EE2-JP136,nomal,0
マーメイド・ナイト,EE2-JP137,Rare,0
軍隊ピラニア,EE2-JP138,nomal,0
針二千本,EE2-JP139,nomal,0
円盤闘士,EE2-JP140,nomal,0
深緑の魔弓使い,EE2-JP141,nomal,0
女忍者ヤエ,EE2-JP142,nomal,0
キングゴブリン,EE2-JP143,nomal,0
プロミネンス・ドラゴン,EE2-JP144,nomal,0
白魔導士ピケル,EE2-JP145,nomal,0
大天使ゼラート,EE2-JP146,Ultra,0
光学迷彩アーマー,EE2-JP147,nomal,0
神秘の中華なべ,EE2-JP148,nomal,0
エネミーコントローラー,EE2-JP149,Super,0
滅びの爆裂疾風弾,EE2-JP150,Super,0
モンスターゲート,EE2-JP151,nomal,0
電脳増幅器,EE2-JP152,Rare,0
ウェポンチェンジ,EE2-JP153,nomal,0
天空の聖域,EE2-JP154,nomal,0
アースクエイク,EE2-JP155,nomal,0
罠封印の呪符,EE2-JP156,nomal,0
盗人ゴブリン,EE2-JP157,nomal,0
バックファイア,EE2-JP158,nomal,0
ミクロ光線,EE2-JP159,nomal,0
裁きの光,EE2-JP160,nomal,0
魔法封印の呪符,EE2-JP161,nomal,0
光の護封壁,EE2-JP162,nomal,0
ソーラーレイ,EE2-JP163,nomal,0
忍法 変化の術,EE2-JP164,nomal,0
光の召集,EE2-JP165,nomal,0
ドレインシールド,EE2-JP166,Rare,0
アーマーブレイク,EE2-JP167,nomal,0
デビルマゼラ,EE2-JP168,Ultra,0
ギゴバイト,EE2-JP169,nomal,0
もけもけ,EE2-JP170,nomal,0
コザッキー,EE2-JP171,nomal,0
デビルスコーピオン,EE2-JP172,nomal,0
ファラオのしもべ,EE2-JP173,nomal,0
王家の守護者,EE2-JP174,nomal,0
スピリッツ・オブ・ファラオ,EE2-JP175,Ultra,0
ナイトメアテーベ,EE2-JP176,Rare,0
アスワンの亡霊,EE2-JP177,nomal,0
神殿を守る者,EE2-JP178,Rare,0
ヌビアガード,EE2-JP179,nomal,0
レガシーハンター,EE2-JP180,Super,0
砂バク,EE2-JP181,nomal,0
サンド・ギャンブラー,EE2-JP182,nomal,0
みつこぶラクーダ,EE2-JP183,nomal,0
ジャッカルの霊騎士,EE2-JP184,Ultra,0
吸収天児,EE2-JP185,nomal,0
恵みの像,EE2-JP186,nomal,0
災いの像,EE2-JP187,nomal,0
魂を呼ぶ者,EE2-JP188,nomal,0
冥界の使者,EE2-JP189,Super,0
グレイヴ・キーパー,EE2-JP190,nomal,0
ダブルコストン,EE2-JP191,Rare,0
再生ミイラ,EE2-JP192,nomal,0
深淵の暗殺者,EE2-JP193,Rare,0
人投げトロール,EE2-JP194,nomal,0
沼地の魔神王,EE2-JP195,nomal,0
オアシスの使者,EE2-JP196,nomal,0
スペシャルハリケーン,EE2-JP197,Rare,0
突撃指令,EE2-JP198,nomal,0
魂喰らいの魔刀,EE2-JP199,nomal,0
砂塵の結界,EE2-JP200,nomal,0
リバースソウル,EE2-JP201,nomal,0
魔力倹約術,EE2-JP202,Rare,0
ナイルの恵み,EE2-JP203,nomal,0
７,EE2-JP204,nomal,0
レベル制限Ｂ地区,EE2-JP205,Rare,0
魔の試着部屋,EE2-JP206,nomal,0
