name,card_id,rare,stock
輪廻天狗,EP12-JP001,Ultra,0
ヴァンパイア・ドラゴン,EP12-JP002,nomal,0
アボイド・ドラゴン,EP12-JP003,Super,0
極星霊スヴァルトアールヴ,EP12-JP004,nomal,0
魔界発現世行きデスガイド,EP12-JP005,Ultra,0
サイキック・ビースト,EP12-JP006,nomal,0
剣闘獣エセダリ,EP12-JP007,Rare,0
剣闘調教,EP12-JP008,nomal,0
フルハウス,EP12-JP009,nomal,0
サイコ・ショックウェーブ,EP12-JP010,Rare,0
エクシーズ・ヴェール,EP12-JP011,Rare,0
シー・ランサー,EP12-JP012,nomal,0
カンツウツボ,EP12-JP013,nomal,0
ロスト・ブルー・ブレイカー,EP12-JP014,nomal,0
ペインペインター,EP12-JP015,Rare,0
オリエント・ドラゴン,EP12-JP016,Super,0
終焉の守護者アドレウス,EP12-JP017,Ultra,0
フィッシュアンドバックス,EP12-JP018,nomal,0
苦渋の転生,EP12-JP019,nomal,0
角笛砕き,EP12-JP020,nomal,0
アレキサンドライドラゴン,EP12-JP021,Super,0
フォトン・サーベルタイガー,EP12-JP022,Rare,0
エヴォルダー・ペルタ,EP12-JP023,nomal,0
ゼンマイラビット,EP12-JP024,Rare,0
Ｄボーイズ,EP12-JP025,nomal,0
暗黒界の闘神 ラチナ,EP12-JP026,nomal,0
エヴォルカイザー・ドルカ,EP12-JP027,Ultra,0
発条機雷ゼンマイン,EP12-JP028,Rare,0
エクシーズ・テリトリー,EP12-JP029,nomal,0
暗黒の瘴気,EP12-JP030,Rare,0
甲虫装機の魔斧 ゼクトホーク,EP12-JP031,nomal,0
甲虫装機 ホッパー,EP12-JP032,nomal,0
ゼンマイシャーク,EP12-JP033,Super,0
エヴォルド・ナハシュ,EP12-JP034,nomal,0
白竜の忍者,EP12-JP035,Super,0
異界の棘紫竜,EP12-JP036,Super,0
魔界発現世行きバス,EP12-JP037,nomal,0
フォトン・トライデント,EP12-JP038,Rare,0
突然進化,EP12-JP039,nomal,0
忍法 分身の術,EP12-JP040,Rare,0
六武衆の影－紫炎,EP12-JP041,Ultra,0
オレイカルコスの結界,EP12-JP042,Ultra,0
