name,card_id,rare,stock
ブラッドストーム,EXP3-JP001,Ultra,0
コアキメイル・ウォーアームズ,EXP3-JP002,nomal,0
イモータル・ルーラー,EXP3-JP003,nomal,0
ハードアームドラゴン,EXP3-JP004,Rare,0
モジャ,EXP3-JP005,nomal,0
ビーストライカー,EXP3-JP006,nomal,0
キング・オブ・ビースト,EXP3-JP007,Rare,0
スワローズ・ネスト,EXP3-JP008,Super,0
オーバーウェルム,EXP3-JP009,nomal,0
バーサーキング,EXP3-JP010,nomal,0
ＸＸ－セイバー ガルドストライク,EXP3-JP011,Ultra,0
ＸＸ－セイバー フラムナイト,EXP3-JP012,nomal,0
コアキメイル・グールズスレイブ,EXP3-JP013,nomal,0
コアキメイル・グラヴィローズ,EXP3-JP014,nomal,0
サイコ・エンペラー,EXP3-JP015,nomal,0
カードガード,EXP3-JP016,Super,0
フレムベル・デスガンナー,EXP3-JP017,nomal,0
擬似空間,EXP3-JP018,N-Rare,0
グリード・グラード,EXP3-JP019,nomal,0
早すぎた復活,EXP3-JP020,Rare,0
コアキメイル・ビートル,EXP3-JP021,nomal,0
コアキメイル・マキシマム,EXP3-JP022,Super,0
ライトロード・スピリット シャイア,EXP3-JP023,nomal,0
ライトロード・シーフ ライニャン,EXP3-JP024,nomal,0
森の狩人イエロー・バブーン,EXP3-JP025,Rare,0
デュアル・スコーピオン,EXP3-JP026,nomal,0
メタボ・シャーク,EXP3-JP027,nomal,0
地縛神の復活,EXP3-JP028,nomal,0
レプティレス・ポイズン,EXP3-JP029,nomal,0
六武の門,EXP3-JP030,Super,0
墓守の巫女,EXP3-JP031,Rare,0
ＸＸ－セイバー エマーズブレイド,EXP3-JP032,Rare,0
黒魔力の精製者,EXP3-JP033,nomal,0
素早いビッグハムスター,EXP3-JP034,nomal,0
サボウ・クローザー,EXP3-JP035,nomal,0
ドラゴニック・ガード,EXP3-JP036,nomal,0
海底に潜む深海竜,EXP3-JP037,nomal,0
儀式魔人ディザーズ,EXP3-JP038,nomal,0
地縛大神官,EXP3-JP039,N-Rare,0
コア転送ユニット,EXP3-JP040,nomal,0
