name,card_id,rare,stock
ギャラクシーサーペント,EP14-JP001,nomal,0
武神器－チカヘシ,EP14-JP002,nomal,0
幻獣機エアロスバード,EP14-JP003,nomal,0
こけコッコ,EP14-JP004,Rare,0
聖騎士トリスタン,EP14-JP005,nomal,0
魔界発冥界行きバス,EP14-JP006,Rare,0
対峙するＧ,EP14-JP007,Rare,0
ゼラの天使,EP14-JP008,Ultra,0
ゼラの天使,EP14-JP008,Secret,0
エクシーズ・オーバーディレイ,EP14-JP009,nomal,0
ムーンダンスの儀式,EP14-JP010,nomal,0
ゴーストリック・グール,EP14-JP011,nomal,0
武神器－マフツ,EP14-JP012,nomal,0
ヴァンパイア・デューク,EP14-JP013,nomal,0
デーモンの巨神,EP14-JP014,nomal,0
湖の乙女ヴィヴィアン,EP14-JP015,Rare,0
聖騎士ボールス,EP14-JP016,Super,0
魔聖騎士皇ランスロット,EP14-JP017,Ultra,0
魔聖騎士皇ランスロット,EP14-JP017,Secret,0
神聖騎士王アルトリウス,EP14-JP018,Ultra,0
神聖騎士王アルトリウス,EP14-JP018,Secret,0
聖剣 ＥＸ－カリバーン,EP14-JP019,Ultra,0
聖剣 ＥＸ－カリバーン,EP14-JP019,Secret,0
悪魔の憑代,EP14-JP020,nomal,0
森羅の葉心棒 ブレイド,EP14-JP021,nomal,0
森羅の蜜柑子 シトラ,EP14-JP022,nomal,0
ゴーストリック・イエティ,EP14-JP023,nomal,0
武神器－イオツミ,EP14-JP024,nomal,0
墓守の異端者,EP14-JP025,nomal,0
聖騎士パーシヴァル,EP14-JP026,nomal,0
聖剣を抱く王妃ギネヴィア,EP14-JP027,Rare,0
甲化鎧骨格,EP14-JP028,Super,0
魔獣の懐柔,EP14-JP029,Super,0
始源の帝王,EP14-JP030,Super,0
アーティファクト－デスサイズ,EP14-JP031,Rare,0
聖騎士の三兄弟,EP14-JP032,Rare,0
聖騎士エクター・ド・マリス,EP14-JP033,nomal,0
森羅の姫芽君 スプラウト,EP14-JP034,Super,0
武神器－ツムガリ,EP14-JP035,nomal,0
ヴァンプ・オブ・ヴァンパイア,EP14-JP036,nomal,0
剣闘獣ネロキウス,EP14-JP037,Rare,0
円卓の聖騎士,EP14-JP038,nomal,0
約束の地 －アヴァロン－,EP14-JP039,nomal,0
連撃の帝王,EP14-JP040,Rare,0
フラボット,EP14-JP041,nomal,0
ハンプティ・ダンディ,EP14-JP042,nomal,0
外神ナイアルラ,EP14-JP043,Rare,0
牙竜咆哮,EP14-JP044,nomal,0
プランクスケール,EP14-JP045,nomal,0
ゲリラカイト,EP14-JP046,nomal,0
エレキック・ファイター,EP14-JP047,nomal,0
旧神ノーデン,EP14-JP048,Super,0
驚天動地,EP14-JP049,nomal,0
ゴーストリック・ブレイク,EP14-JP050,nomal,0
蒼炎の剣士,EP14-JP051,Rare,0
ハーピィ・レディ －鳳凰の陣－,EP14-JP052,Ultra,0
ハーピィ・レディ －鳳凰の陣－,EP14-JP052,Secret,0
悠久の黄金都市 グランポリス,EP14-JP053,Ex-Secret,0
Ｅ☆ＨＥＲＯ 盤面の執行者,EP14-JP054,Ex-Secret,0
