name,card_id,rare,stock
聖騎士アルトリウス,EP13-JP001,Rare,0
エンシェント・ドラゴン,EP13-JP002,nomal,0
龍王の聖刻印,EP13-JP003,nomal,0
エヴォルド・エルギネル,EP13-JP004,nomal,0
ライトレイ グレファー,EP13-JP005,nomal,0
遅すぎたオーク,EP13-JP006,nomal,0
竜の交感,EP13-JP007,Super,0
招来の対価,EP13-JP008,nomal,0
復活の聖刻印,EP13-JP009,nomal,0
エクシーズ・パニッシュ,EP13-JP010,nomal,0
聖騎士ガウェイン,EP13-JP011,Rare,0
魔導鬼士 ディアール,EP13-JP012,Super,0
ライトレイ マドール,EP13-JP013,nomal,0
青竜の忍者,EP13-JP014,nomal,0
イマイルカ,EP13-JP015,nomal,0
リバイバルゴーレム,EP13-JP016,Rare,0
聖剣ガラティーン,EP13-JP017,Rare,0
魔導書庫クレッセン,EP13-JP018,nomal,0
アドバンス・ゾーン,EP13-JP019,nomal,0
忍法 影縫いの術,EP13-JP020,nomal,0
魔聖騎士ランスロット,EP13-JP021,Ultra,0
魔聖騎士ランスロット,EP13-JP021,Secret,0
水精鱗－アビスマンダー,EP13-JP022,nomal,0
赤竜の忍者,EP13-JP023,Rare,0
フラッピィ,EP13-JP024,nomal,0
深淵に潜む者,EP13-JP025,Ultra,0
深淵に潜む者,EP13-JP025,Secret,0
鋼鉄の巨兵,EP13-JP026,Rare,0
聖剣アロンダイト,EP13-JP027,Rare,0
魔導書庫ソレイン,EP13-JP028,nomal,0
魔導書廊エトワール,EP13-JP029,nomal,0
ムーン・スクレイパー,EP13-JP030,nomal,0
聖剣カリバーン,EP13-JP031,nomal,0
聖騎士モルドレッド,EP13-JP032,Super,0
陽炎獣 メコレオス,EP13-JP033,nomal,0
水精鱗－ディニクアビス,EP13-JP034,Ultra,0
水精鱗－ディニクアビス,EP13-JP034,Secret,0
嚇灼の魔神,EP13-JP035,nomal,0
神秘の妖精 エルフィリア,EP13-JP036,Super,0
聖騎士王アルトリウス,EP13-JP037,Ultra,0
聖騎士王アルトリウス,EP13-JP037,Secret,0
ヘルフレイムゴースト,EP13-JP038,Rare,0
魔力隔壁,EP13-JP039,nomal,0
キックファイア,EP13-JP040,nomal,0
幻獣機タートレーサー,EP13-JP041,nomal,0
聖騎士ガラハド,EP13-JP042,Rare,0
機炎星－ゴヨウテ,EP13-JP043,nomal,0
水精鱗－サルフアビス,EP13-JP044,Super,0
機動要犀 トリケライナー,EP13-JP045,Rare,0
異怪の妖精 エルフォビア,EP13-JP046,Super,0
トーテムバード,EP13-JP047,Ultra,0
トーテムバード,EP13-JP047,Secret,0
天命の聖剣,EP13-JP048,nomal,0
魔導書の奇跡,EP13-JP049,Rare,0
炎虎梁山爆,EP13-JP050,nomal,0
伝説の白き龍,EP13-JP051,Ex-Secret,0
伝説の闇の魔導師,EP13-JP052,Ex-Secret,0
