name,card_id,rare,stock
六武衆の師範,EXP1-JP001,Ultra,0
ヴォルカニック・ロケット,EXP1-JP002,Rare,0
デュアル・サモナー,EXP1-JP003,nomal,0
オーシャンズ・オーパー,EXP1-JP004,nomal,0
サウザンド・アイズ・フィッシュ,EXP1-JP005,nomal,0
マザー・ブレイン,EXP1-JP006,nomal,0
深海王デビルシャーク,EXP1-JP007,nomal,0
モーム,EXP1-JP008,nomal,0
マンモ・フォッシル,EXP1-JP009,nomal,0
竜影魚レイ・ブロント,EXP1-JP010,nomal,0
地獄の門番イル・ブラッド,EXP1-JP011,nomal,0
炎妖蝶ウィルプス,EXP1-JP012,Rare,0
剣闘獣オクタビウス,EXP1-JP013,Super,0
剣闘獣トラケス,EXP1-JP014,nomal,0
スレイブタイガー,EXP1-JP015,Rare,0
ディフェンシブ・タクティクス,EXP1-JP016,nomal,0
ドラゴン・アイス,EXP1-JP017,nomal,0
タン・ツイスター,EXP1-JP018,nomal,0
スクリーチ,EXP1-JP019,Rare,0
炎帝近衛兵,EXP1-JP020,Super,0
漆黒のトバリ,EXP1-JP021,nomal,0
セキュリティー・ボール,EXP1-JP022,N-Rare,0
ダーク・グレファー,EXP1-JP023,nomal,0
堕天使ゼラート,EXP1-JP024,Ultra,0
ダーク・パーシアス,EXP1-JP025,Rare,0
深海の大ウナギ,EXP1-JP026,nomal,0
闇の誘惑,EXP1-JP027,Super,0
メタボ・サッカー,EXP1-JP028,nomal,0
光鱗のトビウオ,EXP1-JP029,nomal,0
マテリアルドラゴン,EXP1-JP030,Super,0
ローンファイア・ブロッサム,EXP1-JP031,Rare,0
ジャイアントワーム,EXP1-JP032,nomal,0
