name,card_id,rare,stock
プロトロン,FLOD-JP001,nomal,0
プロンプトホーン,FLOD-JP002,nomal,0
バックアップ・オペレーター,FLOD-JP003,Rare,0
リンク・ストリーマー,FLOD-JP004,nomal,0
デグレネード・バスター,FLOD-JP005,Super,0
デグレネード・バスター,FLOD-JP005,Secret,0
トリックスター・ヒヨス,FLOD-JP006,nomal,0
トリックスター・マンドレイク,FLOD-JP007,nomal,0
トリックスター・シャクナージュ,FLOD-JP008,Rare,0
剛鬼マンジロック,FLOD-JP009,nomal,0
剛鬼ハッグベア,FLOD-JP010,nomal,0
デフラドラグーン,FLOD-JP011,nomal,0
バックグランド・ドラゴン,FLOD-JP012,nomal,0
ティンダングル・トリニティ,FLOD-JP013,nomal,0
オルターガイスト・マルチフェイカー,FLOD-JP014,Super,0
オルターガイスト・マルチフェイカー,FLOD-JP014,Secret,0
オルターガイスト・ピクシール,FLOD-JP015,nomal,0
機界騎士アヴラム,FLOD-JP016,nomal,0
夢幻崩界イヴリース,FLOD-JP017,Super,0
夢幻崩界イヴリース,FLOD-JP017,Secret,0
星遺物－『星槍』,FLOD-JP018,Rare,0
エレメントセイバー・アイナ,FLOD-JP019,nomal,0
エレメントセイバー・マカニ,FLOD-JP020,Rare,0
エレメントセイバー・ナル,FLOD-JP021,nomal,0
エレメントセイバー・マロー,FLOD-JP022,nomal,0
エレメントセイバー・ラパウィラ,FLOD-JP023,nomal,0
エレメントセイバー・モーレフ,FLOD-JP024,nomal,0
エレメントセイバー・ウィラード,FLOD-JP025,Ultra,0
エレメントセイバー・ウィラード,FLOD-JP025,Ultimate,0
エレメントセイバー・ウィラード,FLOD-JP025,Secret,0
光霊神フォスオラージュ,FLOD-JP026,Super,0
光霊神フォスオラージュ,FLOD-JP026,Secret,0
太陽電池メン,FLOD-JP027,nomal,0
番猫－ウォッチキャット,FLOD-JP028,nomal,0
トランスファミリア,FLOD-JP029,nomal,0
妖海のアウトロール,FLOD-JP030,nomal,0
ヤジロベーダー,FLOD-JP031,nomal,0
鉄騎龍ティアマトン,FLOD-JP032,Ultra,0
鉄騎龍ティアマトン,FLOD-JP032,Ultimate,0
鉄騎龍ティアマトン,FLOD-JP032,Secret,0
屋敷わらし,FLOD-JP033,Super,0
屋敷わらし,FLOD-JP033,Secret,0
急き兎馬,FLOD-JP034,N-Rare,0
ボイコットン,FLOD-JP035,N-Rare,0
トポロジック・トゥリスバエナ,FLOD-JP036,Ultra,0
トポロジック・トゥリスバエナ,FLOD-JP036,Ultimate,0
トポロジック・トゥリスバエナ,FLOD-JP036,Secret,0
トポロジック・トゥリスバエナ,FLOD-JP036,Holographic,0
スペース・インシュレイター,FLOD-JP037,nomal,0
トリックスター・ベラマドンナ,FLOD-JP038,Ultra,0
トリックスター・ベラマドンナ,FLOD-JP038,Ultimate,0
トリックスター・ベラマドンナ,FLOD-JP038,Secret,0
トリックスター・ブルム,FLOD-JP039,nomal,0
トリックスター・デビルフィニウム,FLOD-JP040,Rare,0
剛鬼ザ・マスター・オーガ,FLOD-JP041,Ultra,0
剛鬼ザ・マスター・オーガ,FLOD-JP041,Ultimate,0
剛鬼ザ・マスター・オーガ,FLOD-JP041,Secret,0
オルターガイスト・キードゥルガー,FLOD-JP042,nomal,0
トロイメア・マーメイド,FLOD-JP043,Rare,0
トロイメア・ゴブリン,FLOD-JP044,Super,0
トロイメア・ゴブリン,FLOD-JP044,Secret,0
トロイメア・ケルベロス,FLOD-JP045,Rare,0
トロイメア・フェニックス,FLOD-JP046,Rare,0
トロイメア・ユニコーン,FLOD-JP047,Super,0
トロイメア・ユニコーン,FLOD-JP047,Secret,0
トロイメア・グリフォン,FLOD-JP048,Ultra,0
トロイメア・グリフォン,FLOD-JP048,Ultimate,0
トロイメア・グリフォン,FLOD-JP048,Secret,0
発条補修ゼンマイコン,FLOD-JP049,Rare,0
ヴァンパイア・サッカー,FLOD-JP050,Rare,0
小法師ヒダルマー,FLOD-JP051,Rare,0
グレートフライ,FLOD-JP052,Rare,0
サイバーサル・サイクロン,FLOD-JP053,nomal,0
トリックスター・ライトアリーナ,FLOD-JP054,Rare,0
トリックスター・ブーケ,FLOD-JP055,Rare,0
剛鬼フェイスターン,FLOD-JP056,nomal,0
星遺物が導く果て,FLOD-JP057,nomal,0
星遺物を継ぐもの,FLOD-JP058,Rare,0
星遺物へ誘う悪夢,FLOD-JP059,nomal,0
霊神の聖殿,FLOD-JP060,Rare,0
再臨の帝王,FLOD-JP061,nomal,0
雪花の光,FLOD-JP062,nomal,0
バウンドリンク,FLOD-JP063,Super,0
バウンドリンク,FLOD-JP063,Secret,0
にらみ合い,FLOD-JP064,nomal,0
墓穴の指名者,FLOD-JP065,nomal,0
取捨蘇生,FLOD-JP066,N-Rare,0
リミット・コード,FLOD-JP067,nomal,0
レッド・リブート,FLOD-JP068,nomal,0
ジェルゴンヌの終焉,FLOD-JP069,nomal,0
オルターガイスト・エミュレルフ,FLOD-JP070,nomal,0
星遺物からの目醒め,FLOD-JP071,nomal,0
星遺物への抵抗,FLOD-JP072,nomal,0
星遺物に響く残叫,FLOD-JP073,Rare,0
霊神統一,FLOD-JP074,nomal,0
神属の堕天使,FLOD-JP075,Rare,0
電網の落とし穴,FLOD-JP076,Super,0
電網の落とし穴,FLOD-JP076,Secret,0
無限泡影,FLOD-JP077,Super,0
無限泡影,FLOD-JP077,Secret,0
無情なはたき落とし,FLOD-JP078,nomal,0
豆まき,FLOD-JP079,nomal,0
やぶ蛇,FLOD-JP080,N-Rare,0
