name,card_id,rare,stock
ガガガマジシャン,GENF-JP001,Super,0
ゴゴゴゴーレム,GENF-JP002,Rare,0
アチャチャアーチャー,GENF-JP003,nomal,0
ゴブリンドバーグ,GENF-JP004,nomal,0
ビッグ・ジョーズ,GENF-JP005,Rare,0
スカル・クラーケン,GENF-JP006,nomal,0
ドリル・バーニカル,GENF-JP007,nomal,0
ジョーズマン,GENF-JP008,Super,0
バグマンＸ,GENF-JP009,nomal,0
バグマンＹ,GENF-JP010,nomal,0
バグマンＺ,GENF-JP011,nomal,0
スーパーバグマン,GENF-JP012,Super,0
ゼンマイソルジャー,GENF-JP013,nomal,0
ゼンマイマジシャン,GENF-JP014,Rare,0
ゼンマイジャグラー,GENF-JP015,Super,0
ゼンマイドッグ,GENF-JP016,nomal,0
ゼンマイマイ,GENF-JP017,Rare,0
スピアフィッシュソルジャー,GENF-JP018,nomal,0
フライファング,GENF-JP019,nomal,0
スカイオニヒトクイエイ,GENF-JP020,Rare,0
エアジャチ,GENF-JP021,Rare,0
ウイングトータス,GENF-JP022,nomal,0
スペースタイムポリス,GENF-JP023,Super,0
タイム・エスケーパー,GENF-JP024,nomal,0
ジェムエレファント,GENF-JP025,nomal,0
ラヴァルのマグマ砲兵,GENF-JP026,nomal,0
リチュア・ディバイナー,GENF-JP027,nomal,0
ガスタ・コドル,GENF-JP028,nomal,0
召喚師セームベル,GENF-JP029,nomal,0
ギアギアーノ,GENF-JP030,nomal,0
ポケ・ドラ,GENF-JP031,nomal,0
龍炎剣の使い手,GENF-JP032,nomal,0
地獄の傀儡魔人,GENF-JP033,nomal,0
蒼血鬼,GENF-JP034,Rare,0
霊魂の護送船,GENF-JP035,Rare,0
レアル・クルセイダー,GENF-JP036,Super,0
大皇帝ペンギン,GENF-JP037,N-Rare,0
久遠の魔術師ミラ,GENF-JP038,N-Rare,0
Ｎｏ.１７ リバイス・ドラゴン,GENF-JP039,Ultra,0
Ｎｏ.１７ リバイス・ドラゴン,GENF-JP039,Ultimate,0
Ｎｏ.１７ リバイス・ドラゴン,GENF-JP039,Holographic,0
潜航母艦エアロ・シャーク,GENF-JP040,Ultra,0
潜航母艦エアロ・シャーク,GENF-JP040,Ultimate,0
Ｎｏ.３４ 電算機獣テラ・バイト,GENF-JP041,Ultra,0
Ｎｏ.３４ 電算機獣テラ・バイト,GENF-JP041,Ultimate,0
発条機甲ゼンマイスター,GENF-JP042,Super,0
虚空海竜リヴァイエール,GENF-JP043,Ultra,0
虚空海竜リヴァイエール,GENF-JP043,Ultimate,0
始祖の守護者ティラス,GENF-JP044,Ultra,0
始祖の守護者ティラス,GENF-JP044,Ultimate,0
ワンダー・ワンド,GENF-JP045,Rare,0
ダブル・アップ・チャンス,GENF-JP046,nomal,0
サンダー・ショート,GENF-JP047,nomal,0
アクア・ジェット,GENF-JP048,nomal,0
浮上,GENF-JP049,Rare,0
バグ・ロード,GENF-JP050,nomal,0
ウィルスメール,GENF-JP051,Super,0
クラッキング,GENF-JP052,nomal,0
伝説のゼンマイ,GENF-JP053,nomal,0
ゼンマイマニュファクチャ,GENF-JP054,Rare,0
フィッシュアンドキックス,GENF-JP055,nomal,0
フューチャー・グロウ,GENF-JP056,nomal,0
ヴァイロン・フィラメント,GENF-JP057,nomal,0
ガルドスの羽根ペン,GENF-JP058,nomal,0
スター・チェンジャー,GENF-JP059,Rare,0
鬼神の連撃,GENF-JP060,nomal,0
共振装置,GENF-JP061,Rare,0
盗み見ゴブリン,GENF-JP062,N-Rare,0
油断大敵,GENF-JP063,nomal,0
ポセイドン・ウェーブ,GENF-JP064,Rare,0
爆弾ウニ－ボム・アーチン－,GENF-JP065,nomal,0
ダメージ・ワクチンΩＭＡＸ,GENF-JP066,nomal,0
オーバー・レンチ,GENF-JP067,nomal,0
魔製産卵床,GENF-JP068,nomal,0
ギョッ！,GENF-JP069,nomal,0
ブライト・フューチャー,GENF-JP070,Rare,0
パスト・イメージ,GENF-JP071,nomal,0
炎渦の胎動,GENF-JP072,nomal,0
同姓同名同盟条約,GENF-JP073,nomal,0
皇の波動,GENF-JP074,nomal,0
共同戦線,GENF-JP075,Rare,0
五稜星の呪縛,GENF-JP076,Rare,0
暴君の暴飲暴食,GENF-JP077,nomal,0
統制訓練,GENF-JP078,Rare,0
サンダー・ボトル,GENF-JP079,Super,0
砂利ケーン,GENF-JP080,N-Rare,0
