name,card_id,rare,stock
闇の仮面,GS03-JP001,nomal,0
霊滅術師 カイクウ,GS03-JP002,nomal,0
お注射天使リリー,GS03-JP003,nomal,0
異次元の女戦士,GS03-JP004,nomal,0
カオス・ソーサラー,GS03-JP005,nomal,0
炎帝テスタロス,GS03-JP006,nomal,0
ライトロード・ハンター ライコウ,GS03-JP007,nomal,0
キメラテック・フォートレス・ドラゴン,GS03-JP008,N-Rare,0
氷結界の龍 グングニール,GS03-JP009,nomal,0
氷結界の龍 トリシューラ,GS03-JP010,N-Rare,0
抹殺の使徒,GS03-JP011,nomal,0
ブラック・ホール,GS03-JP012,nomal,0
団結の力,GS03-JP013,nomal,0
フォース,GS03-JP014,nomal,0
終焉の焔,GS03-JP015,nomal,0
砂塵の大竜巻,GS03-JP016,nomal,0
停戦協定,GS03-JP017,nomal,0
落とし穴,GS03-JP018,nomal,0
強制脱出装置,GS03-JP019,nomal,0
万能地雷グレイモヤ,GS03-JP020,nomal,0
