name,card_id,rare,stock
青眼の白龍,HC01-JP001,Ultra,0
真紅眼の黒竜,HC01-JP002,Ultra,0
ブラック・マジシャン・ガール,HC01-JP003,Ultra,0
伝説の剣闘士 カオス・ソルジャー,HC01-JP004,Super,0
真紅き魂,HC01-JP005,Super,0
決闘塔アルカトラズ,HC01-JP006,Super,0
ソウルエナジーＭＡＸ！！,HC01-JP007,Super,0
青眼の亜白龍,HC01-JP008,nomal,0
マジシャンズ・ソウルズ,HC01-JP009,nomal,0
レッドアイズ・インサイト,HC01-JP010,nomal,0
デュエル・アカデミア,HC01-JP011,Super,0
Ｗａｋｅ Ｕｐ Ｙｏｕｒ Ｅ・ＨＥＲＯ,HC01-JP012,Super,0
エヴォリューション・レザルト・バースト,HC01-JP013,Super,0
救いの架け橋,HC01-JP014,Super,0
Ｅ・ＨＥＲＯ オネスティ・ネオス,HC01-JP015,nomal,0
ユベル,HC01-JP016,nomal,0
キメラテック・オーバー・ドラゴン,HC01-JP017,nomal,0
究極宝玉神 レインボー・ドラゴン,HC01-JP018,nomal,0
ライディング・デュエル！アクセラレーション！,HC01-JP019,Super,0
大いなる魂,HC01-JP020,Super,0
舞い戻った死神,HC01-JP021,Super,0
アクセルシンクロ・スターダスト・ドラゴン,HC01-JP022,Super,0
ジャンク・シンクロン,HC01-JP023,nomal,0
フォーミュラ・シンクロン,HC01-JP024,nomal,0
コズミック・ブレイザー・ドラゴン,HC01-JP025,nomal,0
スカーレッド・スーパーノヴァ・ドラゴン,HC01-JP026,nomal,0
オーバーレイ・ネットワーク,HC01-JP027,Super,0
Ｎｏ.３９ 希望皇ホープ・ライジング,HC01-JP028,Super,0
冀望郷－バリアン－,HC01-JP029,Super,0
竜皇神話,HC01-JP030,Super,0
ＦＮｏ.０ 未来龍皇ホープ,HC01-JP031,nomal,0
ＣＸ 冀望皇バリアン,HC01-JP032,nomal,0
銀河眼の光子竜,HC01-JP033,nomal,0
ＥＭ稀代の決闘者,HC01-JP034,Super,0
歌氷麗月,HC01-JP035,Super,0
Ｂａｔｔｌｅ Ｒｏｙａｌ Ｍｏｄｅ－Ｊｏｉｎｉｎｇ,HC01-JP036,Super,0
覇王龍の魂,HC01-JP037,Super,0
覇王龍ズァーク,HC01-JP038,nomal,0
覇王眷竜ダークヴルム,HC01-JP039,nomal,0
幻影騎士団サイレントブーツ,HC01-JP040,nomal,0
ＳＲベイゴマックス,HC01-JP041,nomal,0
スターヴ・ヴェノム・フュージョン・ドラゴン,HC01-JP042,nomal,0
Ｉｎｔｏ ｔｈｅ ＶＲＡＩＮＳ！,HC01-JP043,Super,0
ファイアウォール・ドラゴン・ダークフルード－ネオテンペスト,HC01-JP044,Super,0
青い涙の天使,HC01-JP045,Super,0
運命の囚人,HC01-JP046,Super,0
アクセスコード・トーカー,HC01-JP047,nomal,0
リンクリボー,HC01-JP048,nomal,0
イグニスターＡｉランド,HC01-JP049,nomal,0
トリックスター・ライトステージ,HC01-JP050,nomal,0
