name,card_id,rare,stock
誇りと魂の龍,INFO-JP000,Quarter Century Secret,0
千年の眠りから覚めし原人,INFO-JP001,Super,0
千年の眠りから覚めし原人,INFO-JP001,Secret,0
千年の宝を守りしゴーレム,INFO-JP002,nomal,0
千年王朝の盾,INFO-JP003,nomal,0
ミレニアムーン・メイデン,INFO-JP004,Rare,0
ミレニアム・アブソリューター,INFO-JP005,nomal,0
黒き魔術師－ブラック・マジシャン,INFO-JP006,Ultra,0
黒き魔術師－ブラック・マジシャン,INFO-JP006,Ultimate,0
黒き魔術師－ブラック・マジシャン,INFO-JP006,Secret,0
ギミック・パペット－リトル・ソルジャーズ,INFO-JP007,nomal,0
ギミック・パペット－ブラッディ・ドール,INFO-JP008,Rare,0
ギミック・パペット－カトル・スクリーム,INFO-JP009,nomal,0
光と昇華の竜,INFO-JP010,Rare,0
闇と消滅の竜,INFO-JP011,Rare,0
鎧騎士竜－ナイト・アームド・ドラゴン－,INFO-JP012,nomal,0
白き森のアステーリャ,INFO-JP013,Super,0
白き森のアステーリャ,INFO-JP013,Secret,0
白き森のリゼット,INFO-JP014,Super,0
白き森のリゼット,INFO-JP014,Secret,0
白き森のシルヴィ,INFO-JP015,nomal,0
白き森のルシア,INFO-JP016,nomal,0
魔を刻むデモンスミス,INFO-JP017,Ultra,0
魔を刻むデモンスミス,INFO-JP017,Ultimate,0
魔を刻むデモンスミス,INFO-JP017,Secret,0
蕾禍ノ姫邪眼,INFO-JP018,Rare,0
幻禄の天盃龍,INFO-JP019,Rare,0
メメント・スリーピィ,INFO-JP020,nomal,0
竜騎士アトリィ,INFO-JP021,Super,0
竜騎士アトリィ,INFO-JP021,Secret,0
竜輝巧－νＩＩ,INFO-JP022,nomal,0
至天の魔王ミッシング・バロウズ,INFO-JP023,Ultra,0
至天の魔王ミッシング・バロウズ,INFO-JP023,Ultimate,0
至天の魔王ミッシング・バロウズ,INFO-JP023,Secret,0
祈りの女王－コスモクイーン,INFO-JP024,Rare,0
シビレルダケ,INFO-JP025,nomal,0
無孔砲塔－ディセイブラスター,INFO-JP026,nomal,0
マルチャミー・プルリア,INFO-JP027,Rare,0
ドラ・ドラ,INFO-JP028,nomal,0
ブルーミー,INFO-JP029,nomal,0
面子蝙蝠,INFO-JP030,nomal,0
五月豹,INFO-JP031,N-Rare,0
竜儀巧－メテオニス＝ＤＡＤ,INFO-JP032,Ultra,0
竜儀巧－メテオニス＝ＤＡＤ,INFO-JP032,Ultimate,0
竜儀巧－メテオニス＝ＤＡＤ,INFO-JP032,Secret,0
幻の召喚神エクゾディア,INFO-JP033,Ultra,0
幻の召喚神エクゾディア,INFO-JP033,Ultimate,0
幻の召喚神エクゾディア,INFO-JP033,Secret,0
幻の召喚神エクゾディア,INFO-JP033,Holographic,0
光と闇の竜王,INFO-JP034,Ultra,0
光と闇の竜王,INFO-JP034,Ultimate,0
光と闇の竜王,INFO-JP034,Secret,0
刻まれし魔ラクリモーサ,INFO-JP035,nomal,0
刻まれし魔ディエスイレ,INFO-JP036,Super,0
刻まれし魔ディエスイレ,INFO-JP036,Secret,0
冥骸王－メメントラン・テクトリカ,INFO-JP037,Super,0
冥骸王－メメントラン・テクトリカ,INFO-JP037,Secret,0
白き森の魔狼シルウィア,INFO-JP038,Rare,0
白き森の魔性ルシエラ,INFO-JP039,Rare,0
白き森の妖魔ディアベル,INFO-JP040,Ultra,0
白き森の妖魔ディアベル,INFO-JP040,Ultimate,0
白き森の妖魔ディアベル,INFO-JP040,Secret,0
ＤＰＡジャンダムーア,INFO-JP041,nomal,0
ギミック・パペット－ファンタジクス・マキナ,INFO-JP042,Super,0
ギミック・パペット－ファンタジクス・マキナ,INFO-JP042,Secret,0
ＣＸ ギミック・パペット－ファナティクス・マキナ,INFO-JP043,Ultra,0
ＣＸ ギミック・パペット－ファナティクス・マキナ,INFO-JP043,Ultimate,0
ＣＸ ギミック・パペット－ファナティクス・マキナ,INFO-JP043,Secret,0
クイーンマドルチェ・ティアラフレース,INFO-JP044,Super,0
クイーンマドルチェ・ティアラフレース,INFO-JP044,Secret,0
異端なるフォボスコボス,INFO-JP045,Rare,0
刻まれし魔の鎮魂棺,INFO-JP046,Super,0
刻まれし魔の鎮魂棺,INFO-JP046,Secret,0
刻まれし魔の大聖棺,INFO-JP047,nomal,0
蕾禍ノ玄神憑月,INFO-JP048,nomal,0
ヴァルモニカの神奏－ヴァーラル,INFO-JP049,Ultra,0
ヴァルモニカの神奏－ヴァーラル,INFO-JP049,Ultimate,0
ヴァルモニカの神奏－ヴァーラル,INFO-JP049,Secret,0
ミニャーマドルチェ・ニャカロン,INFO-JP050,Rare,0
星界樹イルミスティル,INFO-JP051,Rare,0
影法師トップハットヘア,INFO-JP052,Super,0
