name,card_id,rare,stock
ＤＺＷ－魔装鵺妖衣,JOTL-JP001,Rare,0
Ｖサラマンダー,JOTL-JP002,Rare,0
プリベントマト,JOTL-JP003,nomal,0
マジック・リサイクラー,JOTL-JP004,nomal,0
エクシーズ・エージェント,JOTL-JP005,nomal,0
ＳＤロボ・ライオ,JOTL-JP006,nomal,0
ＳＤロボ・エレファン,JOTL-JP007,nomal,0
ＳＤロボ・モンキ,JOTL-JP008,nomal,0
光天使ウィングス,JOTL-JP009,nomal,0
光天使ブックス,JOTL-JP010,nomal,0
光天使ソード,JOTL-JP011,nomal,0
アンブラル・グール,JOTL-JP012,nomal,0
アンブラル・アンフォーム,JOTL-JP013,nomal,0
アンブラル・ウィル・オ・ザ・ウィスプ,JOTL-JP014,nomal,0
限界竜シュヴァルツシルト,JOTL-JP015,nomal,0
武神－ヤマト,JOTL-JP016,Super,0
武神器－ムラクモ,JOTL-JP017,Rare,0
武神器－ヘツカ,JOTL-JP018,nomal,0
武神器－タルタ,JOTL-JP019,nomal,0
武神器－ハバキリ,JOTL-JP020,nomal,0
武神器－オロチ,JOTL-JP021,nomal,0
幻獣機ウォーブラン,JOTL-JP022,Rare,0
幻獣機ブルーインパラス,JOTL-JP023,Rare,0
幻獣機コルトウィング,JOTL-JP024,nomal,0
幻獣機ハリアード,JOTL-JP025,nomal,0
孤炎星－ロシシン,JOTL-JP026,nomal,0
猛炎星－テンレイ,JOTL-JP027,nomal,0
魔導天士 トールモンド,JOTL-JP028,Super,0
トリック・デーモン,JOTL-JP029,Rare,0
デーモンの騎兵,JOTL-JP030,nomal,0
戦慄の凶皇－ジェネシス・デーモン,JOTL-JP031,Rare,0
アトラの蟲惑魔,JOTL-JP032,Rare,0
トリオンの蟲惑魔,JOTL-JP033,nomal,0
カズーラの蟲惑魔,JOTL-JP034,nomal,0
ザ・キャリブレーター,JOTL-JP035,nomal,0
桜姫タレイア,JOTL-JP036,Super,0
ぴよコッコ,JOTL-JP037,nomal,0
カメンレオン,JOTL-JP038,nomal,0
飛翔するＧ,JOTL-JP039,N-Rare,0
イエロー・ダストン,JOTL-JP040,N-Rare,0
幻獣機コンコルーダ,JOTL-JP041,Super,0
こう炎星－リシュンキ,JOTL-JP042,（「こう」＝網頭に正） Rare,0
霞鳥クラウソラス,JOTL-JP043,nomal,0
魔界闘士 バルムンク,JOTL-JP044,Super,0
幻層の守護者アルマデス,JOTL-JP045,Super,0
超念導体ビヒーマス,JOTL-JP046,Rare,0
星態龍,JOTL-JP047,Ultra,0
星態龍,JOTL-JP047,Ultimate,0
ＣＮｏ.３９ 希望皇ホープレイ・ヴィクトリー,JOTL-JP048,Ultra,0
ＣＮｏ.３９ 希望皇ホープレイ・ヴィクトリー,JOTL-JP048,Ultimate,0
ＣＮｏ.３９ 希望皇ホープレイ・ヴィクトリー,JOTL-JP048,Holographic,0
牙鮫帝シャーク・カイゼル,JOTL-JP049,Rare,0
輝光帝ギャラクシオン,JOTL-JP050,Super,0
廃品眼の太鼓竜,JOTL-JP051,nomal,0
零鳥姫リオート・ハルピュイア,JOTL-JP052,nomal,0
Ｎｏ.１０２ 光天使グローリアス・ヘイロー,JOTL-JP053,Rare,0
Ｎｏ.６６ 覇鍵甲虫マスター・キー・ビートル,JOTL-JP054,Rare,0
Ｎｏ.１０４ 仮面魔踏士シャイニング,JOTL-JP055,Rare,0
ＣＮｏ.１０４ 仮面魔踏士アンブラル,JOTL-JP056,Ultra,0
ＣＮｏ.１０４ 仮面魔踏士アンブラル,JOTL-JP056,Ultimate,0
武神帝－スサノヲ,JOTL-JP057,Ultra,0
武神帝－スサノヲ,JOTL-JP057,Ultimate,0
聖光の宣告者,JOTL-JP058,Super,0
ＲＵＭ－ヌメロン・フォース,JOTL-JP059,Ultra,0
ＲＵＭ－ヌメロン・フォース,JOTL-JP059,Ultimate,0
エクシーズ・レセプション,JOTL-JP060,nomal,0
異次元の古戦場－サルガッソ,JOTL-JP061,nomal,0
サルガッソの灯台,JOTL-JP062,nomal,0
武神降臨,JOTL-JP063,Rare,0
垂直着陸,JOTL-JP064,nomal,0
炎舞－「揺光」,JOTL-JP065,nomal,0
伏魔殿－悪魔の迷宮－,JOTL-JP066,nomal,0
トランスターン,JOTL-JP067,Rare,0
黒白の波動,JOTL-JP068,nomal,0
一点買い,JOTL-JP069,N-Rare,0
逆さ眼鏡,JOTL-JP070,nomal,0
エクシーズ・リベンジ・シャッフル,JOTL-JP071,nomal,0
罪鍵の法－シン・キー・ロウ,JOTL-JP072,nomal,0
Ｖａｉｎ－裏切りの嘲笑,JOTL-JP073,Rare,0
剣現する武神,JOTL-JP074,nomal,0
武神逐,JOTL-JP075,nomal,0
超音速波,JOTL-JP076,nomal,0
蟲惑の落とし穴,JOTL-JP077,Super,0
エクシーズ・リバーサル,JOTL-JP078,nomal,0
シェイプシスター,JOTL-JP079,Rare,0
終焉の指名者,JOTL-JP080,N-Rare,0
