name,card_id,rare,stock
ホワイト・ダストン,LVAL-JP001,N-Rare,0
ＺＷ－阿修羅副腕,LVAL-JP002,Rare,0
ギラギランサー,LVAL-JP003,nomal,0
虹クリボー,LVAL-JP004,Super,0
オーバーレイ・スナイパー,LVAL-JP005,nomal,0
オーバーレイ・ブースター,LVAL-JP006,nomal,0
フォトン・チャージマン,LVAL-JP007,nomal,0
先史遺産モアイキャリア,LVAL-JP008,nomal,0
先史遺産ウィングス・スフィンクス,LVAL-JP009,nomal,0
ディープ・スペース・クルーザー・ナイン,LVAL-JP010,nomal,0
ゴルゴニック・ゴーレム,LVAL-JP011,nomal,0
ゴルゴニック・ガーゴイル,LVAL-JP012,nomal,0
ゴルゴニック・グール,LVAL-JP013,nomal,0
ゴルゴニック・ケルベロス,LVAL-JP014,nomal,0
森羅の実張り ピース,LVAL-JP015,Rare,0
森羅の影胞子 ストール,LVAL-JP016,nomal,0
森羅の水先 リーフ,LVAL-JP017,nomal,0
森羅の花卉士 ナルサス,LVAL-JP018,nomal,0
森羅の番人 オーク,LVAL-JP019,nomal,0
森羅の仙樹 レギア,LVAL-JP020,Rare,0
ゴーストリック・フロスト,LVAL-JP021,nomal,0
ゴーストリック・マリー,LVAL-JP022,Rare,0
ゴーストリックの猫娘,LVAL-JP023,nomal,0
ゴーストリック・スケルトン,LVAL-JP024,nomal,0
ゴーストリック・マミー,LVAL-JP025,nomal,0
武神－アラスダ,LVAL-JP026,Super,0
武神器－ヤサカニ,LVAL-JP027,Rare,0
武神器－ヤツカ,LVAL-JP028,nomal,0
武神器－オキツ,LVAL-JP029,nomal,0
武神器－サグサ,LVAL-JP030,Rare,0
墓守の使徒,LVAL-JP031,nomal,0
墓守の伏兵,LVAL-JP032,nomal,0
墓守の祈祷師,LVAL-JP033,nomal,0
墓守の審神者,LVAL-JP034,Super,0
幻妖種ミトラ,LVAL-JP035,nomal,0
森の聖獣 カラントーサ,LVAL-JP036,nomal,0
和魂,LVAL-JP037,Rare,0
暗黒ブラキ,LVAL-JP038,nomal,0
紅姫チルビメ,LVAL-JP039,Super,0
凍氷帝メビウス,LVAL-JP040,Rare,0
霊水鳥シレーヌ・オルカ,LVAL-JP041,nomal,0
エクシーズ・アヴェンジャー,LVAL-JP042,Rare,0
タックルセイダー,LVAL-JP043,nomal,0
アドバンス・ディボーター,LVAL-JP044,N-Rare,0
光子竜の聖騎士,LVAL-JP045,Rare,0
ＣＮｏ.１０１ Ｓ・Ｈ・Ｄａｒｋ Ｋｎｉｇｈｔ,LVAL-JP046,Ultra,0
ＣＮｏ.１０１ Ｓ・Ｈ・Ｄａｒｋ Ｋｎｉｇｈｔ,LVAL-JP046,Ultimate,0
ＣＮｏ.１０１ Ｓ・Ｈ・Ｄａｒｋ Ｋｎｉｇｈｔ,LVAL-JP046,Holographic,0
Ｎｏ.１０１ Ｓ・Ｈ・Ａｒｋ Ｋｎｉｇｈｔ,LVAL-JP047,Ultra,0
Ｎｏ.１０１ Ｓ・Ｈ・Ａｒｋ Ｋｎｉｇｈｔ,LVAL-JP047,Ultimate,0
Ｎｏ.３９ 希望皇ホープ・ルーツ,LVAL-JP048,Ultra,0
Ｎｏ.３９ 希望皇ホープ・ルーツ,LVAL-JP048,Ultimate,0
ＣＮｏ.６９ 紋章死神カオス・オブ・アームズ,LVAL-JP049,Rare,0
ＣＮｏ.９２ 偽骸虚龍 Ｈｅａｒｔ－ｅａｒｔＨ Ｃｈａｏｓ Ｄｒａｇｏｎ,LVAL-JP050,Rare,0
ゴルゴニック・ガーディアン,LVAL-JP051,nomal,0
森羅の守神 アルセイ,LVAL-JP052,Super,0
ゴーストリック・デュラハン,LVAL-JP053,Super,0
武神帝－ツクヨミ,LVAL-JP054,Ultra,0
武神帝－ツクヨミ,LVAL-JP054,Ultimate,0
妖精騎士イングナル,LVAL-JP055,nomal,0
励輝士 ヴェルズビュート,LVAL-JP056,Super,0
ダウナード・マジシャン,LVAL-JP057,Super,0
神樹の守護獣－牙王,LVAL-JP058,Rare,0
ＲＵＭ－アストラル・フォース,LVAL-JP059,Ultra,0
ＲＵＭ－アストラル・フォース,LVAL-JP059,Ultimate,0
ＲＤＭ－ヌメロン・フォール,LVAL-JP060,Rare,0
エクシーズ・シフト,LVAL-JP061,nomal,0
光子竜降臨,LVAL-JP062,nomal,0
森羅の霊峰,LVAL-JP063,nomal,0
ゴーストリック・ミュージアム,LVAL-JP064,Rare,0
武神集結,LVAL-JP065,nomal,0
ネクロバレーの祭殿,LVAL-JP066,nomal,0
オノマト連携,LVAL-JP067,Super,0
エクシーズ・オーバーライド,LVAL-JP068,nomal,0
実力伯仲,LVAL-JP069,nomal,0
相乗り,LVAL-JP070,N-Rare,0
リリース・リバース・バースト,LVAL-JP071,Rare,0
パージ・レイ,LVAL-JP072,nomal,0
森羅の恵み,LVAL-JP073,nomal,0
ゴーストリック・ロールシフト,LVAL-JP074,nomal,0
璽律する武神,LVAL-JP075,nomal,0
ネクロバレーの王墓,LVAL-JP076,nomal,0
帝王の凍志,LVAL-JP077,nomal,0
スキル・プリズナー,LVAL-JP078,Rare,0
戦友の誓い,LVAL-JP079,nomal,0
ダストンローラー,LVAL-JP080,N-Rare,0
先史遺産ネブラ・ディスク,LVAL-JP081,nomal,0
Ｎｏ.３６ 先史遺産－超機関フォーク＝ヒューク,LVAL-JP082,Rare,0
紋章獣アンフィスバエナ,LVAL-JP083,nomal,0
Ｎｏ.１８ 紋章祖プレイン・コート,LVAL-JP084,Rare,0
昇華する紋章,LVAL-JP085,nomal,0
