name,card_id,rare,stock
ブラック・マジシャン,LGB1-JPS01,Premium Gold,0
青眼の白龍,LGB1-JPS02,Premium Gold,0
真紅眼の黒竜,LGB1-JPS03,Premium Gold,0
超魔導竜騎士－ドラグーン・オブ・レッドアイズ,LGB1-JP001,Ultra,0
ティマイオスの眼,LGB1-JP002,nomal,0
真紅眼融合,LGB1-JP003,nomal,0
永遠の魂,LGB1-JP004,nomal,0
深淵の青眼龍,LGB1-JP005,Ultra,0
白き霊龍,LGB1-JP006,nomal,0
青き眼の賢士,LGB1-JP007,nomal,0
青き眼の威光,LGB1-JP008,nomal,0
Ｅ・ＨＥＲＯ ネオス・クルーガー,LGB1-JP009,Ultra,0
ネオス・ワイズマン,LGB1-JP010,nomal,0
ユベル,LGB1-JP011,nomal,0
Ｅ・ＨＥＲＯ ソリッドマン,LGB1-JP012,nomal,0
究極宝玉獣 レインボー・ドラゴン,LGB1-JP013,Ultra,0
レインボー・ネオス,LGB1-JP014,nomal,0
レア・ヴァリュー,LGB1-JP015,nomal,0
アドバンスド・ダーク,LGB1-JP016,nomal,0
シューティング・スター・ドラゴン・ＴＧ－ＥＸ,LGB1-JP017,Ultra,0
フォーミュラ・シンクロン,LGB1-JP018,nomal,0
シューティング・ライザー・ドラゴン,LGB1-JP019,nomal,0
ＴＧ ハイパー・ライブラリアン,LGB1-JP020,nomal,0
スカーレッド・スーパーノヴァ・ドラゴン,LGB1-JP021,Ultra,0
スカーレッド・ノヴァ・ドラゴン,LGB1-JP022,nomal,0
レッド・デーモンズ・ドラゴン,LGB1-JP023,nomal,0
コール・リゾネーター,LGB1-JP024,nomal,0
ＦＮｏ.０ 未来龍皇ホープ,LGB1-JP025,Ultra,0
Ｎｏ.９９ 希望皇龍ホープドラグーン,LGB1-JP026,nomal,0
ＳＮｏ.３９ 希望皇ホープＯＮＥ,LGB1-JP027,nomal,0
ガガガガンマン,LGB1-JP028,nomal,0
銀河眼の残光竜,LGB1-JP029,Ultra,0
銀河眼の光子竜,LGB1-JP030,nomal,0
Ｎｏ.６２ 銀河眼の光子竜皇,LGB1-JP031,nomal,0
フォトン・サンクチュアリ,LGB1-JP032,nomal,0
覇王黒竜オッドアイズ・リベリオン・ドラゴン－オーバーロード,LGB1-JP033,Ultra,0
覇王黒竜オッドアイズ・リベリオン・ドラゴン,LGB1-JP034,nomal,0
相克の魔術師,LGB1-JP035,nomal,0
相生の魔術師,LGB1-JP036,nomal,0
ＤＤＤ死謳王バイス・レクイエム,LGB1-JP037,Ultra,0
ＤＤＤ壊薙王アビス・ラグナロク,LGB1-JP038,nomal,0
ＤＤ魔導賢者ケプラー,LGB1-JP039,nomal,0
地獄門の契約書,LGB1-JP040,nomal,0
デコード・トーカー・ヒートソウル,LGB1-JP041,Ultra,0
エクスコード・トーカー,LGB1-JP042,nomal,0
フレイム・バッファロー,LGB1-JP043,nomal,0
サイバネット・バックドア,LGB1-JP044,nomal,0
ヴァレルエンド・ドラゴン,LGB1-JP045,Ultra,0
ヴァレルロード・Ｓ・ドラゴン,LGB1-JP046,nomal,0
トポロジック・ボマー・ドラゴン,LGB1-JP047,nomal,0
トポロジック・トゥリスバエナ,LGB1-JP048,nomal,0
