name,card_id,rare,stock
オネスト,LODT-JP001,Ultra,0
オネスト,LODT-JP001,Ultimate,0
オネスト,LODT-JP001,Holographic,0
クロス・ポーター,LODT-JP002,nomal,0
ミラクル・フリッパー,LODT-JP003,nomal,0
Ｄ－ＨＥＲＯ ドレッドサーヴァント,LODT-JP004,nomal,0
ヴォルカニック・クイーン,LODT-JP005,nomal,0
人造人間－サイコ・リターナー,LODT-JP006,Rare,0
人造人間－サイコ・ロード,LODT-JP007,Super,0
アルカナフォース０－ＴＨＥ ＦＯＯＬ,LODT-JP008,nomal,0
アルカナフォースＩ－ＴＨＥ ＭＡＧＩＣＩＡＮ,LODT-JP009,nomal,0
アルカナフォースＩＩＩ－ＴＨＥ ＥＭＰＲＥＳＳ,LODT-JP010,nomal,0
アルカナフォースＩＶ－ＴＨＥ ＥＭＰＥＲＯＲ,LODT-JP011,nomal,0
アルカナフォースＶＩ－ＴＨＥ ＬＯＶＥＲＳ,LODT-JP012,nomal,0
アルカナフォースＶＩＩ－ＴＨＥ ＣＨＡＲＩＯＴ,LODT-JP013,nomal,0
アルカナフォースＸＩＶ－ＴＥＭＰＥＲＡＮＣＥ,LODT-JP014,Rare,0
アルカナフォースＸＶＩＩＩ－ＴＨＥ ＭＯＯＮ,LODT-JP015,nomal,0
アルカナフォースＸＸＩ－ＴＨＥ ＷＯＲＬＤ,LODT-JP016,Super,0
アルカナフォースＥＸ－ＴＨＥ ＤＡＲＫ ＲＵＬＥＲ,LODT-JP017,Ultra,0
アルカナフォースＥＸ－ＴＨＥ ＤＡＲＫ ＲＵＬＥＲ,LODT-JP017,Ultimate,0
ライトロード・パラディン ジェイン,LODT-JP018,nomal,0
ライトロード・マジシャン ライラ,LODT-JP019,Super,0
ライトロード・ウォリアー ガロス,LODT-JP020,nomal,0
ライトロード・サモナー ルミナス,LODT-JP021,nomal,0
ライトロード・ハンター ライコウ,LODT-JP022,Normal,0
ライトロード・ハンター ライコウ,LODT-JP022,N-Parallel,0
ライトロード・ビースト ウォルフ,LODT-JP023,nomal,0
ライトロード・エンジェル ケルビム,LODT-JP024,Super,0
ライトロード・ドラゴン グラゴニス,LODT-JP025,nomal,0
裁きの龍,LODT-JP026,Ultra,0
裁きの龍,LODT-JP026,Ultimate,0
ダーク・ヴァルキリア,LODT-JP027,Rare,0
イレカエル,LODT-JP028,Rare,0
貫ガエル,LODT-JP029,nomal,0
充電池メン,LODT-JP030,nomal,0
電池メン－業務用,LODT-JP031,Rare,0
電池メン－ボタン型,LODT-JP032,Rare,0
ゴブリン偵察部隊,LODT-JP033,Rare,0
惑星からの物体Ａ,LODT-JP034,nomal,0
ディスクライダー,LODT-JP035,Super,0
黄金の天道虫,LODT-JP036,N-Rare,0
ダッカー,LODT-JP037,Super,0
ワイト夫人,LODT-JP038,nomal,0
始祖神鳥シムルグ,LODT-JP039,Rare,0
雲魔物－ストーム・ドラゴン,LODT-JP040,nomal,0
ファントム・ドラゴン,LODT-JP041,Super,0
Ｄｒａｇｏｏｎ Ｄ－ＥＮＤ,LODT-JP042,Ultra,0
Ｄｒａｇｏｏｎ Ｄ－ＥＮＤ,LODT-JP042,Ultimate,0
古代の機械究極巨人,LODT-JP043,Ultra,0
古代の機械究極巨人,LODT-JP043,Ultimate,0
剣闘獣ガイザレス,LODT-JP044,nomal,0
ヒーロー・マスク,LODT-JP045,nomal,0
スペーシア・ギフト,LODT-JP046,nomal,0
終焉の地,LODT-JP047,Rare,0
Ｄ－フォーメーション,LODT-JP048,nomal,0
魔法の歯車,LODT-JP049,nomal,0
カップ・オブ・エース,LODT-JP050,nomal,0
光の結界,LODT-JP051,Rare,0
ソーラー・エクスチェンジ,LODT-JP052,nomal,0
ジャスティス・ワールド,LODT-JP053,Rare,0
湿地草原,LODT-JP054,nomal,0
急速充電器,LODT-JP055,nomal,0
漏電,LODT-JP056,Rare,0
救援光,LODT-JP057,Super,0
閃光の宝札,LODT-JP058,nomal,0
能力調整,LODT-JP059,nomal,0
デッキロック,LODT-JP060,nomal,0
リボーンリボン,LODT-JP061,N-Rare,0
黄金色の竹光,LODT-JP062,N-Rare,0
リミット・リバース,LODT-JP063,Super,0
ヒーロー・ブラスト,LODT-JP064,Rare,0
虹の引力,LODT-JP065,nomal,0
Ｄ－フォーチュン,LODT-JP066,Rare,0
逆転する運命,LODT-JP067,Rare,0
死神の巡遊,LODT-JP068,nomal,0
アルカナコール,LODT-JP069,nomal,0
ライト・リサイレンス,LODT-JP070,nomal,0
閃光のイリュージョン,LODT-JP071,nomal,0
デストラクション・ジャマー,LODT-JP072,Rare,0
フロッグ・バリア,LODT-JP073,Rare,0
携帯型バッテリー,LODT-JP074,nomal,0
グラディアル・チェンジ,LODT-JP075,nomal,0
アグレッシブ・クラウディアン,LODT-JP076,nomal,0
血の沼地,LODT-JP077,nomal,0
ラッキー・チャンス！,LODT-JP078,nomal,0
サモンリミッター,LODT-JP079,Rare,0
ダイスインパクト,LODT-JP080,N-Rare,0
