name,card_id,rare,stock
混沌の戦士 カオス・ソルジャー,LVP2-JP001,Ultra,0
カオス・ソルジャー,LVP2-JP002,nomal,0
カオス・ソルジャー －開闢の使者－,LVP2-JP003,Rare,0
疾走の暗黒騎士ガイア,LVP2-JP004,nomal,0
カオスの儀式,LVP2-JP005,nomal,0
ハーピィ・コンダクター,LVP2-JP006,Super,0
ハーピィ・チャネラー,LVP2-JP007,nomal,0
ハーピィ・ダンサー,LVP2-JP008,Rare,0
ハーピィ・ハーピスト,LVP2-JP009,Rare,0
ヒステリック・サイン,LVP2-JP010,nomal,0
轟雷機龍－サンダー・ドラゴン,LVP2-JP011,Ultra,0
双頭の雷龍,LVP2-JP012,nomal,0
サンダー・ドラゴン,LVP2-JP013,nomal,0
エレクトリック・ワーム,LVP2-JP014,nomal,0
封印の黄金櫃,LVP2-JP015,Rare,0
天空神騎士ロードパーシアス,LVP2-JP016,Super,0
天空の使者 ゼラディアス,LVP2-JP017,nomal,0
オーロラ・アンギラス,LVP2-JP018,nomal,0
天空の聖域,LVP2-JP019,nomal,0
神の通告,LVP2-JP020,Rare,0
Ｘ・ＨＥＲＯ ドレッドバスター,LVP2-JP021,Super,0
Ｍ・ＨＥＲＯ 闇鬼,LVP2-JP022,nomal,0
Ｄ－ＨＥＲＯ ディアボリックガイ,LVP2-JP023,nomal,0
Ｅ・ＨＥＲＯ シャドー・ミスト,LVP2-JP024,Rare,0
Ｖ・ＨＥＲＯ ヴァイオン,LVP2-JP025,Rare,0
エーリアン・ソルジャー Ｍ／フレーム,LVP2-JP026,Super,0
宇宙砦ゴルガー,LVP2-JP027,nomal,0
エーリアンモナイト,LVP2-JP028,nomal,0
キングレムリン,LVP2-JP029,nomal,0
スネーク・レイン,LVP2-JP030,nomal,0
ドラグニティナイト－ロムルス,LVP2-JP031,Ultra,0
ドラグニティナイト－バルーチャ,LVP2-JP032,Rare,0
ドラグニティナイト－ヴァジュランダ,LVP2-JP033,nomal,0
ドラグニティ－ファランクス,LVP2-JP034,nomal,0
ドラグニティの神槍,LVP2-JP035,nomal,0
スクラップ・ワイバーン,LVP2-JP036,Super,0
スクラップ・ドラゴン,LVP2-JP037,Rare,0
スクラップ・キマイラ,LVP2-JP038,nomal,0
スクラップ・オルトロス,LVP2-JP039,nomal,0
スクラップ・ファクトリー,LVP2-JP040,nomal,0
極星天グルヴェイグ,LVP2-JP041,Super,0
極神聖帝オーディン,LVP2-JP042,Rare,0
極星天ヴァルキュリア,LVP2-JP043,nomal,0
極星天ヴァナディース,LVP2-JP044,nomal,0
極星獣タングリスニ,LVP2-JP045,nomal,0
六武衆の軍大将,LVP2-JP046,Super,0
真六武衆－カゲキ,LVP2-JP047,Rare,0
六武衆の荒行,LVP2-JP048,nomal,0
紫炎の道場,LVP2-JP049,nomal,0
六尺瓊勾玉,LVP2-JP050,nomal,0
