name,card_id,rare,stock
バチバチバチ,LTGY-JP001,nomal,0
ゴゴゴギガース,LTGY-JP002,Rare,0
ミミミック,LTGY-JP003,nomal,0
ドテドテング,LTGY-JP004,nomal,0
タタカワナイト,LTGY-JP005,nomal,0
リトル・フェアリー,LTGY-JP006,nomal,0
シャークラーケン,LTGY-JP007,nomal,0
ビッグ・ホエール,LTGY-JP008,Rare,0
スターフィッシュ,LTGY-JP009,nomal,0
パンサー・シャーク,LTGY-JP010,nomal,0
イーグル・シャーク,LTGY-JP011,nomal,0
ブリザード・ファルコン,LTGY-JP012,Rare,0
オーロラ・ウィング,LTGY-JP013,nomal,0
半月竜ラディウス,LTGY-JP014,nomal,0
星間竜パーセク,LTGY-JP015,nomal,0
ＢＫ ヘッドギア,LTGY-JP016,nomal,0
ＢＫ グラスジョー,LTGY-JP017,nomal,0
ＢＫ スパー,LTGY-JP018,nomal,0
ＢＫ スイッチヒッター,LTGY-JP019,Rare,0
ＢＫ カウンターブロー,LTGY-JP020,nomal,0
幻獣機メガラプター,LTGY-JP021,Rare,0
幻獣機テザーウルフ,LTGY-JP022,Rare,0
幻獣機ブラックファルコン,LTGY-JP023,nomal,0
幻獣機レイステイルス,LTGY-JP024,nomal,0
幻獣機ハムストラット,LTGY-JP025,nomal,0
傷炎星－ウルブショウ,LTGY-JP026,nomal,0
速炎星－タイヒョウ,LTGY-JP027,Rare,0
空炎星－サイチョウ,LTGY-JP028,nomal,0
殺炎星－ブルキ,LTGY-JP029,nomal,0
水精鱗－オーケアビス,LTGY-JP030,nomal,0
魔導獣士 ルード,LTGY-JP031,nomal,0
マドルチェ・ホーットケーキ,LTGY-JP032,nomal,0
真海皇 トライドン,LTGY-JP033,nomal,0
炎王獣 ガルドニクス,LTGY-JP034,nomal,0
ハーピィ・チャネラー,LTGY-JP035,Rare,0
虚空の騎士,LTGY-JP036,Rare,0
風霊神ウィンドローズ,LTGY-JP037,Super,0
巌征竜－レドックス,LTGY-JP038,Super,0
瀑征竜－タイダル,LTGY-JP039,Super,0
焔征竜－ブラスター,LTGY-JP040,Super,0
嵐征竜－テンペスト,LTGY-JP041,Super,0
調星師ライズベルト,LTGY-JP042,N-Rare,0
グリーン・ダストン,LTGY-JP043,N-Rare,0
Ｎｏ.１０７ 銀河眼の時空竜,LTGY-JP044,Ultra,0
Ｎｏ.１０７ 銀河眼の時空竜,LTGY-JP044,Ultimate,0
Ｎｏ.１０７ 銀河眼の時空竜,LTGY-JP044,Holographic,0
ガントレット・シューター,LTGY-JP045,Super,0
フェアリー・チア・ガール,LTGY-JP046,Rare,0
ＣＸ ダーク・フェアリー・チア・ガール,LTGY-JP047,Super,0
シャーク・フォートレス,LTGY-JP048,nomal,0
零鳥獣シルフィーネ,LTGY-JP049,Super,0
ＢＫ 拘束蛮兵リードブロー,LTGY-JP050,nomal,0
Ｎｏ.１０５ ＢＫ 流星のセスタス,LTGY-JP051,Ultra,0
Ｎｏ.１０５ ＢＫ 流星のセスタス,LTGY-JP051,Ultimate,0
ＣＮｏ.１０５ ＢＫ 彗星のカエストス,LTGY-JP052,Ultra,0
ＣＮｏ.１０５ ＢＫ 彗星のカエストス,LTGY-JP052,Ultimate,0
幻獣機ドラゴサック,LTGY-JP053,Ultra,0
幻獣機ドラゴサック,LTGY-JP053,Ultimate,0
間炎星－コウカンショウ,LTGY-JP054,Rare,0
ハーピィズペット幻竜,LTGY-JP055,Rare,0
キングレムリン,LTGY-JP056,nomal,0
ガガガウィンド,LTGY-JP057,nomal,0
最強の盾,LTGY-JP058,nomal,0
エクシーズ・リベンジ,LTGY-JP059,Rare,0
ＲＵＭ－バリアンズ・フォース,LTGY-JP060,Ultra,0
ＲＵＭ－バリアンズ・フォース,LTGY-JP060,Ultimate,0
緊急発進,LTGY-JP061,Rare,0
炎舞－「玉衝」,LTGY-JP062,nomal,0
魔導書の神判,LTGY-JP063,nomal,0
アビスケイル－ミヅチ,LTGY-JP064,nomal,0
ヒステリック・サイン,LTGY-JP065,Rare,0
七星の宝刀,LTGY-JP066,Super,0
星邪の神喰,LTGY-JP067,nomal,0
サモンブレーカー,LTGY-JP068,N-Rare,0
ピンポイント・ガード,LTGY-JP069,Rare,0
もの忘れ,LTGY-JP070,nomal,0
激流蘇生,LTGY-JP071,Rare,0
エクシーズ・ブロック,LTGY-JP072,nomal,0
空中補給,LTGY-JP073,nomal,0
弾幕回避,LTGY-JP074,nomal,0
炎舞－「開陽」,LTGY-JP075,nomal,0
魔導人形の夜,LTGY-JP076,nomal,0
ギアギアギア,LTGY-JP077,nomal,0
燃え上がる大海,LTGY-JP078,nomal,0
メンタルドレイン,LTGY-JP079,Rare,0
牙竜転生,LTGY-JP080,N-Rare,0
