name,card_id,rare,stock
機械軍曹,MA-01,nomal,0
ベイオウルフ,MA-02,nomal,0
魔導紳士－Ｊ,MA-03,nomal,0
レアメタル・レディ,MA-04,nomal,0
レアメタル・ソルジャー,MA-05,nomal,0
ファイバーポッド,MA-06,nomal,0
ナーガ,MA-07,nomal,0
ノーブル・ド・ノワール,MA-08,nomal,0
雷電娘々,MA-09,Rare,0
オプション,MA-10,nomal,0
お注射天使リリー,MA-11,N-Rare,0
リーフ・フェアリー,MA-12,nomal,0
天空騎士パーシアス,MA-13,Super,0
ドル・ドラ,MA-14,nomal,0
磨破羅魏,MA-15,nomal,0
因幡之白兎,MA-16,nomal,0
八汰烏,MA-17,nomal,0
雷帝神,MA-18,Ultra,0
雷帝神,MA-18,Parallel,0
八俣大蛇,MA-19,Ultra,0
八俣大蛇,MA-19,Parallel,0
偉大天狗,MA-20,nomal,0
竜宮之姫,MA-21,nomal,0
火之迦具土,MA-22,Ultra,0
火之迦具土,MA-22,Parallel,0
阿修羅,MA-23,Super,0
不死之炎鳥,MA-24,nomal,0
レアメタル・ヴァルキリー,MA-25,nomal,0
レアメタル・ナイト,MA-26,nomal,0
封神鏡,MA-27,nomal,0
エレメントの泉,MA-28,nomal,0
明鏡止水の心,MA-29,nomal,0
伝説の都 アトランティス,MA-30,nomal,0
融合武器ムラサメブレード,MA-31,Rare,0
盗人の煙玉,MA-32,nomal,0
強制転移,MA-33,nomal,0
霊子エネルギー固定装置,MA-34,nomal,0
セカンド・チャンス,MA-35,Rare,0
天変地異,MA-36,nomal,0
盗賊の極意,MA-37,nomal,0
ジェノサイド・ウォー,MA-38,Rare,0
マジック・ガードナー,MA-39,Super,0
鎖付き爆弾,MA-40,Rare,0
ロスト,MA-41,nomal,0
バブル・クラッシュ,MA-42,nomal,0
王宮の弾圧,MA-43,Rare,0
奈落の落とし穴,MA-44,nomal,0
シモッチによる副作用,MA-45,nomal,0
不吉な占い,MA-46,nomal,0
スピリットの誘い,MA-47,nomal,0
体力増強剤スーパーＺ,MA-48,nomal,0
はたき落とし,MA-49,nomal,0
デビル・コメディアン,MA-50,nomal,0
ラストバトル！,MA-51,Super,0
ブラック・デーモンズ・ドラゴン,MA-52,Ultimate,0
