name,card_id,rare,stock
剣闘獣アンダル,PTDN-JP001,nomal,0
海皇の長槍兵,PTDN-JP002,nomal,0
究極宝玉神 レインボー・ダーク・ドラゴン,PTDN-JP003,Ultra,0
究極宝玉神 レインボー・ダーク・ドラゴン,PTDN-JP003,Ultimate,0
サクリファイス・ロータス,PTDN-JP004,nomal,0
スプリット・Ｄ・ローズ,PTDN-JP005,nomal,0
ユベル,PTDN-JP006,nomal,0
ユベル－Ｄａｓ Ａｂｓｃｈｅｕｌｉｃｈ Ｒｉｔｔｅｒ,PTDN-JP007,Super,0
ユベル－Ｄａｓ Ｅｘｔｒｅｍｅｒ Ｔｒａｕｒｉｇ Ｄｒａｃｈｅｎ,PTDN-JP008,Ultra,0
ユベル－Ｄａｓ Ｅｘｔｒｅｍｅｒ Ｔｒａｕｒｉｇ Ｄｒａｃｈｅｎ,PTDN-JP008,Ultimate,0
アーマード・サイバーン,PTDN-JP009,Rare,0
サイバー・ヴァリー,PTDN-JP010,Super,0
サイバー・ウロボロス,PTDN-JP011,nomal,0
ヴォルカニック・カウンター,PTDN-JP012,Super,0
ファイヤー・トルーパー,PTDN-JP013,Rare,0
Ｄ－ＨＥＲＯ ダンクガイ,PTDN-JP014,nomal,0
Ｄ－ＨＥＲＯ ディパーテッドガイ,PTDN-JP015,nomal,0
ダーク・ホルス・ドラゴン,PTDN-JP016,Ultra,0
ダーク・ホルス・ドラゴン,PTDN-JP016,Ultimate,0
ダーク・クリエイター,PTDN-JP017,Rare,0
ダーク・ネフティス,PTDN-JP018,Super,0
ダーク・アームド・ドラゴン,PTDN-JP019,Rare,0
ダーク・クルセイダー,PTDN-JP020,nomal,0
終末の騎士,PTDN-JP021,Rare,0
終焉の精霊,PTDN-JP022,nomal,0
黒曜岩竜,PTDN-JP023,nomal,0
プリーステス・オーム,PTDN-JP024,Normal,0
プリーステス・オーム,PTDN-JP024,N-Parallel,0
デュアル・ランサー,PTDN-JP025,nomal,0
ギガプラント,PTDN-JP026,nomal,0
未来サムライ,PTDN-JP027,Rare,0
悪シノビ,PTDN-JP028,nomal,0
不死武士,PTDN-JP029,Rare,0
戦士ラーズ,PTDN-JP030,Super,0
剣闘獣ダリウス,PTDN-JP031,nomal,0
プリズンクインデーモン,PTDN-JP032,nomal,0
暗黒ヴェロキ,PTDN-JP033,nomal,0
超古深海王シーラカンス,PTDN-JP034,nomal,0
メガキャノン・ソルジャー,PTDN-JP035,nomal,0
ザ・カリキュレーター,PTDN-JP036,Rare,0
コアラッコ,PTDN-JP037,nomal,0
ブルーサンダーＴ４５,PTDN-JP038,Rare,0
電磁蚊,PTDN-JP039,nomal,0
ガイアフレーム,PTDN-JP040,nomal,0
ウィンドフレーム,PTDN-JP041,nomal,0
Ｎ・ティンクル・モス,PTDN-JP042,nomal,0
Ｅ・ＨＥＲＯ ストーム・ネオス,PTDN-JP043,Ultra,0
Ｅ・ＨＥＲＯ ストーム・ネオス,PTDN-JP043,Ultimate,0
レインボー・ネオス,PTDN-JP044,Ultra,0
レインボー・ネオス,PTDN-JP044,Ultimate,0
レインボー・ネオス,PTDN-JP044,Holographic,0
レインボー・ヴェール,PTDN-JP045,Rare,0
超融合,PTDN-JP046,Super,0
ヴィシャス・クロー,PTDN-JP047,Rare,0
インスタント・ネオスペース,PTDN-JP048,nomal,0
蜃気楼の筒,PTDN-JP049,Rare,0
マジック・クロニクル,PTDN-JP050,nomal,0
次元誘爆,PTDN-JP051,Super,0
サイバネティック・ゾーン,PTDN-JP052,nomal,0
終わりの始まり,PTDN-JP053,Rare,0
ダーク・バースト,PTDN-JP054,Rare,0
終焉の焔,PTDN-JP055,N-Rare,0
フォース・リリース,PTDN-JP056,nomal,0
サモンチェーン,PTDN-JP057,nomal,0
アシッドレイン,PTDN-JP058,nomal,0
六武衆の結束,PTDN-JP059,nomal,0
剣闘獣の闘器デーモンズシールド,PTDN-JP060,nomal,0
剣闘訓練所,PTDN-JP061,nomal,0
暗黒界の書物,PTDN-JP062,nomal,0
虹の行方,PTDN-JP063,nomal,0
レインボー・ライフ,PTDN-JP064,Rare,0
デモンバルサム・シード,PTDN-JP065,nomal,0
ヘイト・バスター,PTDN-JP066,Super,0
チェーン・マテリアル,PTDN-JP067,nomal,0
アルケミー・サイクル,PTDN-JP068,nomal,0
サイバネティック・ヒドゥン・テクノロジー,PTDN-JP069,Rare,0
闇霊術－「欲」,PTDN-JP070,Super,0
闇の幻影,PTDN-JP071,nomal,0
闇次元の解放,PTDN-JP072,N-Rare,0
二重の落とし穴,PTDN-JP073,nomal,0
強烈なはたき落とし,PTDN-JP074,Rare,0
召喚制限－猛突するモンスター,PTDN-JP075,nomal,0
ハンディキャップマッチ！,PTDN-JP076,nomal,0
毒蛇の供物,PTDN-JP077,N-Rare,0
決戦の火蓋,PTDN-JP078,Rare,0
転生断絶,PTDN-JP079,nomal,0
罰則金,PTDN-JP080,N-Rare,0
