name,card_id,rare,stock
結束と絆の魔導師,PHNI-JP000,Quarter Century Secret,0
スピリット・オブ・ユベル,PHNI-JP001,Super,0
スピリット・オブ・ユベル,PHNI-JP001,Secret,0
ガイストーチ・ゴーレム,PHNI-JP002,nomal,0
サクリファイス・Ｄ・ロータス,PHNI-JP003,Rare,0
ＲＲ－ノアール・レイニアス,PHNI-JP004,nomal,0
ＲＲ－ブルーム・ヴァルチャー,PHNI-JP005,Rare,0
白曼波,PHNI-JP006,nomal,0
白鰯,PHNI-JP007,Rare,0
百鬼羅刹 特攻ダグ,PHNI-JP008,Super,0
百鬼羅刹 特攻ダグ,PHNI-JP008,Secret,0
百鬼羅刹 爆音クラッタ,PHNI-JP009,nomal,0
百鬼羅刹 神速ブーン,PHNI-JP010,nomal,0
百鬼羅刹 冷血ミアンダ,PHNI-JP011,Rare,0
蛇眼の炎燐,PHNI-JP012,Super,0
蛇眼の炎燐,PHNI-JP012,Secret,0
闇の守護神－ダーク・ガーディアン,PHNI-JP013,Rare,0
幻魔の召喚神,PHNI-JP014,nomal,0
ゴーティスの朧キーフ,PHNI-JP015,nomal,0
ゴーティスの月夜サイクス,PHNI-JP016,nomal,0
メメント・ウラモン,PHNI-JP017,nomal,0
ホルスの黒炎神,PHNI-JP018,Super,0
ホルスの黒炎神,PHNI-JP018,Secret,0
粛声の祈り手ロー,PHNI-JP019,Super,0
粛声の祈り手ロー,PHNI-JP019,Secret,0
粛声の竜賢姫サフィラ,PHNI-JP020,Rare,0
粛声の竜賢聖サウラヴィス,PHNI-JP021,nomal,0
アロマリリス－ロザリーナ,PHNI-JP022,Super,0
アロマリリス－ロザリーナ,PHNI-JP022,Secret,0
マジェスペクター・ポーキュパイン,PHNI-JP023,nomal,0
無窮機竜カルノール,PHNI-JP024,Ultra,0
無窮機竜カルノール,PHNI-JP024,Ultimate,0
無窮機竜カルノール,PHNI-JP024,Secret,0
マグマッチョ・ドラゴン,PHNI-JP025,nomal,0
タイム・リワインダー,PHNI-JP026,nomal,0
バーサーク・デーモン,PHNI-JP027,nomal,0
異星戦隊 ビッグ・バン,PHNI-JP028,nomal,0
ゴブリン降下部隊,PHNI-JP029,nomal,0
幻蝋館の使者,PHNI-JP030,Rare,0
童妖 茶壺,PHNI-JP031,nomal,0
ＥＭ：Ｐグレニャード,PHNI-JP032,Rare,0
モコモッコ,PHNI-JP033,nomal,0
プリンシパグ,PHNI-JP034,nomal,0
ジョングルグールの幻術師,PHNI-JP035,N-Rare,0
犀子の王様,PHNI-JP036,N-Rare,0
粛声なる守護者ローガーディアン,PHNI-JP037,Ultra,0
粛声なる守護者ローガーディアン,PHNI-JP037,Ultimate,0
粛声なる守護者ローガーディアン,PHNI-JP037,Secret,0
ユベル－Ｄａｓ Ｅｗｉｇ Ｌｉｅｂｅ Ｗａｃｈｔｅｒ,PHNI-JP038,Ultra,0
ユベル－Ｄａｓ Ｅｗｉｇ Ｌｉｅｂｅ Ｗａｃｈｔｅｒ,PHNI-JP038,Ultimate,0
ユベル－Ｄａｓ Ｅｗｉｇ Ｌｉｅｂｅ Ｗａｃｈｔｅｒ,PHNI-JP038,Secret,0
ユベル－Ｄａｓ Ｅｗｉｇ Ｌｉｅｂｅ Ｗａｃｈｔｅｒ,PHNI-JP038,Holographic,0
アロマリリス－マグノリア,PHNI-JP039,Rare,0
マスター・オブ・ＨＡＭ,PHNI-JP040,nomal,0
白闘気砂滑,PHNI-JP041,Rare,0
エニグマスター・パックビット,PHNI-JP042,Ultra,0
エニグマスター・パックビット,PHNI-JP042,Ultimate,0
エニグマスター・パックビット,PHNI-JP042,Secret,0
月朧龍ヴァグナワ,PHNI-JP043,nomal,0
灯魚,PHNI-JP044,nomal,0
ＲＲ－ライジング・リベリオン・ファルコン,PHNI-JP045,Ultra,0
ＲＲ－ライジング・リベリオン・ファルコン,PHNI-JP045,Ultimate,0
ＲＲ－ライジング・リベリオン・ファルコン,PHNI-JP045,Secret,0
ＲＲ－ブレイブ・ストリクス,PHNI-JP046,Super,0
ＲＲ－ブレイブ・ストリクス,PHNI-JP046,Secret,0
百鬼羅刹 巨魁ガボンガ,PHNI-JP047,Ultra,0
百鬼羅刹 巨魁ガボンガ,PHNI-JP047,Ultimate,0
百鬼羅刹 巨魁ガボンガ,PHNI-JP047,Secret,0
百鬼羅刹の大饕獣,PHNI-JP048,Rare,0
マジェスペクター・ドラコ,PHNI-JP049,Ultra,0
マジェスペクター・ドラコ,PHNI-JP049,Ultimate,0
マジェスペクター・ドラコ,PHNI-JP049,Secret,0
アロマリリス－ローズマリー,PHNI-JP050,Ultra,0
アロマリリス－ローズマリー,PHNI-JP050,Ultimate,0
アロマリリス－ローズマリー,PHNI-JP050,Secret,0
マジェスペクター・オルト,PHNI-JP051,Rare,0
賜炎の咎姫,PHNI-JP052,Ultra,0
