name,card_id,rare,stock
レイダーズ・ウィング,PHRA-JP001,Rare,0
幻影騎士団ステンドグリーブ,PHRA-JP002,nomal,0
幻影騎士団ティアースケイル,PHRA-JP003,Rare,0
ＲＲ－ヒール・イーグル,PHRA-JP004,nomal,0
ＲＲ－ストラングル・レイニアス,PHRA-JP005,Rare,0
鉄獣戦線 ナーベル,PHRA-JP006,nomal,0
鉄獣戦線 ケラス,PHRA-JP007,nomal,0
鉄獣戦線 フラクトール,PHRA-JP008,Rare,0
教導の神徒,PHRA-JP009,nomal,0
電脳堺媛－瑞々,PHRA-JP010,Super,0
電脳堺媛－瑞々,PHRA-JP010,Secret,0
電脳堺悟－老々,PHRA-JP011,Rare,0
電脳堺豸－豸々,PHRA-JP012,nomal,0
電脳堺麟－麟々,PHRA-JP013,nomal,0
双天拳の熊羆,PHRA-JP014,Rare,0
双天脚の鴻鵠,PHRA-JP015,Rare,0
インフェルニティ・コンジュラー,PHRA-JP016,Rare,0
インフェルニティ・ワイルドキャット,PHRA-JP017,nomal,0
Ｕ.Ａ.リベロスパイカー,PHRA-JP018,nomal,0
Ｕ.Ａ.プレイングマネージャー,PHRA-JP019,Rare,0
憑依覚醒－ガギゴバイト,PHRA-JP020,nomal,0
憑依覚醒－ラセンリュウ,PHRA-JP021,nomal,0
機巧牙－御神尊真神,PHRA-JP022,Ultra,0
機巧牙－御神尊真神,PHRA-JP022,Ultimate,0
機巧牙－御神尊真神,PHRA-JP022,Secret,0
獣王アルファ,PHRA-JP023,Ultra,0
獣王アルファ,PHRA-JP023,Ultimate,0
獣王アルファ,PHRA-JP023,Secret,0
奇采のプルフィネス,PHRA-JP024,nomal,0
巌帯の美技－ゼノギタム,PHRA-JP025,Rare,0
魔導闇商人,PHRA-JP026,nomal,0
貪食魚グリーディス,PHRA-JP027,nomal,0
コウ・キューピット,PHRA-JP028,N-Rare,0
禰須三破鳴比,PHRA-JP029,N-Rare,0
ネフティスの繋ぎ手,PHRA-JP030,Rare,0
痕喰竜ブリガンド,PHRA-JP031,Rare,0
双天拳 鎧阿,PHRA-JP032,nomal,0
双天脚 鎧吽,PHRA-JP033,nomal,0
双天将 金剛,PHRA-JP034,Ultra,0
双天将 金剛,PHRA-JP034,Ultimate,0
双天将 金剛,PHRA-JP034,Secret,0
混沌幻魔アーミタイル－虚無幻影羅生悶,PHRA-JP035,Ultra,0
混沌幻魔アーミタイル－虚無幻影羅生悶,PHRA-JP035,Ultimate,0
混沌幻魔アーミタイル－虚無幻影羅生悶,PHRA-JP035,Secret,0
電脳堺狐－仙々,PHRA-JP036,Ultra,0
電脳堺狐－仙々,PHRA-JP036,Ultimate,0
電脳堺狐－仙々,PHRA-JP036,Secret,0
インフェルニティ・ヘル・デーモン,PHRA-JP037,Super,0
インフェルニティ・ヘル・デーモン,PHRA-JP037,Secret,0
焔聖騎士将－オリヴィエ,PHRA-JP038,Rare,0
ペンギン勇者,PHRA-JP039,nomal,0
レイダーズ・ナイト,PHRA-JP040,Super,0
レイダーズ・ナイト,PHRA-JP040,Secret,0
アーク・リベリオン・エクシーズ・ドラゴン,PHRA-JP041,Ultra,0
アーク・リベリオン・エクシーズ・ドラゴン,PHRA-JP041,Ultimate,0
アーク・リベリオン・エクシーズ・ドラゴン,PHRA-JP041,Secret,0
電脳堺甲－甲々,PHRA-JP042,nomal,0
電脳堺凰－凰々,PHRA-JP043,Super,0
電脳堺凰－凰々,PHRA-JP043,Secret,0
わくわくメルフィーズ,PHRA-JP044,Super,0
わくわくメルフィーズ,PHRA-JP044,Secret,0
天霆號アーゼウス,PHRA-JP045,Ultra,0
天霆號アーゼウス,PHRA-JP045,Ultimate,0
天霆號アーゼウス,PHRA-JP045,Secret,0
天霆號アーゼウス,PHRA-JP045,Holographic,0
鉄獣戦線 徒花のフェリジット,PHRA-JP046,Super,0
鉄獣戦線 徒花のフェリジット,PHRA-JP046,Secret,0
鉄獣戦線 銀弾のルガル,PHRA-JP047,Rare,0
鉄獣戦線 凶鳥のシュライグ,PHRA-JP048,Ultra,0
鉄獣戦線 凶鳥のシュライグ,PHRA-JP048,Ultimate,0
鉄獣戦線 凶鳥のシュライグ,PHRA-JP048,Secret,0
プランキッズ・ミュー,PHRA-JP049,nomal,0
転晶のコーディネラル,PHRA-JP050,nomal,0
ＲＵＭ－ファントム・フォース,PHRA-JP051,Super,0
ＲＵＭ－ファントム・フォース,PHRA-JP051,Secret,0
鉄獣の戦線,PHRA-JP052,nomal,0
鉄獣の凶襲,PHRA-JP053,Super,0
鉄獣の凶襲,PHRA-JP053,Secret,0
教導神理,PHRA-JP054,nomal,0
電脳堺都－九竜,PHRA-JP055,Rare,0
電脳堺門－青龍,PHRA-JP056,nomal,0
双天招来,PHRA-JP057,Rare,0
阿吽の呼吸,PHRA-JP058,nomal,0
双天の調伏,PHRA-JP059,nomal,0
インフェルニティ・パラノイア,PHRA-JP060,nomal,0
Ｕ.Ａ.ハイパー・スタジアム,PHRA-JP061,Rare,0
Ｕ.Ａ.ロッカールーム,PHRA-JP062,nomal,0
暗黒界の援軍,PHRA-JP063,Rare,0
アルカナリーディング,PHRA-JP064,nomal,0
新風の空牙団,PHRA-JP065,nomal,0
エクシーズ・インポート,PHRA-JP066,nomal,0
ジャック・イン・ザ・ハンド,PHRA-JP067,N-Rare,0
レイダーズ・アンブレイカブル・マインド,PHRA-JP068,nomal,0
ＲＲ－ファントム・クロー,PHRA-JP069,Super,0
ＲＲ－ファントム・クロー,PHRA-JP069,Secret,0
鉄獣の抗戦,PHRA-JP070,nomal,0
鉄獣の血盟,PHRA-JP071,nomal,0
電脳堺門－朱雀,PHRA-JP072,nomal,0
双天の再来,PHRA-JP073,nomal,0
双天の使命,PHRA-JP074,nomal,0
インフェルニティ・サプレッション,PHRA-JP075,nomal,0
Ｕ.Ａ.マン・オブ・ザ・マッチ,PHRA-JP076,nomal,0
魍魎跋扈,PHRA-JP077,nomal,0
ワーニングポイント,PHRA-JP078,Super,0
ワーニングポイント,PHRA-JP078,Secret,0
魔獣の大餌,PHRA-JP079,nomal,0
一か八か,PHRA-JP080,N-Rare,0
ダーク・レクイエム・エクシーズ・ドラゴン,PHRA-JPS01,Prismatic Secret,0
