name,card_id,rare,stock
フォトン・エンペラー,PHHY-JP001,Rare,0
銀河の召喚師,PHHY-JP002,nomal,0
ギャラクリボー,PHHY-JP003,nomal,0
深淵の獣バルドレイク,PHHY-JP004,nomal,0
深淵の相剣龍,PHHY-JP005,Super,0
深淵の相剣龍,PHHY-JP005,Secret,0
クシャトリラ・ライズハート,PHHY-JP006,Super,0
クシャトリラ・ライズハート,PHHY-JP006,Secret,0
スケアクロー・クシャトリラ,PHHY-JP007,nomal,0
ティアラメンツ・クシャトリラ,PHHY-JP008,nomal,0
カオス・ウィッチ－混沌の魔女－,PHHY-JP009,Super,0
カオス・ウィッチ－混沌の魔女－,PHHY-JP009,Secret,0
混沌殻,PHHY-JP010,nomal,0
混沌核,PHHY-JP011,nomal,0
メンタル・チューナー,PHHY-JP012,nomal,0
カオス・ミラージュ・ドラゴン,PHHY-JP013,Rare,0
昆虫機甲鎧,PHHY-JP014,nomal,0
ジャイアント・メサイア,PHHY-JP015,nomal,0
魔界劇団－リバティ・ドラマチスト,PHHY-JP016,nomal,0
重の忍者－磁翁,PHHY-JP017,nomal,0
グリム・リチュア,PHHY-JP018,nomal,0
呪眼の眷属 バジリコック,PHHY-JP019,nomal,0
王の呪 ヴァラ,PHHY-JP020,nomal,0
樹冠の甲帝ベアグラム,PHHY-JP021,Ultra,0
樹冠の甲帝ベアグラム,PHHY-JP021,Ultimate,0
樹冠の甲帝ベアグラム,PHHY-JP021,Secret,0
樹冠の甲帝ベアグラム,PHHY-JP021,Holographic,0
震天のマンティコア,PHHY-JP022,nomal,0
チョウジュ・ゴッド,PHHY-JP023,nomal,0
猛虎モンフー,PHHY-JP024,nomal,0
円喚師フェアリ,PHHY-JP025,Rare,0
銀翼のＡＸＥ－サリー,PHHY-JP026,nomal,0
Ｃｏｕｐｌｅ ｏｆ Ａｃｅｓ,PHHY-JP027,nomal,0
次元同異体ヴァリス,PHHY-JP028,nomal,0
流星連打－シロクロイド,PHHY-JP029,N-Rare,0
潜伏するＧ,PHHY-JP030,N-Rare,0
凶導の白き天底,PHHY-JP031,Super,0
凶導の白き天底,PHHY-JP031,Secret,0
イビリチュア・ネーレイマナス,PHHY-JP032,Ultra,0
イビリチュア・ネーレイマナス,PHHY-JP032,Ultimate,0
イビリチュア・ネーレイマナス,PHHY-JP032,Secret,0
赫焉竜グランギニョル,PHHY-JP033,Ultra,0
赫焉竜グランギニョル,PHHY-JP033,Ultimate,0
赫焉竜グランギニョル,PHHY-JP033,Secret,0
撃鉄竜リンドブルム,PHHY-JP034,Super,0
撃鉄竜リンドブルム,PHHY-JP034,Secret,0
完全態・グレート・インセクト,PHHY-JP035,Super,0
完全態・グレート・インセクト,PHHY-JP035,Secret,0
冑の忍者－櫓丸,PHHY-JP036,Rare,0
針淵のヴァリアンツ－アルクトスＸＩＩ,PHHY-JP037,Super,0
針淵のヴァリアンツ－アルクトスＸＩＩ,PHHY-JP037,Secret,0
氷水啼エジル・ギュミル,PHHY-JP038,Super,0
氷水啼エジル・ギュミル,PHHY-JP038,Secret,0
カオス・デーモン－混沌の魔神－,PHHY-JP039,Ultra,0
カオス・デーモン－混沌の魔神－,PHHY-JP039,Ultimate,0
カオス・デーモン－混沌の魔神－,PHHY-JP039,Secret,0
カオス・ビースト－混沌の魔獣－,PHHY-JP040,Rare,0
海造賊－荘重のヨルズ号,PHHY-JP041,Rare,0
サークル・オブ・フェアリー,PHHY-JP042,Rare,0
ＣＮｏ.６２ 超銀河眼の光子龍皇,PHHY-JP043,Ultra,0
ＣＮｏ.６２ 超銀河眼の光子龍皇,PHHY-JP043,Ultimate,0
ＣＮｏ.６２ 超銀河眼の光子龍皇,PHHY-JP043,Secret,0
銀河光子竜,PHHY-JP044,Rare,0
ギガンティック“チャンピオン”サルガス,PHHY-JP045,Ultra,0
ギガンティック“チャンピオン”サルガス,PHHY-JP045,Ultimate,0
ギガンティック“チャンピオン”サルガス,PHHY-JP045,Secret,0
クシャトリラ・アライズハート,PHHY-JP046,Ultra,0
クシャトリラ・アライズハート,PHHY-JP046,Ultimate,0
クシャトリラ・アライズハート,PHHY-JP046,Secret,0
影の王 レイヴァーテイン,PHHY-JP047,Super,0
影の王 レイヴァーテイン,PHHY-JP047,Secret,0
鉄獣式強襲機動兵装改“ＢｕｃｅｐｈａｌｕｓＩＩ”,PHHY-JP048,Ultra,0
