name,card_id,rare,stock
バニーラ,PHSW-JP001,nomal,0
ラビードラゴン,PHSW-JP002,Rare,0
ライライダー,PHSW-JP003,nomal,0
針剣士,PHSW-JP004,nomal,0
カゲトカゲ,PHSW-JP005,Rare,0
コロボックリ,PHSW-JP006,nomal,0
マツボックル,PHSW-JP007,nomal,0
キラー・ラブカ,PHSW-JP008,Rare,0
シャーク・サッカー,PHSW-JP009,nomal,0
ハリマンボウ,PHSW-JP010,nomal,0
銀河眼の光子竜,PHSW-JP011,Ultra,0
銀河眼の光子竜,PHSW-JP011,Ultimate,0
銀河眼の光子竜,PHSW-JP011,Holographic,0
デイブレーカー,PHSW-JP012,Rare,0
ライト・サーペント,PHSW-JP013,Super,0
プラズマ・ボール,PHSW-JP014,nomal,0
フォトン・ケルベロス,PHSW-JP015,Super,0
エヴォルド・ゲフィロス,PHSW-JP016,nomal,0
エヴォルド・ウェストロ,PHSW-JP017,Rare,0
エヴォルド・オドケリス,PHSW-JP018,nomal,0
エヴォルダー・ウルカノドン,PHSW-JP019,Rare,0
エヴォルダー・ケラト,PHSW-JP020,Super,0
エヴォルダー・ディプロドクス,PHSW-JP021,nomal,0
ゼンマイウォリアー,PHSW-JP022,nomal,0
ゼンマイナイト,PHSW-JP023,nomal,0
ゼンマイハンター,PHSW-JP024,Super,0
ゼンマイバット,PHSW-JP025,nomal,0
ゼンマイニャンコ,PHSW-JP026,Rare,0
テレポンＤ.Ｄ.,PHSW-JP027,nomal,0
エレキングコブラ,PHSW-JP028,nomal,0
ナチュル・マロン,PHSW-JP029,nomal,0
氷結界の伝道師,PHSW-JP030,nomal,0
渋い忍者,PHSW-JP031,nomal,0
ドングリス,PHSW-JP032,N-Rare,0
鳳凰,PHSW-JP033,nomal,0
同族感電ウィルス,PHSW-JP034,Rare,0
ゴブリン穴埋め部隊,PHSW-JP035,N-Rare,0
デス・ウサギ,PHSW-JP036,nomal,0
レスキューラビット,PHSW-JP037,Rare,0
ベビー・トラゴン,PHSW-JP038,Super,0
Ｎｏ.８３ ギャラクシー・クィーン,PHSW-JP039,Super,0
ブラック・レイ・ランサー,PHSW-JP040,Super,0
Ｎｏ.１０ 白輝士イルミネーター,PHSW-JP041,Ultra,0
Ｎｏ.１０ 白輝士イルミネーター,PHSW-JP041,Ultimate,0
Ｎｏ.２０ 蟻岩土ブリリアント,PHSW-JP042,Ultra,0
Ｎｏ.２０ 蟻岩土ブリリアント,PHSW-JP042,Ultimate,0
エヴォルカイザー・ラギア,PHSW-JP043,Ultra,0
エヴォルカイザー・ラギア,PHSW-JP043,Ultimate,0
サンダーエンド・ドラゴン,PHSW-JP044,Ultra,0
サンダーエンド・ドラゴン,PHSW-JP044,Ultimate,0
攻通規制,PHSW-JP045,nomal,0
虚栄巨影,PHSW-JP046,nomal,0
モンスター・スロット,PHSW-JP047,Rare,0
クロス・アタック,PHSW-JP048,nomal,0
エクシーズ・ギフト,PHSW-JP049,Rare,0
フォトン・ベール,PHSW-JP050,nomal,0
フォトン・リード,PHSW-JP051,Rare,0
フォトン・ブースター,PHSW-JP052,Rare,0
進化の宿命,PHSW-JP053,nomal,0
進化の奇跡,PHSW-JP054,nomal,0
巻きすぎた発条,PHSW-JP055,nomal,0
エクストラゲート,PHSW-JP056,Super,0
強欲なカケラ,PHSW-JP057,Rare,0
森のざわめき,PHSW-JP058,nomal,0
トライワイトゾーン,PHSW-JP059,N-Rare,0
一時休戦,PHSW-JP060,nomal,0
スペース・サイクロン,PHSW-JP061,nomal,0
猛毒の風,PHSW-JP062,nomal,0
痛恨の訴え,PHSW-JP063,nomal,0
燃える闘志,PHSW-JP064,nomal,0
ダメージ・ダイエット,PHSW-JP065,nomal,0
コピー・ナイト,PHSW-JP066,Rare,0
聖なる鎧 －ミラーメール－,PHSW-JP067,Rare,0
フィッシュ・レイン,PHSW-JP068,nomal,0
ヘイト・クレバス,PHSW-JP069,nomal,0
光子化,PHSW-JP070,nomal,0
進化への懸け橋,PHSW-JP071,nomal,0
発条の巻き戻し,PHSW-JP072,nomal,0
エレキャンセル,PHSW-JP073,nomal,0
王者の看破,PHSW-JP074,nomal,0
闇の閃光,PHSW-JP075,Super,0
暴君の自暴自棄,PHSW-JP076,Rare,0
撤収命令,PHSW-JP077,N-Rare,0
深黒の落とし穴,PHSW-JP078,Rare,0
アイスバーン,PHSW-JP079,nomal,0
水遁封印式,PHSW-JP080,nomal,0
