name,card_id,rare,stock
Ｅ・ＨＥＲＯ スピリット・オブ・ネオス,POTE-JP001,Super,0
Ｅ・ＨＥＲＯ スピリット・オブ・ネオス,POTE-JP001,Secret,0
クロス・キーパー,POTE-JP002,nomal,0
スプライト・ブルー,POTE-JP003,Super,0
スプライト・ブルー,POTE-JP003,Secret,0
スプライト・ジェット,POTE-JP004,Rare,0
スプライト・ピクシーズ,POTE-JP005,nomal,0
スプライト・レッド,POTE-JP006,nomal,0
スプライト・キャロット,POTE-JP007,nomal,0
セリオンズ“エンプレス”アラシア,POTE-JP008,nomal,0
セリオンズ・イレギュラー,POTE-JP009,Ultra,0
セリオンズ・イレギュラー,POTE-JP009,Ultimate,0
セリオンズ・イレギュラー,POTE-JP009,Secret,0
氷水艇エーギロカシス,POTE-JP010,Rare,0
灰燼のアルバス,POTE-JP011,Super,0
灰燼のアルバス,POTE-JP011,Secret,0
ティアラメンツ・メイルゥ,POTE-JP012,nomal,0
ティアラメンツ・ハゥフニス,POTE-JP013,nomal,0
ティアラメンツ・シェイレーン,POTE-JP014,Super,0
ティアラメンツ・シェイレーン,POTE-JP014,Secret,0
ティアラメンツ・レイノハート,POTE-JP015,Rare,0
丘と芽吹の春化精,POTE-JP016,Super,0
丘と芽吹の春化精,POTE-JP016,Secret,0
森と目覚の春化精,POTE-JP017,Rare,0
花と野原の春化精,POTE-JP018,nomal,0
山と雪解の春化精,POTE-JP019,nomal,0
ジェムナイト・クォーツ,POTE-JP020,nomal,0
ブリリアント・ローズ,POTE-JP021,nomal,0
メルフィー・ワラビィ,POTE-JP022,nomal,0
メルフィー・ラッシィ,POTE-JP023,nomal,0
スカー・ヴェンデット,POTE-JP024,nomal,0
エクソシスター・マルファ,POTE-JP025,Rare,0
赤しゃりの軍貫,POTE-JP026,nomal,0
六花のしらひめ,POTE-JP027,nomal,0
斬機サーキュラー,POTE-JP028,Rare,0
クローラー・ソゥマ,POTE-JP029,nomal,0
はぐれ・もけもけ,POTE-JP030,nomal,0
倶利伽羅天童,POTE-JP031,Ultra,0
倶利伽羅天童,POTE-JP031,Ultimate,0
倶利伽羅天童,POTE-JP031,Secret,0
倶利伽羅天童,POTE-JP031,Holographic,0
地霊媒師アウス,POTE-JP032,Ultra,0
地霊媒師アウス,POTE-JP032,Ultimate,0
地霊媒師アウス,POTE-JP032,Secret,0
グランドタスク・ドラゴン,POTE-JP033,Rare,0
炎獣使いエーカ,POTE-JP034,nomal,0
プロパ・ガンダケ,POTE-JP035,nomal,0
水界の秘石－カトリン,POTE-JP036,Rare,0
お代狸様の代算様,POTE-JP037,nomal,0
悪醒師ナイトメルト,POTE-JP038,N-Rare,0
ハイドランダー・オービット,POTE-JP039,N-Rare,0
ヴェンデット・スカヴェンジャー,POTE-JP040,Super,0
ヴェンデット・スカヴェンジャー,POTE-JP040,Secret,0
Ｅ・ＨＥＲＯ シャイニング・ネオス・ウィングマン,POTE-JP041,Ultra,0
Ｅ・ＨＥＲＯ シャイニング・ネオス・ウィングマン,POTE-JP041,Ultimate,0
Ｅ・ＨＥＲＯ シャイニング・ネオス・ウィングマン,POTE-JP041,Secret,0
ティアラメンツ・キトカロス,POTE-JP042,Super,0
ティアラメンツ・キトカロス,POTE-JP042,Secret,0
ティアラメンツ・カレイドハート,POTE-JP043,Ultra,0
ティアラメンツ・カレイドハート,POTE-JP043,Ultimate,0
ティアラメンツ・カレイドハート,POTE-JP043,Secret,0
ジェムナイトレディ・ローズ・ダイヤ,POTE-JP044,Super,0
ジェムナイトレディ・ローズ・ダイヤ,POTE-JP044,Secret,0
うきうきメルフィーズ,POTE-JP045,Rare,0
Ｐ.Ｕ.Ｎ.Ｋ.ＪＡＭドラゴン・ドライブ,POTE-JP046,Rare,0
ギガンティック・スプライト,POTE-JP047,Ultra,0
ギガンティック・スプライト,POTE-JP047,Ultimate,0
ギガンティック・スプライト,POTE-JP047,Secret,0
亜種羅王,POTE-JP048,Rare,0
スプライト・エルフ,POTE-JP049,Super,0
スプライト・エルフ,POTE-JP049,Secret,0
スケアクロー・ライトハート,POTE-JP050,Rare,0
ＥＮ－エンゲージ・ネオスペース,POTE-JP051,Super,0
ＥＮ－エンゲージ・ネオスペース,POTE-JP051,Secret,0
インスタント・コンタクト,POTE-JP052,Rare,0
ＥＮウェーブ,POTE-JP053,nomal,0
融合超渦,POTE-JP054,nomal,0
スプライト・スターター,POTE-JP055,Rare,0
スプライト・ガンマ・バースト,POTE-JP056,nomal,0
スプライト・スマッシャーズ,POTE-JP057,nomal,0
烙印の命数,POTE-JP058,nomal,0
肆世壊からの天跨,POTE-JP059,nomal,0
壱世壊＝ペルレイノ,POTE-JP060,Rare,0
春化精の花冠,POTE-JP061,nomal,0
スキャッター・フュージョン,POTE-JP062,nomal,0
メルフィーとにらめっこ,POTE-JP063,nomal,0
ラヴェナス・ヴェンデット,POTE-JP064,nomal,0
Ｐ.Ｕ.Ｎ.Ｋ.ＪＡＭエクストリーム・セッション,POTE-JP065,nomal,0
六花来々,POTE-JP066,Rare,0
月女神の鏃,POTE-JP067,Ultra,0
月女神の鏃,POTE-JP067,Ultimate,0
月女神の鏃,POTE-JP067,Secret,0
無千ジャミング,POTE-JP068,N-Rare,0
フェイバリット・コンタクト,POTE-JP069,Rare,0
分かつ烙印,POTE-JP070,nomal,0
壱世壊に軋む爪音,POTE-JP071,nomal,0
壱世壊に奏でる哀唱,POTE-JP072,nomal,0
壱世壊に澄み渡る残響,POTE-JP073,nomal,0
春化精の暦替,POTE-JP074,nomal,0
春化精と花蕾,POTE-JP075,nomal,0
エクソシスター・リタニア,POTE-JP076,nomal,0
Ａ・∀・ＴＴ,POTE-JP077,nomal,0
現世離レ,POTE-JP078,Rare,0
龍皇の波動,POTE-JP079,Ultra,0
龍皇の波動,POTE-JP079,Ultimate,0
龍皇の波動,POTE-JP079,Secret,0
砂塵の大ハリケーン,POTE-JP080,N-Rare,0
Ｅ・ＨＥＲＯ フレイム・ウィングマン,POTE-JPS01,Prismatic Secret,0
