name,card_id,rare,stock
不死王リッチー,PH-00,Secret,0
不死王リッチー,PH-00,Ultimate,0
溶岩大巨人,PH-01,nomal,0
シェイプ・スナッチ,PH-02,nomal,0
魂喰らい,PH-03,nomal,0
王虎ワンフー,PH-04,Rare,0
バード・フェイス,PH-05,nomal,0
クルーエル,PH-06,nomal,0
アーマード・フライ,PH-07,nomal,0
海神の巫女,PH-08,N-Rare,0
Ｘ・Ｅ・Ｎ・Ｏ,PH-09,nomal,0
タイム・イーター,PH-10,nomal,0
グラッジ,PH-11,nomal,0
異形の従者,PH-12,nomal,0
モイスチャー星人,PH-13,Super,0
ゴラ・タートル,PH-14,nomal,0
一刀両断侍,PH-15,Super,0
ポイズンマミー,PH-16,nomal,0
砂塵の悪霊,PH-17,nomal,0
王族親衛隊,PH-18,nomal,0
さまようミイラ,PH-19,Rare,0
大神官デ・ザード,PH-20,Ultra,0
大神官デ・ザード,PH-20,Parallel,0
スカラベの大群,PH-21,nomal,0
イナゴの軍勢,PH-22,nomal,0
ジャイアントマミー,PH-23,nomal,0
八つ手サソリ,PH-24,nomal,0
守護者スフィンクス,PH-25,Ultra,0
守護者スフィンクス,PH-25,Parallel,0
ピラミッド・タートル,PH-26,nomal,0
ダイス・ポット,PH-27,nomal,0
黒蠍盗掘団,PH-28,nomal,0
首領・ザルーグ,PH-29,Ultra,0
首領・ザルーグ,PH-29,Parallel,0
デス・ラクーダ,PH-30,nomal,0
半蛇人サクズィー,PH-31,Rare,0
生者の書－禁断の呪術－,PH-32,Super,0
太陽の書,PH-33,nomal,0
月の書,PH-34,nomal,0
悪夢の蜃気楼,PH-35,nomal,0
財宝への隠し通路,PH-36,nomal,0
ミイラの呼び声,PH-37,nomal,0
おくびょうかぜ,PH-38,nomal,0
ピラミッドパワー,PH-39,nomal,0
ツタン仮面,PH-40,nomal,0
旅人の試練,PH-41,Rare,0
底なし流砂,PH-42,nomal,0
王家の呪い,PH-43,Rare,0
つり天井,PH-44,nomal,0
黄金の邪神像,PH-45,Super,0
呪われた棺,PH-46,nomal,0
ニードル・ウォール,PH-47,nomal,0
ダスト・シュート,PH-48,nomal,0
運命の火時計,PH-49,nomal,0
無謀な欲張り,PH-50,nomal,0
王家の財宝,PH-51,Rare,0
暗黒騎士ガイア,PH-52,Ultimate,0
