name,card_id,rare,stock
ブルーアイズ・カオス・ＭＡＸ・ドラゴン,QCAC-JP001,Ultra,0
エフェクト・ヴェーラー,QCAC-JP002,nomal,0
ブラック・ローズ・ドラゴン,QCAC-JP003,Ultra,0
銀河眼の光子竜,QCAC-JP004,Ultra,0
アクセスコード・トーカー,QCAC-JP005,Ultra,0
レスキューキャット,QCAC-JP006,nomal,0
未界域のビッグフット,QCAC-JP007,nomal,0
閃刀姫－レイ,QCAC-JP008,Ultra,0
閃刀姫－ハヤテ,QCAC-JP009,nomal,0
原始生命態ニビル,QCAC-JP010,nomal,0
迷宮城の白銀姫,QCAC-JP011,nomal,0
黒魔女ディアベルスター,QCAC-JP012,Ultra,0
Ｎｏ.４１ 泥睡魔獣バグースカ,QCAC-JP013,nomal,0
天霆號アーゼウス,QCAC-JP014,nomal,0
墓穴の指名者,QCAC-JP015,nomal,0
強欲で金満な壺,QCAC-JP016,nomal,0
ライトニング・ストーム,QCAC-JP017,nomal,0
ブラック・マジシャン,QCAC-JP018,Ultra,0
ブラック・マジシャン・ガール,QCAC-JP019,Ultra,0
竜騎士ブラック・マジシャン・ガール,QCAC-JP020,nomal,0
青眼の白龍,QCAC-JP021,Ultra,0
真紅眼の黒竜,QCAC-JP022,Ultra,0
死者蘇生,QCAC-JP023,Ultra,0
ハーピィの羽根帚,QCAC-JP024,nomal,0
Ｅ・ＨＥＲＯ ネオス,QCAC-JP025,Ultra,0
Ｅ・ＨＥＲＯ フェザーマン,QCAC-JP026,nomal,0
Ｅ・ＨＥＲＯ バーストレディ,QCAC-JP027,nomal,0
Ｅ・ＨＥＲＯ スパークマン,QCAC-JP028,nomal,0
サイバー・ドラゴン,QCAC-JP029,nomal,0
サイバー・エンド・ドラゴン,QCAC-JP030,nomal,0
Ｄ－ＨＥＲＯ Ｂｌｏｏ－Ｄ,QCAC-JP031,Ultra,0
レッドアイズ・ダークネスメタルドラゴン,QCAC-JP032,nomal,0
スターダスト・ドラゴン,QCAC-JP033,Ultra,0
Ｎｏ.３９ 希望皇ホープ,QCAC-JP034,Ultra,0
オッドアイズ・ペンデュラム・ドラゴン,QCAC-JP035,Ultra,0
ダーク・リベリオン・エクシーズ・ドラゴン,QCAC-JP036,Ultra,0
クリアウィング・シンクロ・ドラゴン,QCAC-JP037,Ultra,0
スターヴ・ヴェノム・フュージョン・ドラゴン,QCAC-JP038,Ultra,0
ファイアウォール・ドラゴン,QCAC-JP039,Ultra,0
ヴァレルソード・ドラゴン,QCAC-JP040,Ultra,0
転生炎獣ヒートライオ,QCAC-JP041,nomal,0
トリックスター・ホーリーエンジェル,QCAC-JP042,nomal,0
憑依装着－アウス,QCAC-JP043,Ultra,0
憑依装着－エリア,QCAC-JP044,Ultra,0
憑依装着－ヒータ,QCAC-JP045,Ultra,0
憑依装着－ウィン,QCAC-JP046,Ultra,0
憑依装着－ライナ,QCAC-JP047,Ultra,0
幽鬼うさぎ,QCAC-JP048,nomal,0
浮幽さくら,QCAC-JP049,nomal,0
灰流うらら,QCAC-JP050,Ultra,0
屋敷わらし,QCAC-JP051,nomal,0
儚無みずき,QCAC-JP052,nomal,0
朔夜しぐれ,QCAC-JP053,nomal,0
エルシャドール・ミドラーシュ,QCAC-JP054,nomal,0
エルシャドール・ネフィリム,QCAC-JP055,nomal,0
召喚師アレイスター,QCAC-JP056,nomal,0
召喚獣メルカバー,QCAC-JP057,nomal,0
召喚魔術,QCAC-JP058,nomal,0
閃刀姫－カガリ,QCAC-JP059,nomal,0
閃刀姫－シズク,QCAC-JP060,nomal,0
閃刀起動－エンゲージ,QCAC-JP061,nomal,0
爆走軌道フライング・ペガサス,QCAC-JP062,nomal,0
