name,card_id,rare,stock
青眼の白龍,QCCP-JP001,Ultra,0
青眼の白龍,QCCP-JP001,Ultimate,0
伝説の白石,QCCP-JP002,nomal,0
青き眼の賢士,QCCP-JP003,nomal,0
太古の白石,QCCP-JP004,Ultra,0
ロード・オブ・ドラゴン－ドラゴンの独裁者－,QCCP-JP005,nomal,0
青眼の双爆裂龍,QCCP-JP006,Ultra,0
青眼の双爆裂龍,QCCP-JP006,Ultimate,0
真青眼の究極竜,QCCP-JP007,Ultra,0
真青眼の究極竜,QCCP-JP007,Ultimate,0
ブルーアイズ・タイラント・ドラゴン,QCCP-JP008,Ultra,0
ブルーアイズ・タイラント・ドラゴン,QCCP-JP008,Ultimate,0
蒼眼の銀龍,QCCP-JP009,nomal,0
青眼の精霊龍,QCCP-JP010,Ultra,0
青眼の精霊龍,QCCP-JP010,Ultimate,0
ドラゴン・目覚めの旋律,QCCP-JP011,nomal,0
ビンゴマシーンＧＯ！ＧＯ！,QCCP-JP012,Ultra,0
究極融合,QCCP-JP013,Ultra,0
究極融合,QCCP-JP013,Ultimate,0
真の光,QCCP-JP014,Ultra,0
真の光,QCCP-JP014,Ultimate,0
サイバー・ドラゴン,QCCP-JP015,Ultra,0
サイバー・ドラゴン,QCCP-JP015,Ultimate,0
サイバー・ドラゴン・コア,QCCP-JP016,Ultra,0
サイバー・ドラゴン・ヘルツ,QCCP-JP017,nomal,0
サイバー・ドラゴン・ネクステア,QCCP-JP018,nomal,0
サイバー・ダーク・キメラ,QCCP-JP019,nomal,0
サイバー・ツイン・ドラゴン,QCCP-JP020,nomal,0
サイバー・エンド・ドラゴン,QCCP-JP021,Ultra,0
サイバー・エンド・ドラゴン,QCCP-JP021,Ultimate,0
キメラテック・フォートレス・ドラゴン,QCCP-JP022,Ultra,0
キメラテック・フォートレス・ドラゴン,QCCP-JP022,Ultimate,0
キメラテック・ランページ・ドラゴン,QCCP-JP023,Ultra,0
キメラテック・ランページ・ドラゴン,QCCP-JP023,Ultimate,0
キメラテック・メガフリート・ドラゴン,QCCP-JP024,Ultra,0
サイバー・ドラゴン・ノヴァ,QCCP-JP025,nomal,0
サイバー・ドラゴン・インフィニティ,QCCP-JP026,Ultra,0
サイバー・ドラゴン・インフィニティ,QCCP-JP026,Ultimate,0
サイバー・ドラゴン・ズィーガー,QCCP-JP027,Ultra,0
サイバー・ドラゴン・ズィーガー,QCCP-JP027,Ultimate,0
リミッター解除,QCCP-JP028,Ultra,0
リミッター解除,QCCP-JP028,Ultimate,0
パワー・ボンド,QCCP-JP029,Ultra,0
パワー・ボンド,QCCP-JP029,Ultimate,0
オーバーロード・フュージョン,QCCP-JP030,nomal,0
エマージェンシー・サイバー,QCCP-JP031,Ultra,0
サイバー・リペア・プラント,QCCP-JP032,nomal,0
サイバーダーク・ワールド,QCCP-JP033,nomal,0
エヴォリューション・レザルト・バースト,QCCP-JP034,nomal,0
ＴＧ ストライカー,QCCP-JP035,nomal,0
ＴＧ ワーウルフ,QCCP-JP036,nomal,0
ＴＧ スクリュー・サーペント,QCCP-JP037,nomal,0
ＴＧ ブースター・ラプトル,QCCP-JP038,nomal,0
ＴＧ タンク・ラーヴァ,QCCP-JP039,nomal,0
ＴＧ ギア・ゾンビ,QCCP-JP040,nomal,0
ＴＧ レシプロ・ドラゴン・フライ,QCCP-JP041,nomal,0
ＴＧ ワンダー・マジシャン,QCCP-JP042,nomal,0
ＴＧ ブレード・ガンナー,QCCP-JP043,nomal,0
ＴＧ ハルバード・キャノン,QCCP-JP044,Ultra,0
ＴＧ ハルバード・キャノン,QCCP-JP044,Ultimate,0
ＴＧ ハイパー・ライブラリアン,QCCP-JP045,Ultra,0
ＴＧ ハイパー・ライブラリアン,QCCP-JP045,Ultimate,0
ＴＧ スター・ガーディアン,QCCP-JP046,Ultra,0
ＴＧ スター・ガーディアン,QCCP-JP046,Ultimate,0
シューティング・スター・ドラゴン・ＴＧ－ＥＸ,QCCP-JP047,nomal,0
ＴＧ トライデント・ランチャー,QCCP-JP048,Ultra,0
銀河眼の光子竜,QCCP-JP049,Ultra,0
銀河眼の光子竜,QCCP-JP049,Ultimate,0
銀河の魔導師,QCCP-JP050,nomal,0
銀河戦士,QCCP-JP051,Ultra,0
銀河戦士,QCCP-JP051,Ultimate,0
銀河の召喚師,QCCP-JP052,nomal,0
フォトン・バニッシャー,QCCP-JP053,nomal,0
フォトン・オービタル,QCCP-JP054,Ultra,0
フォトン・エンペラー,QCCP-JP055,nomal,0
フォトン・ジャンパー,QCCP-JP056,nomal,0
Ｎｏ.３８ 希望魁竜タイタニック・ギャラクシー,QCCP-JP057,Ultra,0
Ｎｏ.３８ 希望魁竜タイタニック・ギャラクシー,QCCP-JP057,Ultimate,0
Ｎｏ.６２ 銀河眼の光子竜皇,QCCP-JP058,Ultra,0
Ｎｏ.６２ 銀河眼の光子竜皇,QCCP-JP058,Ultimate,0
ＣＮｏ.６２ 超銀河眼の光子龍皇,QCCP-JP059,Ultra,0
ＣＮｏ.６２ 超銀河眼の光子龍皇,QCCP-JP059,Ultimate,0
Ｎｏ.９０ 銀河眼の光子卿,QCCP-JP060,Ultra,0
Ｎｏ.９０ 銀河眼の光子卿,QCCP-JP060,Ultimate,0
輝光竜フォトン・ブラスト・ドラゴン,QCCP-JP061,nomal,0
銀河光子竜,QCCP-JP062,nomal,0
フォトン・サンクチュアリ,QCCP-JP063,nomal,0
銀河遠征,QCCP-JP064,nomal,0
銀河天翔,QCCP-JP065,nomal,0
銀河百式,QCCP-JP066,nomal,0
永遠なる銀河,QCCP-JP067,nomal,0
ＤＤスワラル・スライム,QCCP-JP068,nomal,0
ＤＤネクロ・スライム,QCCP-JP069,nomal,0
ＤＤラミア,QCCP-JP070,Ultra,0
ＤＤゴースト,QCCP-JP071,nomal,0
ＤＤ魔導賢者ケプラー,QCCP-JP072,nomal,0
ＤＤＤ壊薙王アビス・ラグナロク,QCCP-JP073,Ultra,0
ＤＤＤ壊薙王アビス・ラグナロク,QCCP-JP073,Ultimate,0
ＤＤ魔導賢者コペルニクス,QCCP-JP074,nomal,0
ＤＤオルトロス,QCCP-JP075,nomal,0
