name,card_id,rare,stock
ブラック・マジシャン,QCCU-JP001,Ultra,0
ブラック・マジシャン,QCCU-JP001,Ultimate,0
ブラック・マジシャン・ガール,QCCU-JP002,Ultra,0
ブラック・マジシャン・ガール,QCCU-JP002,Ultimate,0
マジシャンズ・ロッド,QCCU-JP003,nomal,0
マジシャンズ・ソウルズ,QCCU-JP004,Ultra,0
幻想の見習い魔導師,QCCU-JP005,Ultra,0
幻想の見習い魔導師,QCCU-JP005,Ultimate,0
合体竜ティマイオス,QCCU-JP006,nomal,0
超魔導戦士－マスター・オブ・カオス,QCCU-JP007,Ultra,0
ティマイオスの眼,QCCU-JP008,nomal,0
黒の魔導陣,QCCU-JP009,Ultra,0
黒の魔導陣,QCCU-JP009,Ultimate,0
魂のしもべ,QCCU-JP010,Ultra,0
黒魔術の秘儀,QCCU-JP011,nomal,0
永遠の魂,QCCU-JP012,Ultra,0
マジシャンズ・ナビゲート,QCCU-JP013,nomal,0
Ｅ・ＨＥＲＯ ネオス,QCCU-JP014,Ultra,0
Ｅ・ＨＥＲＯ ネオス,QCCU-JP014,Ultimate,0
Ｅ・ＨＥＲＯ エアーマン,QCCU-JP015,Ultra,0
Ｅ・ＨＥＲＯ シャドー・ミスト,QCCU-JP016,nomal,0
Ｅ・ＨＥＲＯ オネスティ・ネオス,QCCU-JP017,nomal,0
Ｅ・ＨＥＲＯ リキッドマン,QCCU-JP018,nomal,0
Ｅ・ＨＥＲＯ サンライザー,QCCU-JP019,Super,0
Ｅ・ＨＥＲＯ サンライザー,QCCU-JP019,Ultimate,0
Ｅ・ＨＥＲＯ シャイニング・ネオス・ウィングマン,QCCU-JP020,nomal,0
ミラクル・フュージョン,QCCU-JP021,Ultra,0
ミラクル・フュージョン,QCCU-JP021,Ultimate,0
Ｅ－エマージェンシーコール,QCCU-JP022,Ultra,0
ヒーローアライブ,QCCU-JP023,Ultra,0
フェイバリット・コンタクト,QCCU-JP024,nomal,0
Ｅ－ＨＥＲＯ アダスター・ゴールド,QCCU-JP025,nomal,0
Ｅ－ＨＥＲＯ マリシャス・ベイン,QCCU-JP026,Super,0
Ｅ－ＨＥＲＯ マリシャス・ベイン,QCCU-JP026,Ultimate,0
ダーク・コーリング,QCCU-JP027,nomal,0
Ｄ－ＨＥＲＯ ディアボリックガイ,QCCU-JP028,Ultra,0
Ｄ－ＨＥＲＯ Ｂｌｏｏ－Ｄ,QCCU-JP029,Super,0
Ｄ－ＨＥＲＯ Ｂｌｏｏ－Ｄ,QCCU-JP029,Ultimate,0
Ｄ－ＨＥＲＯ ダークエンジェル,QCCU-JP030,nomal,0
Ｄ－ＨＥＲＯ ディナイアルガイ,QCCU-JP031,nomal,0
Ｄ－ＨＥＲＯ デッドリーガイ,QCCU-JP032,Ultra,0
Ｄ－ＨＥＲＯ デストロイフェニックスガイ,QCCU-JP033,Super,0
Ｄ－ＨＥＲＯ デストロイフェニックスガイ,QCCU-JP033,Ultimate,0
フュージョン・デステニー,QCCU-JP034,Ultra,0
フュージョン・デステニー,QCCU-JP034,Ultimate,0
Ｄ－フォース,QCCU-JP035,nomal,0
Ｍ・ＨＥＲＯ アシッド,QCCU-JP036,nomal,0
Ｍ・ＨＥＲＯ ブラスト,QCCU-JP037,nomal,0
マスク・チェンジ,QCCU-JP038,Ultra,0
マスク・チェンジ,QCCU-JP038,Ultimate,0
Ｖ・ＨＥＲＯ インクリース,QCCU-JP039,nomal,0
Ｖ・ＨＥＲＯ ヴァイオン,QCCU-JP040,Ultra,0
Ｖ・ＨＥＲＯ トリニティー,QCCU-JP041,nomal,0
ジャンク・シンクロン,QCCU-JP042,nomal,0
ドッペル・ウォリアー,QCCU-JP043,Ultra,0
ジェット・シンクロン,QCCU-JP044,Ultra,0
ジェット・シンクロン,QCCU-JP044,Ultimate,0
シンクロン・キャリアー,QCCU-JP045,nomal,0
ジャンク・コンバーター,QCCU-JP046,nomal,0
スターダスト・トレイル,QCCU-JP047,nomal,0
レボリューション・シンクロン,QCCU-JP048,Ultra,0
レボリューション・シンクロン,QCCU-JP048,Ultimate,0
スターダスト・ドラゴン,QCCU-JP049,Ultra,0
スターダスト・ドラゴン,QCCU-JP049,Ultimate,0
フォーミュラ・シンクロン,QCCU-JP050,nomal,0
アクセル・シンクロン,QCCU-JP051,nomal,0
スターダスト・チャージ・ウォリアー,QCCU-JP052,nomal,0
コズミック・ブレイザー・ドラゴン,QCCU-JP053,Ultra,0
コズミック・ブレイザー・ドラゴン,QCCU-JP053,Ultimate,0
シューティング・ライザー・ドラゴン,QCCU-JP054,nomal,0
サテライト・ウォリアー,QCCU-JP055,nomal,0
調律,QCCU-JP056,Ultra,0
調律,QCCU-JP056,Ultimate,0
スターダスト・イルミネイト,QCCU-JP057,nomal,0
ライディング・デュエル！アクセラレーション！,QCCU-JP058,Ultra,0
希望皇オノマトピア,QCCU-JP059,nomal,0
ズバババンチョー－ＧＣ,QCCU-JP060,nomal,0
ドドドドワーフ－ＧＧ,QCCU-JP061,nomal,0
ＺＷ－天馬双翼剣,QCCU-JP062,Ultra,0
ＺＷ－天馬双翼剣,QCCU-JP062,Ultimate,0
ＺＳ－武装賢者,QCCU-JP063,nomal,0
ＺＳ－昇華賢者,QCCU-JP064,nomal,0
希望皇アストラル・ホープ,QCCU-JP065,Ultra,0
希望皇アストラル・ホープ,QCCU-JP065,Ultimate,0
Ｎｏ.３９ 希望皇ホープ,QCCU-JP066,Ultra,0
Ｎｏ.３９ 希望皇ホープ,QCCU-JP066,Ultimate,0
Ｎｏ.３９ 希望皇ホープ・ダブル,QCCU-JP067,Ultra,0
獣装合体 ライオ・ホープレイ,QCCU-JP068,nomal,0
Ｎｏ.９９ 希望皇ホープドラグナー,QCCU-JP069,Ultra,0
Ｎｏ.９９ 希望皇ホープドラグナー,QCCU-JP069,Ultimate,0
ダブル・アップ・チャンス,QCCU-JP070,Ultra,0
オノマト連携,QCCU-JP071,Ultra,0
エクシーズ・チェンジ・タクティクス,QCCU-JP072,Ultra,0
オノマト選択,QCCU-JP073,nomal,0
ゼアル・コンストラクション,QCCU-JP074,nomal,0
ＨＲＵＭ－ユートピア・フォース,QCCU-JP075,Ultra,0
ナンバーズ・プロテクト,QCCU-JP076,nomal,0
オッドアイズ・アークペンデュラム・ドラゴン,QCCU-JP077,Ultra,0
オッドアイズ・アークペンデュラム・ドラゴン,QCCU-JP077,Ultimate,0
ＥＭペンデュラム・マジシャン,QCCU-JP078,nomal,0
慧眼の魔術師,QCCU-JP079,nomal,0
賤竜の魔術師,QCCU-JP080,nomal,0
ＥＭドクロバット・ジョーカー,QCCU-JP081,nomal,0
ＥＭモンキーボード,QCCU-JP082,nomal,0
調弦の魔術師,QCCU-JP083,Ultra,0
調弦の魔術師,QCCU-JP083,Ultimate,0
クロノグラフ・マジシャン,QCCU-JP084,Ultra,0
クロノグラフ・マジシャン,QCCU-JP084,Ultimate,0
虹彩の魔術師,QCCU-JP085,Ultra,0
虹彩の魔術師,QCCU-JP085,Ultimate,0
紫毒の魔術師,QCCU-JP086,nomal,0
オッドアイズ・ボルテックス・ドラゴン,QCCU-JP087,Super,0
オッドアイズ・ボルテックス・ドラゴン,QCCU-JP087,Ultimate,0
オッドアイズ・アブソリュート・ドラゴン,QCCU-JP088,Super,0
オッドアイズ・アブソリュート・ドラゴン,QCCU-JP088,Ultimate,0
星刻の魔術師,QCCU-JP089,nomal,0
覇王黒竜オッドアイズ・リベリオン・エクシーズ・ドラゴン,QCCU-JP090,Super,0
覇王黒竜オッドアイズ・リベリオン・エクシーズ・ドラゴン,QCCU-JP090,Ultimate,0
星霜のペンデュラムグラフ,QCCU-JP091,Ultra,0
デュエリスト・アドベント,QCCU-JP092,Ultra,0
時空のペンデュラムグラフ,QCCU-JP093,nomal,0
バックアップ・セクレタリー,QCCU-JP094,nomal,0
レディ・デバッガー,QCCU-JP095,Ultra,0
レディ・デバッガー,QCCU-JP095,Ultimate,0
コード・ジェネレーター,QCCU-JP096,nomal,0
パラレルエクシード,QCCU-JP097,nomal,0
ファイアウォール・ディフェンサー,QCCU-JP098,nomal,0
ファイアウォール・ファントム,QCCU-JP099,nomal,0
サイバース・ディセーブルム,QCCU-JP100,nomal,0
リンクリボー,QCCU-JP101,nomal,0
トランスコード・トーカー,QCCU-JP102,Ultra,0
トランスコード・トーカー,QCCU-JP102,Ultimate,0
サイバース・ウィッチ,QCCU-JP103,nomal,0
アップデートジャマー,QCCU-JP104,nomal,0
ファイアウォール・ドラゴン・ダークフルード,QCCU-JP105,nomal,0
ファイアウォール・ドラゴン・ダークフルード－ネオテンペスト,QCCU-JP106,Ultra,0
ファイアウォール・ドラゴン・シンギュラリティ,QCCU-JP107,Ultra,0
ファイアウォール・ドラゴン・シンギュラリティ,QCCU-JP107,Ultimate,0
サイバネット・コーデック,QCCU-JP108,Ultra,0
サイバネット・マイニング,QCCU-JP109,nomal,0
サイバネット・コンフリクト,QCCU-JP110,nomal,0
古代の機械巨人,QCCU-JP111,Ultra,0
古代の機械巨人,QCCU-JP111,Ultimate,0
古代の機械箱,QCCU-JP112,nomal,0
古代の機械飛竜,QCCU-JP113,nomal,0
古代の機械猟犬,QCCU-JP114,nomal,0
古代の機械素体,QCCU-JP115,nomal,0
古代の機械究極巨人,QCCU-JP116,Super,0
古代の機械究極巨人,QCCU-JP116,Ultimate,0
古代の機械混沌巨人,QCCU-JP117,Ultra,0
古代の機械混沌巨人,QCCU-JP117,Ultimate,0
古代の機械魔神,QCCU-JP118,nomal,0
古代の機械超巨人,QCCU-JP119,Super,0
古代の機械超巨人,QCCU-JP119,Ultimate,0
古代の機械弩士,QCCU-JP120,nomal,0
歯車街,QCCU-JP121,Ultra,0
歯車街,QCCU-JP121,Ultimate,0
古代の機械射出機,QCCU-JP122,Ultra,0
古代の機械射出機,QCCU-JP122,Ultimate,0
古代の機械要塞,QCCU-JP123,nomal,0
古代の機械融合,QCCU-JP124,nomal,0
ユベル－Ｄａｓ Ａｂｓｃｈｅｕｌｉｃｈ Ｒｉｔｔｅｒ,QCCU-JP125,Ultra,0
ユベル－Ｄａｓ Ａｂｓｃｈｅｕｌｉｃｈ Ｒｉｔｔｅｒ,QCCU-JP125,Ultimate,0
ユベル－Ｄａｓ Ｅｘｔｒｅｍｅｒ Ｔｒａｕｒｉｇ Ｄｒａｃｈｅｎ,QCCU-JP126,Ultra,0
ユベル－Ｄａｓ Ｅｘｔｒｅｍｅｒ Ｔｒａｕｒｉｇ Ｄｒａｃｈｅｎ,QCCU-JP126,Ultimate,0
超融合,QCCU-JP127,Ultra,0
超融合,QCCU-JP127,Ultimate,0
ライトロード・サモナー ルミナス,QCCU-JP128,nomal,0
ライトロード・ビースト ウォルフ,QCCU-JP129,nomal,0
裁きの龍,QCCU-JP130,Ultra,0
裁きの龍,QCCU-JP130,Ultimate,0
ライトロード・アサシン ライデン,QCCU-JP131,nomal,0
ライトロード・アーチャー フェリス,QCCU-JP132,nomal,0
トワイライトロード・シャーマン ルミナス,QCCU-JP133,nomal,0
戒めの龍,QCCU-JP134,nomal,0
ライトロード・セイント ミネルバ,QCCU-JP135,Ultra,0
ライトロード・セイント ミネルバ,QCCU-JP135,Ultimate,0
ライトロード・ドミニオン キュリオス,QCCU-JP136,nomal,0
ソーラー・エクスチェンジ,QCCU-JP137,nomal,0
光の援軍,QCCU-JP138,Ultra,0
ライトロードの裁き,QCCU-JP139,nomal,0
彼岸の悪鬼 スカラマリオン,QCCU-JP140,nomal,0
彼岸の悪鬼 グラバースニッチ,QCCU-JP141,Ultra,0
彼岸の悪鬼 ガトルホッグ,QCCU-JP142,nomal,0
彼岸の旅人 ダンテ,QCCU-JP143,nomal,0
永遠の淑女 ベアトリーチェ,QCCU-JP144,Ultra,0
永遠の淑女 ベアトリーチェ,QCCU-JP144,Ultimate,0
幻影騎士団ダスティローブ,QCCU-JP145,Ultra,0
幻影騎士団サイレントブーツ,QCCU-JP146,Ultra,0
幻影騎士団ティアースケイル,QCCU-JP147,Ultra,0
幻影霧剣,QCCU-JP148,nomal,0
幻影騎士団シェード・ブリガンダイン,QCCU-JP149,nomal,0
幻影騎士団ブレイクソード,QCCU-JP150,Ultra,0
幻影騎士団ブレイクソード,QCCU-JP150,Ultimate,0
幻影騎士団ラスティ・バルディッシュ,QCCU-JP151,Super,0
幻影騎士団ラスティ・バルディッシュ,QCCU-JP151,Ultimate,0
ＲＲ－バニシング・レイニアス,QCCU-JP152,nomal,0
ＲＲ－ミミクリー・レイニアス,QCCU-JP153,nomal,0
ＲＲ－トリビュート・レイニアス,QCCU-JP154,nomal,0
ＲＲ－ペイン・レイニアス,QCCU-JP155,nomal,0
ＲＲ－ストラングル・レイニアス,QCCU-JP156,Ultra,0
ＲＲ－フォース・ストリクス,QCCU-JP157,Ultra,0
ＲＲ－アルティメット・ファルコン,QCCU-JP158,Ultra,0
ＲＲ－アルティメット・ファルコン,QCCU-JP158,Ultimate,0
ＲＲ－アーセナル・ファルコン,QCCU-JP159,nomal,0
ＲＲ－ワイズ・ストリクス,QCCU-JP160,Ultra,0
ＲＲ－ネスト,QCCU-JP161,nomal,0
アロマセラフィ－アンゼリカ,QCCU-JP162,nomal,0
アロマージ－ローリエ,QCCU-JP163,nomal,0
アロマセラフィ－ローズマリー,QCCU-JP164,Ultra,0
アロマセラフィ－スイート・マジョラム,QCCU-JP165,nomal,0
アロマセラフィ－ジャスミン,QCCU-JP166,Ultra,0
アロマセラフィ－ジャスミン,QCCU-JP166,Ultimate,0
潤いの風,QCCU-JP167,nomal,0
恵みの風,QCCU-JP168,nomal,0
斬機シグマ,QCCU-JP169,Ultra,0
斬機シグマ,QCCU-JP169,Ultimate,0
斬機ダイア,QCCU-JP170,nomal,0
斬機サーキュラー,QCCU-JP171,Ultra,0
斬機サーキュラー,QCCU-JP171,Ultimate,0
メルフィー・キャシィ,QCCU-JP172,nomal,0
メルフィー・パピィ,QCCU-JP173,nomal,0
メルフィー・ワラビィ,QCCU-JP174,nomal,0
メルフィー・ラッシィ,QCCU-JP175,nomal,0
うきうきメルフィーズ,QCCU-JP176,nomal,0
森のメルフィーズ,QCCU-JP177,Ultra,0
森のメルフィーズ,QCCU-JP177,Ultimate,0
わくわくメルフィーズ,QCCU-JP178,nomal,0
メルフィーのかくれんぼ,QCCU-JP179,nomal,0
メルフィーとにらめっこ,QCCU-JP180,nomal,0
レイダーズ・ナイト,QCCU-JP181,Ultra,0
天霆號アーゼウス,QCCU-JP182,Ultra,0
天霆號アーゼウス,QCCU-JP182,Ultimate,0
メレオロジック・アグリゲーター,QCCU-JP183,nomal,0
Ｘ・ＨＥＲＯ ワンダー・ドライバー,QCCU-JP184,nomal,0
Ｘ・ＨＥＲＯ クロスガイ,QCCU-JP185,nomal,0
Ｘ・ＨＥＲＯ ヘル・デバイサー,QCCU-JP186,nomal,0
灼熱の火霊使いヒータ,QCCU-JP187,Ultra,0
