name,card_id,rare,stock
究極竜魔導師,QCDB-JP001,Ultra,0
究極竜魔導師,QCDB-JP001,Quarter Century Secret,0
ハネクリボー ＬＶ６,QCDB-JP002,Ultra,0
ハネクリボー ＬＶ６,QCDB-JP002,Quarter Century Secret,0
輝ける星の竜,QCDB-JP003,Ultra,0
輝ける星の竜,QCDB-JP003,Quarter Century Secret,0
ＦＡ－ホープ・レイ・ランサー,QCDB-JP004,Ultra,0
ＦＡ－ホープ・レイ・ランサー,QCDB-JP004,Quarter Century Secret,0
覇王龍ズァーク－シンクロ・ユニバース,QCDB-JP005,Ultra,0
覇王龍ズァーク－シンクロ・ユニバース,QCDB-JP005,Quarter Century Secret,0
コード・オブ・ソウル,QCDB-JP006,Ultra,0
コード・オブ・ソウル,QCDB-JP006,Quarter Century Secret,0
ブラック・マジシャン,QCDB-JP007,Ultra,0
ブラック・マジシャン,QCDB-JP007,Quarter Century Secret,0
ブラック・マジシャン・ガール,QCDB-JP008,Ultra,0
ブラック・マジシャン・ガール,QCDB-JP008,Quarter Century Secret,0
青眼の白龍,QCDB-JP009,Ultra,0
青眼の白龍,QCDB-JP009,Quarter Century Secret,0
真紅眼の黒竜,QCDB-JP010,Ultra,0
真紅眼の黒竜,QCDB-JP010,Quarter Century Secret,0
破滅竜ガンドラＸ,QCDB-JP011,Ultra,0
破滅竜ガンドラＸ,QCDB-JP011,Quarter Century Secret,0
守護神官マハード,QCDB-JP012,Ultra,0
守護神官マハード,QCDB-JP012,Quarter Century Secret,0
ブルーアイズ・カオス・ＭＡＸ・ドラゴン,QCDB-JP013,Ultra,0
ブルーアイズ・カオス・ＭＡＸ・ドラゴン,QCDB-JP013,Quarter Century Secret,0
青眼の亜白龍,QCDB-JP014,Ultra,0
青眼の亜白龍,QCDB-JP014,Quarter Century Secret,0
増殖するＧ,QCDB-JP015,Super,0
荒魂,QCDB-JP016,Super,0
サタンクロース,QCDB-JP017,Super,0
幽鬼うさぎ,QCDB-JP018,Super,0
妖精伝姫－シラユキ,QCDB-JP019,Ultra,0
妖精伝姫－シラユキ,QCDB-JP019,Quarter Century Secret,0
アストログラフ・マジシャン,QCDB-JP020,Super,0
アストログラフ・マジシャン,QCDB-JP020,Quarter Century Secret,0
灰流うらら,QCDB-JP021,Super,0
マイクロ・コーダー,QCDB-JP022,Super,0
ダイナレスラー・パンクラトプス,QCDB-JP023,Super,0
ディメンション・アトラクター,QCDB-JP024,Super,0
原始生命態ニビル,QCDB-JP025,Super,0
暗黒の招来神,QCDB-JP026,Super,0
スターダスト・シンクロン,QCDB-JP027,Ultra,0
ブルーアイズ・ジェット・ドラゴン,QCDB-JP028,Super,0
ブルーアイズ・ジェット・ドラゴン,QCDB-JP028,Quarter Century Secret,0
アサルト・シンクロン,QCDB-JP029,Ultra,0
アサルト・シンクロン,QCDB-JP029,Quarter Century Secret,0
幸魂,QCDB-JP030,Super,0
イリュージョン・オブ・カオス,QCDB-JP031,Ultra,0
イリュージョン・オブ・カオス,QCDB-JP031,Quarter Century Secret,0
伝説の剣闘士 カオス・ソルジャー,QCDB-JP032,Ultra,0
伝説の剣闘士 カオス・ソルジャー,QCDB-JP032,Quarter Century Secret,0
超魔導師－ブラック・マジシャンズ,QCDB-JP033,Ultra,0
超魔導師－ブラック・マジシャンズ,QCDB-JP033,Quarter Century Secret,0
Ｗａｋｅ Ｕｐ Ｙｏｕｒ Ｅ・ＨＥＲＯ,QCDB-JP034,Ultra,0
Ｗａｋｅ Ｕｐ Ｙｏｕｒ Ｅ・ＨＥＲＯ,QCDB-JP034,Quarter Century Secret,0
ガーデン・ローズ・メイデン,QCDB-JP035,Super,0
ガーデン・ローズ・メイデン,QCDB-JP035,Quarter Century Secret,0
アクセルシンクロ・スターダスト・ドラゴン,QCDB-JP036,Ultra,0
アクセルシンクロ・スターダスト・ドラゴン,QCDB-JP036,Quarter Century Secret,0
カオス・アンヘル－混沌の双翼－,QCDB-JP037,Ultra,0
カオス・アンヘル－混沌の双翼－,QCDB-JP037,Quarter Century Secret,0
励輝士 ヴェルズビュート,QCDB-JP038,Super,0
ＲＲ－レヴォリューション・ファルコン－エアレイド,QCDB-JP039,Super,0
Ｎｏ.６０ 刻不知のデュガレス,QCDB-JP040,Super,0
塊斬機ダランベルシアン,QCDB-JP041,Super,0
ＦＮｏ.０ 未来龍皇ホープ,QCDB-JP042,Super,0
ＦＮｏ.０ 未来龍皇ホープ,QCDB-JP042,Quarter Century Secret,0
覇王黒竜オッドアイズ・リベリオン・ドラゴン－オーバーロード,QCDB-JP043,Super,0
覇王黒竜オッドアイズ・リベリオン・ドラゴン－オーバーロード,QCDB-JP043,Quarter Century Secret,0
鎖龍蛇－スカルデット,QCDB-JP044,Super,0
混沌の戦士 カオス・ソルジャー,QCDB-JP045,Super,0
混沌の戦士 カオス・ソルジャー,QCDB-JP045,Quarter Century Secret,0
警衛バリケイドベルグ,QCDB-JP046,Super,0
クロシープ,QCDB-JP047,Super,0
アクセスコード・トーカー,QCDB-JP048,Super,0
アクセスコード・トーカー,QCDB-JP048,Quarter Century Secret,0
スプラッシュ・メイジ,QCDB-JP049,Super,0
空牙団の懐剣 ドナ,QCDB-JP050,Super,0
コズミック・サイクロン,QCDB-JP051,Super,0
墓穴の指名者,QCDB-JP052,Super,0
抹殺の指名者,QCDB-JP053,Super,0
抹殺の指名者,QCDB-JP053,Quarter Century Secret,0
フェイバリット・ヒーロー,QCDB-JP054,Ultra,0
融合派兵,QCDB-JP055,Ultra,0
七精の解門,QCDB-JP056,Super,0
発禁令,QCDB-JP057,Super,0
ナンバーズ・エヴァイユ,QCDB-JP058,Super,0
無限泡影,QCDB-JP059,Super,0
トラップトラック,QCDB-JP060,Super,0
閃刀姫トークン,QCDB-JPT29,nomal,0
原始生命態トークン,QCDB-JPT30,nomal,0
